,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Emre Lale', 'Muhammad Izzuddin Shamsul Muzli']","['[TUR] ', '[MAS] ']","['21-14', '21-13']",MS - Qualification ,20170420
1,"['Ridzwan Rahmat', 'Joran Kweekel']","['[MAS] ', '[NED] ']",['1-0'],MS - Qualification ,20170420
2,"['Mikkel Enghøj [4]', 'Samson Gradt-Urban']","['[DEN] ', '[FRA] ']","['14-21', '21-10', '21-19']",MS - Qualification ,20170420
3,"['Michael Giesinger', 'Leon Ham']","['[AUT] ', '[NED] ']","['21-19', '21-12']",MS - Qualification ,20170420
4,"['Peter Correl', 'Joel König [7]']","['[DEN] ', '[SUI] ']","['21-17', '21-12']",MS - Qualification ,20170420
5,"['Haktan Doğan', 'Marc Laporte']","['[TUR] ', '[FRA] ']","['21-15', '17-21', '21-19']",MS - Qualification ,20170420
6,"['Johanna Magnusson', 'Maureen Zewald']","['[SWE] ', '[NED] ']","['21-17', '21-10']",WS - Qualification ,20170420
7,"['Julien Carraggi', 'Vincent Espen']","['[BEL] ', '[FRA] ']","['21-15', '21-15']",MS - Qualification ,20170420
8,"['Murat Sen', 'David Kramer']","['[TUR] ', '[GER] ']","['23-21', '21-13']",MS - Qualification ,20170420
9,"['Vincent Medina', 'Birger Abts']","['[FRA] ', '[BEL] ']","['21-10', '21-8']",MS - Qualification ,20170420
10,"['Haktan Doğan', 'Gertjan Devaere']","['[TUR] ', '[BEL] ']","['21-19', '21-15']",MS - Qualification ,20170420
11,"['Christian Kirchmayr [5]', 'Vincent Medina']","['[SUI] ', '[FRA] ']","['15-21', '21-17', '21-13']",MS - Qualification ,20170420
12,"['Mikkel Enghøj [4]', 'Haktan Doğan']","['[DEN] ', '[TUR] ']","['21-9', '21-10']",MS - Qualification ,20170420
13,"['Vincent Espen', 'Christopher Skrzeba']","['[FRA] ', '[GER] ']","['18-21', '21-16', '21-19']",MS - Qualification ,20170420
14,"['Søren Hald', 'Sİnan Zorlu']","['[DEN] ', '[TUR] ']","['21-12', '11-21', '21-18']",MS - Qualification ,20170420
15,"['Murat Sen', 'Max Weisskirchen']","['[TUR] ', '[GER] ']","['22-20', '18-21', '21-16']",MS - Qualification ,20170420
16,"['Jim Middelburg', 'Russell Muns', 'Muhammad Ziyad Md Tah', 'Ridzwan Rahmat']","['[NED] ', '[NED] ', '[MAS] ', '[MAS] ']","['21-17', '21-11']",MD - Qualification ,20170420
17,"['David Kane', 'Hasan Makki Ali Alnaies']","['[ENG] ', '[IRQ] ']",[],MS - Qualification ,20170420
18,"['Elias Nicolaou', 'Thomas Sibbald']","['[CYP] ', '[NED] ']","['21-19', '21-16']",MS - Qualification ,20170420
19,"['Joke De Langhe', 'Lisa Bomers']","['[BEL] ', '[NED] ']","['21-18', '21-16']",WS - Qualification ,20170420
20,"['Alex Vlaar [8]', 'Ridzwan Rahmat']","['[BUL] ', '[MAS] ']","['21-18', '21-10']",MS - Qualification ,20170420
21,"['Christian Kirchmayr [5]', 'Ben Hunt']","['[SUI] ', '[ENG] ']","['21-13', '21-11']",MS - Qualification ,20170420
22,"['Michael Giesinger', 'Sam Lyle']","['[AUT] ', '[ENG] ']","['21-16', '22-20']",MS - Qualification ,20170420
23,"['Mikkel Enghøj [4]', 'Sebastiaan Li']","['[DEN] ', '[NED] ']","['21-12', '21-8']",MS - Qualification ,20170420
24,"['Muhammed Ali Kurt', 'Adi Pratama [3]']","['[TUR] ', '[INA] ']","['21-15', '21-18']",MS - Qualification ,20170420
