,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Georges Julien Paul [1]', 'Jason Mann']","['[MRI] ', '[RSA] ']","['21-13', '21-12']",MS - Group A,20170420,"Johannesburg, South Africa"
1,"['Ahmed Salah [2]', 'Fred Kirabo']","['[EGY] ', '[UGA] ']","['21-14', '21-8']",MS - Group B,20170420,"Johannesburg, South Africa"
2,"['Aatish Lubah [3]', 'Majed Yacine Balahoune']","['[MRI] ', '[ALG] ']","['21-13', '21-13']",MS - Group C,20170420,"Johannesburg, South Africa"
3,"['Ruan Snyman', 'Christopher Paul [4]']","['[RSA] ', '[MRI] ']","['21-15', '21-14']",MS - Group D,20170420,"Johannesburg, South Africa"
4,"['Abdelrahman Abdelhakim [6]', 'Juma Muwowo']","['[EGY] ', '[ZAM] ']","['21-16', '21-8']",MS - Group E,20170420,"Johannesburg, South Africa"
5,"['Ali Ahmed El Khateeb', 'Jean Bernard Bongout [7]']","['[EGY] ', '[MRI] ']","['14-21', '21-11', '21-15']",MS - Group F,20170420,"Johannesburg, South Africa"
6,"['Clement Krobakpo', 'Kalombo Mulenga [5]']","['[NGR] ', '[ZAM] ']","['18-21', '21-9', '21-11']",MS - Group G,20170420,"Johannesburg, South Africa"
7,"['Chongo Ezra Mulenga [8]', 'Prince Chinguwa']","['[ZAM] ', '[ZIM] ']","['21-4', '21-5']",MS - Group H,20170420,"Johannesburg, South Africa"
8,"['Youcef Sabri Medel', 'Michael Jennings']","['[ALG] ', '[RSA] ']","['21-15', '21-5']",MS - Group I,20170420,"Johannesburg, South Africa"
9,"['Adel Hamek', 'Melvin Appiah']","['[ALG] ', '[MRI] ']","['21-11', '21-14']",MS - Group J,20170420,"Johannesburg, South Africa"
10,"['Mohamed Abderrahime Belarbi', 'Cameron Coetzer']","['[ALG] ', '[RSA] ']","['21-12', '21-11']",MS - Group K,20170420,"Johannesburg, South Africa"
11,"['Hadia Hosny [2]', 'Sendila Mourat']","['[EGY] ', '[MRI] ']","['21-10', '21-8']",WS - Group B,20170420,"Johannesburg, South Africa"
12,"['Ogar Siamupangila [3]', 'Botho Makubate']","['[ZAM] ', '[BOT] ']","['21-13', '21-7']",WS - Group C,20170420,"Johannesburg, South Africa"
13,"['Menna Eltanany [4]', 'Demi Botha']","['[EGY] ', '[RSA] ']","['21-14', '21-16']",WS - Group D,20170420,"Johannesburg, South Africa"
14,"['Linda Mazri', 'Zani Van Der Merwe']","['[ALG] ', '[RSA] ']","['21-14', '21-7']",WS - Group F,20170420,"Johannesburg, South Africa"
15,"['Sandra Le Grange', 'Betty Apio']","['[RSA] ', '[UGA] ']","['21-9', '21-15']",WS - Group G,20170420,"Johannesburg, South Africa"
16,"['Dorcas Ajoke Adesokan', 'Gladys Mbabazi']","['[NGR] ', '[UGA] ']","['21-10', '21-7']",WS - Group I,20170420,"Johannesburg, South Africa"
17,"['Halla Bouksani', 'Zainab Momoh']","['[ALG] ', '[NGR] ']","['21-10', '21-16']",WS - Group E,20170420,"Johannesburg, South Africa"
