,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Cheng Heng Su [3]', 'Pei Shan Hsieh', 'Wirawan Ihsan Adam', 'Mia Mawarti']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-5', '21-14']",XD - Qualification,20171107
1,"['Keiichiro Matsui', 'Nami Matsuyama', 'Muhammad Hadiyat M', 'Ganis Nur Rahmadani']","['[JPN] ', '[JPN] ', '[INA] ', '[INA] ']","['21-14', '21-6']",XD - Qualification,20171107
2,"['Min Ji Lee', 'Cheung Ying Mei']","['[KOR] ', '[HKG] ']","['22-20', '21-5']",WS - Qualification,20171107
3,"['Law Cheuk Him', 'Poon Lok Yan', 'Duthree Gigih Belatma', 'Debora Rumate Vehrenica']","['[HKG] ', '[HKG] ', '[INA] ', '[INA] ']","['21-12', '21-12']",XD - Qualification,20171107
4,"['Lee Jhe-Huei', 'Wu Ti Jung', 'Mahiro Kaneko', 'Akane Watanabe']","['[TPE] ', '[TPE] ', '[JPN] ', '[JPN] ']","['13-21', '25-23', '21-14']",XD - Qualification,20171107
5,"['Alfian Eko Prasetya [4]', 'Melati Daeva Oktavianti', 'Ming-Tse Yang', 'Sung Shuo Yun']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-18', '21-16']",XD - Qualification,20171107
6,"['Shang Kai Lin', 'Yu Chieh Cheng', 'Chaloempon Charoenkitamorn', 'Rawimon Iamratanamaetheekul']","['[TPE] ', '[TPE] ', '[THA] ', '[THA] ']","['21-10', '23-21']",XD - Qualification,20171107
7,"['Chang Tak Ching', 'Ng Wing Yung', 'Yeung Ming Nok', 'Wu Yi Ting']","['[HKG] ', '[HKG] ', '[HKG] ', '[HKG] ']","['21-12', '19-21', '21-19']",XD - Qualification,20171107
8,"['Li Wenmei', 'Supanida Katethong']","['[CHN] ', '[THA] ']","['21-15', '22-20']",WS - Qualification,20171107
9,"['Sarita Suwannakitborihan [4]', 'Chi Leng Kuan']","['[THA] ', '[MAC] ']","['21-8', '21-12']",WS - Qualification,20171107
10,"['Redy Perdana', 'Jingtong Chen']","['[INA] ', '[AUS] ']","['21-15', '21-16']",MS - Qualification,20171107
