,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Alex Marritt', 'Cristen Elizabeth Marritt', 'Frederik Søgaard', 'Amalie Magelund']","['[ENG] ', '[ENG] ', '[DEN] ', '[DEN] ']",[],XD - Qualification,20171122
1,"['Ciar Pringle', 'Caitlin Pringle', 'Max Flynn [2]', 'Lizzie Tolman']","['[SCO] ', '[SCO] ', '[ENG] ', '[ENG] ']",[],XD - Qualification,20171122
2,"['Benjamin Li', 'Jessica Li', 'Jones Ralfy Jansen [1]', 'Eva Janssens']","['[ENG] ', '[ENG] ', '[GER] ', '[GER] ']",[],XD - Qualification,20171122
3,"['Oliver Leydon-Davis', 'Susannah Leydon-Davis', 'Martin Drabble', ""Til'Shiloh Shaw""]","['[NZL] ', '[NZL] ', '[ENG] ', '[ENG] ']","['21-14', '21-15']",XD - Qualification,20171122
4,"['Paul Reynolds', 'Rachael Darragh', 'Mark Law', 'Gemma Whiting']","['[IRL] ', '[IRL] ', '[ENG] ', '[ENG] ']","['21-14', '21-13']",XD - Qualification,20171122
5,"['Michael Roe', 'Jessica Hopton', 'Jack Macgregor', 'Toni Woods']","['[ENG] ', '[ENG] ', '[SCO] ', '[SCO] ']","['21-9', '21-19']",XD - Qualification,20171122
6,"['Ciar Pringle', 'Caitlin Pringle', 'Alex Marritt', 'Cristen Elizabeth Marritt']","['[SCO] ', '[SCO] ', '[ENG] ', '[ENG] ']","['21-11', '21-11']",XD - Qualification,20171122
7,"['Ethan Rose', 'Salim Ben Boudinar']","['[ENG] ', '[SCO] ']","['21-11', '21-6']",MS - Qualification,20171122
8,"['Nathan Rossiter', 'Emily Robinson', 'Andreas Heinz [4]', 'Judith Petrikowski']","['[ENG] ', '[ENG] ', '[GER] ', '[GER] ']",[],XD - Qualification,20171122
9,"['Artem Pochtarov', 'Natalya Voytsekh', 'Ciaran Chambers [3]', 'Sinead Chambers']","['[UKR] ', '[UKR] ', '[IRL] ', '[IRL] ']",[],XD - Qualification,20171122
10,"['Johnnie Torjussen', 'Yu Ming, Adam Lau']","['[ENG] ', '[MAS] ']","['21-13', '21-12']",MS - Qualification,20171122
11,"['Christopher Grimley', 'Henry Prothero']","['[SCO] ', '[ENG] ']","['21-12', '2-0']",MS - Qualification,20171122
12,"['Andrew Wainwright', 'Hugo Jardim']","['[ENG] ', '[ENG] ']","['21-6', '21-3']",MS - Qualification,20171122
13,"['Richard Kuhl', 'Adam Lam']","['[SWE] ', '[ENG] ']","['21-16', '21-16']",MS - Qualification,20171122
14,"['Seng Zoe Yeoh', 'Alexander Cook']","['[MAS] ', '[ENG] ']","['21-10', '21-9']",MS - Qualification,20171122
15,"['Ciar Pringle', 'Joshua Young']","['[SCO] ', '[ENG] ']","['21-11', '17-21', '21-13']",MS - Qualification,20171122
16,"['Michael Roe', 'Jessica Hopton', 'Benjamin Li', 'Jessica Li']","['[ENG] ', '[ENG] ', '[ENG] ', '[ENG] ']","['21-11', '21-10']",XD - Qualification,20171122
17,"['Paul Reynolds', 'Rachael Darragh', 'Nathan Rossiter', 'Emily Robinson']","['[IRL] ', '[IRL] ', '[ENG] ', '[ENG] ']","['21-18', '21-8']",XD - Qualification,20171122
18,"['Artem Pochtarov', 'Natalya Voytsekh', 'Oliver Leydon-Davis', 'Susannah Leydon-Davis']","['[UKR] ', '[UKR] ', '[NZL] ', '[NZL] ']","['21-12', '21-12']",XD - Qualification,20171122
19,"['Alex Marritt', 'Mark Brady']","['[ENG] ', '[IRL] ']","['16-21', '21-18', '21-16']",MS - Qualification,20171122
20,"['Sameer Scott Aamir', 'Daniel Leers']","['[SCO] ', '[ENG] ']","['21-17', '22-20']",MS - Qualification,20171122
21,"['Sam Lyle', 'George Nicolaou']","['[ENG] ', '[CYP] ']","['21-8', '21-18']",MS - Qualification,20171122
22,"['Phone Pyae Naing', 'Kyle Longmuir']","['[MYA] ', '[SCO] ']",[],MS - Qualification,20171122
23,"['Dmytro Zavadsky', 'Chris Williams']","['[UKR] ', '[ENG] ']","['21-11', '21-11']",MS - Qualification,20171122
24,"['Matthew Grimley', 'Nathan Rossiter']","['[SCO] ', '[ENG] ']","['21-13', '16-21', '21-11']",MS - Qualification,20171122
25,"['Danny Leinster', 'Martin Drabble']","['[SCO] ', '[ENG] ']","['13-21', '21-15', '21-11']",MS - Qualification,20171122
26,"['Jack Macgregor', 'Raymond Webster']","['[SCO] ', '[ENG] ']","['21-7', '21-4']",MS - Qualification,20171122
27,"['Benjamin Li', 'Ben Hunt']","['[ENG] ', '[ENG] ']","['21-17', '21-15']",MS - Qualification,20171122
28,"['Christopher Grimley', 'Ethan Rose']","['[SCO] ', '[ENG] ']","['21-10', '21-16']",MS - Qualification,20171122
29,"['Alex Marritt', 'Ciar Pringle']","['[ENG] ', '[SCO] ']","['21-14', '21-17']",MS - Qualification,20171122
30,"['Rachael Darragh', 'Cristen Elizabeth Marritt']","['[IRL] ', '[ENG] ']","['21-9', '21-13']",WS - Qualification,20171122
31,"['Richard Kuhl', 'Andrew Wainwright']","['[SWE] ', '[ENG] ']","['21-15', '13-21', '21-7']",MS - Qualification,20171122
32,"['Evie Burbidge', 'Jessica Li']","['[ENG] ', '[ENG] ']","['21-14', '21-18']",WS - Qualification,20171122
33,"['Jennie Gai', ""Til'Shiloh Shaw""]","['[USA] ', '[ENG] ']","['21-7', '21-8']",WS - Qualification,20171122
34,"['Jamie Hsu', 'Chang Ya Lan']","['[USA] ', '[TPE] ']","['17-21', '21-9', '21-14']",WS - Qualification,20171122
35,"['Freja Ravn', 'Kati-Kreet Marran']","['[DEN] ', '[EST] ']","['21-8', '21-15']",WS - Qualification,20171122
36,"['Phone Pyae Naing', 'Sameer Scott Aamir']","['[MYA] ', '[SCO] ']","['21-19', '21-14']",MS - Qualification,20171122
37,"['Grace King', 'Toni Woods']","['[ENG] ', '[SCO] ']","['21-15', '21-13']",WS - Qualification,20171122
38,"['Sara Boyle', 'Emily Beach']","['[IRL] ', '[ENG] ']","['21-11', '21-11']",WS - Qualification,20171122
39,"['Matthew Grimley', 'Sam Lyle']","['[SCO] ', '[ENG] ']","['21-4', '21-16']",MS - Qualification,20171122
40,"['Dmytro Zavadsky', 'Benjamin Li']","['[UKR] ', '[ENG] ']","['21-11', '21-17']",MS - Qualification,20171122
41,"['Seng Zoe Yeoh', 'Jack Macgregor']","['[MAS] ', '[SCO] ']","['21-10', '21-15']",MS - Qualification,20171122
42,"['Johnnie Torjussen', 'Danny Leinster']","['[ENG] ', '[SCO] ']","['21-12', '21-14']",MS - Qualification,20171122
43,"['Ella Soderstrom', 'Paige Butler']","['[SWE] ', '[ENG] ']","['21-8', '18-21', '21-17']",WS - Qualification,20171122
44,"['Jakub Bitman', 'Oliver Schaller', 'Brandon Zhi Hao Yap', 'Yee Guan Yap']","['[CZE] ', '[SUI] ', '[ENG] ', '[ENG] ']","['21-13', '21-18']",MD - Qualification,20171122
45,"['Rachael Darragh', 'Evie Burbidge']","['[IRL] ', '[ENG] ']","['21-12', '21-10']",WS - Qualification,20171122
46,"['Mark Law', 'Viknesh Rajendran', 'Max Flynn [3]', 'Callum Hemming']","['[ENG] ', '[ENG] ', '[ENG] ', '[ENG] ']",[],MD - Qualification,20171122
47,"['Danny Leinster', 'Steven Stewart', 'Alexander Cook', 'Adam Lam']","['[SCO] ', '[SCO] ', '[ENG] ', '[ENG] ']","['21-18', '21-23', '21-18']",MD - Qualification,20171122
48,"['Dinuka Karunaratna', 'Niluka Karunaratne', 'Martin Drabble', 'Joshua Young']","['[SRI] ', '[SRI] ', '[ENG] ', '[ENG] ']","['18-21', '21-13', '21-14']",MD - Qualification,20171122
49,"['Jennie Gai', 'Grace King']","['[USA] ', '[ENG] ']","['21-19', '25-23']",WS - Qualification,20171122
50,"['Freja Ravn', 'Sara Boyle']","['[DEN] ', '[IRL] ']","['21-14', '21-9']",WS - Qualification,20171122
51,"['Jack Macgregor [4]', 'Ciar Pringle', 'Vivian Lawrence', 'Andrew Wainwright']","['[SCO] ', '[SCO] ', '[ENG] ', '[ENG] ']","['21-11', '21-17']",MD - Qualification,20171122
52,"['Alex Marritt', 'Nathan Rossiter', 'Thom Gicquel', 'Ronan Labar']","['[ENG] ', '[ENG] ', '[FRA] ', '[FRA] ']",[],MD - Qualification,20171122
53,"['Jamie Hsu', 'Ella Soderstrom']","['[USA] ', '[SWE] ']","['21-15', '21-6']",WS - Qualification,20171122
54,"['Daniel Leers', 'Sam Lyle', 'Sameer Scott Aamir', 'Shaun Ally Aamir']","['[ENG] ', '[ENG] ', '[SCO] ', '[SCO] ']","['21-7', '21-5']",MD - Qualification,20171122
55,"['Yu Leong, Alfred Lau', 'Yu Ming, Adam Lau', 'Ben Hunt', 'Sheunesu Mabhena Kimbugwe']","['[MAS] ', '[MAS] ', '[ENG] ', '[ENG] ']","['21-17', '21-9']",MD - Qualification,20171122
56,"['Danny Leinster', 'Steven Stewart', 'Mark Law', 'Viknesh Rajendran']","['[SCO] ', '[SCO] ', '[ENG] ', '[ENG] ']","['21-14', '21-13']",MD - Qualification,20171122
57,"['Alex Marritt', 'Nathan Rossiter', 'Jack Macgregor [4]', 'Ciar Pringle']","['[ENG] ', '[ENG] ', '[SCO] ', '[SCO] ']","['21-14', '21-14']",MD - Qualification,20171122
58,"['Dinuka Karunaratna', 'Niluka Karunaratne', 'Jakub Bitman', 'Oliver Schaller']","['[SRI] ', '[SRI] ', '[CZE] ', '[SUI] ']","['21-17', '21-16']",MD - Qualification,20171122
59,"['Yu Leong, Alfred Lau', 'Yu Ming, Adam Lau', 'Daniel Leers', 'Sam Lyle']","['[MAS] ', '[MAS] ', '[ENG] ', '[ENG] ']","['21-18', '21-11']",MD - Qualification,20171122
60,"['Toma Junior Popov', 'Bernardo Atilano']","['[FRA] ', '[POR] ']","['21-16', '21-11']",MS,20171122
61,"['Victor Svendsen', 'Luís Enrique Peñalver']","['[DEN] ', '[ESP] ']","['27-29', '21-18', '21-17']",MS,20171122
62,"['Mark Caljouw [6]', 'Luke Pearce']","['[NED] ', '[ENG] ']","['21-12', '22-20']",MS,20171122
63,"['Emil Holst [3]', 'Lars Schaenzler']","['[DEN] ', '[GER] ']","['21-9', '21-15']",MS,20171122
64,"['Raul Must [9]', 'Ross Green']","['[EST] ', '[ENG] ']","['21-15', '21-8']",MS,20171122
65,"['Joel Douse', 'Ivan Rusev']","['[ENG] ', '[BUL] ']","['16-21', '21-17', '21-14']",MS,20171122
66,"['Nick Fransman', 'David Jones']","['[NED] ', '[ENG] ']","['15-21', '21-18', '21-11']",MS,20171122
67,"['Gergely Krausz', 'Rüdiger Gnedt']","['[HUN] ', '[AUT] ']","['21-16', '21-16']",MS,20171122
68,"['Subhankar Dey [12]', 'Michael Spencer-Smith']","['[IND] ', '[ENG] ']","['21-14', '21-10']",MS,20171122
69,"['Yu Leong, Alfred Lau', 'Andy Tsai']","['[MAS] ', '[SWE] ']","['15-21', '21-17', '21-16']",MS,20171122
70,"['Christian Kirchmayr', 'Ben Torrance']","['[SUI] ', '[SCO] ']","['21-15', '20-22', '21-12']",MS,20171122
71,"['Kalle Koljonen [15]', 'Douglas Lidman']","['[FIN] ', '[SWE] ']","['21-18', '21-16']",MS,20171122
72,"['Henri Aarnio', 'Alex Vlaar']","['[FIN] ', '[BUL] ']","['21-13', '21-8']",MS,20171122
73,"['Eetu Heino [14]', 'Johnnie Torjussen']","['[FIN] ', '[ENG] ']","['18-21', '21-9', '21-17']",MS,20171122
74,"['Lucas Corvee [16]', 'Lukas Zevl']","['[FRA] ', '[CZE] ']","['21-11', '21-7']",MS,20171122
75,"['Karan Rajan Rajarajan', 'Kieran Merrilees [11]']","['[IND] ', '[SCO] ']","['21-19', '21-15']",MS,20171122
76,"['Niluka Karunaratne', 'Felix Burestedt']","['[SRI] ', '[SWE] ']","['21-16', '11-3']",MS,20171122
77,"['Seng Zoe Yeoh', 'Sahil Sipani']","['[MAS] ', '[IND] ']","['21-13', '21-12']",MS,20171122
78,"['Sam Parsons', 'Matthew Grimley']","['[ENG] ', '[SCO] ']","['21-15', '22-20']",MS,20171122
