,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Brittney Tam [1]', 'Jamie Hsu']","['[CAN] ', '[USA] ']","['19-21', '21-15', '21-15']",WS - Qualification,20170711
1,"['Bao Thien Vo', 'Phillipe Charron']","['[CAN] ', '[CAN] ']","['21-11', '21-16']",MS - Qualification,20170711
2,"['Kento Momota', 'Graydon Robb']","['[JPN] ', '[CAN] ']","['21-12', '21-8']",MS - Qualification,20170711
3,"['Redy Perdana', 'Joshua Liu']","['[INA] ', '[CAN] ']","['21-14', '21-10']",MS - Qualification,20170711
4,"['Sean Vendy', 'Sarah Walker', 'Ty Alexander Lindeman', 'Josephine Wu']","['[ENG] ', '[ENG] ', '[CAN] ', '[CAN] ']","['21-14', '21-11']",XD - Qualification,20170711
5,"['Brian Yang', '. Siswanto']","['[CAN] ', '[INA] ']","['21-18', '9-21', '21-15']",MS - Qualification,20170711
6,"['Samia Lima', 'Disha Gupta [3]']","['[BRA] ', '[USA] ']","['10-21', '21-13', '21-12']",WS - Qualification,20170711
7,"['Johnathan Akin-Mulrooney', 'Grimaldy Navirio Gunawan']","['[CAN] ', '[USA] ']","['21-12', '21-5']",MS - Qualification,20170711
8,"['Ines Castillo', 'Paula La Torre Regal']","['[PER] ', '[PER] ']","['21-17', '23-21']",WS - Qualification,20170711
9,"['Sarita Suwannakitborihan', 'Thu Huyen Le']","['[THA] ', '[VIE] ']","['21-16', '21-11']",WS - Qualification,20170711
10,"['Ronja Stern [4]', 'Mariana Ugalde']","['[SUI] ', '[MEX] ']","['17-21', '21-15', '21-19']",WS - Qualification,20170711
11,"['Joo I Jeon', 'Olivia (Li) Lei']","['[KOR] ', '[CAN] ']","['15-21', '21-15', '21-19']",WS - Qualification,20170711
12,"['Alexander Dunn', ""Eleanor O'Donnell"", 'Adrian Liu', 'Kristen Tsai']","['[SCO] ', '[SCO] ', '[CAN] ', '[CAN] ']","['21-18', '21-19']",XD - Qualification,20170711
