,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Niluka Karunaratne [16]', 'Toby Penty']","['[SRI] ', '[ENG] ']","['15-21', '21-9', '21-8']",MS,20170719,"Anaheim, U.S.A."
1,"['Cao Cuong Pham', 'Nicholas Bonkowsky']","['[VIE] ', '[TTO] ']","['21-12', '21-5']",MS,20170719,"Anaheim, U.S.A."
2,"['Ygor Coelho [9]', 'Phillips Jap']","['[BRA] ', '[USA] ']","['21-18', '21-12']",MS,20170719,"Anaheim, U.S.A."
3,"['Mayu Matsumoto [7]', 'Wakana Nagahara', 'Carissa Chung', 'Natalie Jackie Leung']","['[JPN] ', '[JPN] ', '[USA] ', '[USA] ']","['21-5', '21-6']",WD,20170719,"Anaheim, U.S.A."
4,"['Lucas Corvee [13]', 'Sheng Lyu']","['[FRA] ', '[USA] ']","['21-10', '21-9']",MS,20170719,"Anaheim, U.S.A."
5,"['Koki Watanabe', 'Gustavo Morales']","['[JPN] ', '[PAN] ']","['21-3', '21-4']",MS,20170719,"Anaheim, U.S.A."
6,"['Lino Munoz', 'Yan Tuck Chan']","['[MEX] ', '[USA] ']","['21-2', '21-12']",MS,20170719,"Anaheim, U.S.A."
7,"['Jakkampudi Meghana', 'Poorvisha S Ram', 'Rira Kawashima', 'Saori Ozaki']","['[IND] ', '[IND] ', '[JPN] ', '[JPN] ']","['21-16', '14-21', '21-14']",WD,20170719,"Anaheim, U.S.A."
8,"['Scott Evans', 'Vinson Chiu']","['[IRL] ', '[USA] ']","['21-8', '21-14']",MS,20170719,"Anaheim, U.S.A."
9,"['Timothy Lam', 'Pedro Arturo Garcia-Flores']","['[USA] ', '[USA] ']","['21-2', '21-5']",MS,20170719,"Anaheim, U.S.A."
10,"['Harsheel Dani', 'Arturo Hernandez']","['[IND] ', '[MEX] ']","['21-13', '21-9']",MS,20170719,"Anaheim, U.S.A."
11,"['Kim Won Ho', 'Shin Seung Chan', 'Sam Magee [5]', 'Chloe Magee']","['[KOR] ', '[KOR] ', '[IRL] ', '[IRL] ']","['21-16', '21-16']",XD,20170719,"Anaheim, U.S.A."
12,"['Tien Minh Nguyen [15]', 'Sam Parsons']","['[VIE] ', '[ENG] ']","['23-21', '21-13']",MS,20170719,"Anaheim, U.S.A."
13,"['Hashiru Shimono', 'Job Castillo']","['[JPN] ', '[MEX] ']","['21-13', '21-9']",MS,20170719,"Anaheim, U.S.A."
14,"['Jeon Hyeok Jin [10]', 'Howard Shu']","['[KOR] ', '[USA] ']","['14-21', '21-11', '25-23']",MS,20170719,"Anaheim, U.S.A."
15,"['Sawan Serasinghe', 'Setyana Mapasa', 'Toby Ng', 'Josephine Wu']","['[AUS] ', '[AUS] ', '[CAN] ', '[CAN] ']","['21-18', '21-11']",XD,20170719,"Anaheim, U.S.A."
16,"['Jason Anthony Ho-Shue', 'Ratnajit Tamang']","['[CAN] ', '[NEP] ']","['21-18', '21-12']",MS,20170719,"Anaheim, U.S.A."
17,"['Lucas Claerbout [14]', 'Calvin Lin']","['[FRA] ', '[USA] ']","['21-8', '21-5']",MS,20170719,"Anaheim, U.S.A."
18,"['Kieran Merrilees', 'Kazumasa Sakai [4]']","['[SCO] ', '[JPN] ']","['21-15', '22-20']",MS,20170719,"Anaheim, U.S.A."
19,"['Jang Mi Lee [5]', 'Fontaine Mica Chapman']","['[KOR] ', '[ENG] ']","['21-12', '21-18']",WS,20170719,"Anaheim, U.S.A."
20,"['Sri Krishna Priya Kudaravalli', 'Maya Chen']","['[IND] ', '[USA] ']","['21-13', '21-16']",WS,20170719,"Anaheim, U.S.A."
21,"['Kohei Gondo', 'Wakana Nagahara', 'Jordan Corvee', 'Anne Tran']","['[JPN] ', '[JPN] ', '[FRA] ', '[FRA] ']","['22-20', '19-21', '21-15']",XD,20170719,"Anaheim, U.S.A."
