,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Mathieu Morneau', 'Yan Tuck Chan [6]']","['[CAN] ', '[USA] ']","['21-7', '21-4']",MS - Qualification,20171219,"Orange, U.S.A."
1,"['Brian Yang', 'Hock Lai Lee']","['[CAN] ', '[USA] ']","['22-20', '21-14']",MS - Qualification,20171219,"Orange, U.S.A."
2,"['Mark Shelley Alcala', 'Arturo Hernandez [3]']","['[USA] ', '[MEX] ']","['21-18', '21-17']",MS - Qualification,20171219,"Orange, U.S.A."
3,"['Antonio Li', 'Vinson Chiu']","['[CAN] ', '[USA] ']","['19-21', '21-13', '21-18']",MS - Qualification,20171219,"Orange, U.S.A."
4,"['Ricky Liuzhou', 'Arunkumar Annamalai']","['[USA] ', '[USA] ']","['21-11', '21-11']",MS - Qualification,20171219,"Orange, U.S.A."
5,"['Phillips Jap', 'Luis Armando Montoya Navarro']","['[USA] ', '[MEX] ']","['21-7', '21-15']",MS - Qualification,20171219,"Orange, U.S.A."
6,"['Su Li Yang [5]', 'Clay Tobaw Gilmour']","['[TPE] ', '[USA] ']","['21-7', '21-11']",MS - Qualification,20171219,"Orange, U.S.A."
7,"['Huang Guoxing', 'Ankit Chhikara']","['[CAN] ', '[USA] ']","['21-4', '21-14']",MS - Qualification,20171219,"Orange, U.S.A."
8,"['Kwong Beng Chan', 'Bruno Barrueto Deza [7]']","['[USA] ', '[PER] ']","['21-9', '21-11']",MS - Qualification,20171219,"Orange, U.S.A."
9,"['Hsu Jui Ting', 'Meng-Yung Ong']","['[TPE] ', '[USA] ']","['21-16', '21-11']",MS - Qualification,20171219,"Orange, U.S.A."
10,"['Timothy Lam [4]', 'Jorge Rodriguez']","['[USA] ', '[MEX] ']","['16-21', '21-12', '21-18']",MS - Qualification,20171219,"Orange, U.S.A."
11,"['Bhrugesh Piyush Desai', 'Alexandr Nagornov']","['[USA] ', '[MDA] ']",[],MS - Qualification,20171219,"Orange, U.S.A."
12,"['Samuel O’Brien Ricketts [8]', 'Yipeng Yang']","['[JAM] ', '[USA] ']","['21-14', '21-16']",MS - Qualification,20171219,"Orange, U.S.A."
13,"['Dewantoro Pandu', 'Grimaldy Navirio Gunawan']","['[INA] ', '[USA] ']","['21-12', '21-9']",MS - Qualification,20171219,"Orange, U.S.A."
14,"['Oliver Leydon-Davis', 'Susannah Leydon-Davis', 'Mathieu Morneau', 'Eliana Zhang']","['[NZL] ', '[NZL] ', '[CAN] ', '[CAN] ']","['21-16', '22-20']",XD - Qualification,20171219,"Orange, U.S.A."
15,"['Humberto Aguirre Fajardo', 'Kevin Barkman']","['[USA] ', '[CAN] ']","['15-21', '21-15', '21-14']",MS - Qualification,20171219,"Orange, U.S.A."
16,"['Peder Søvndal', 'Avinash Karangula']","['[DEN] ', '[USA] ']","['21-13', '21-18']",MS - Qualification,20171219,"Orange, U.S.A."
17,"['Olivia (Li) Lei', 'Lauren Lam']","['[CAN] ', '[USA] ']","['21-15', '21-16']",WS - Qualification,20171219,"Orange, U.S.A."
18,"['Ruhi Raju', 'Talia Ng']","['[USA] ', '[CAN] ']","['22-20', '21-17']",WS - Qualification,20171219,"Orange, U.S.A."
19,"['Vanessa Yang', 'Eunice Hermanto']","['[USA] ', '[CAN] ']","['21-15', '21-14']",WS - Qualification,20171219,"Orange, U.S.A."
20,"['Rizma Anestasy Violeta', 'Catherine Choi']","['[INA] ', '[CAN] ']","['21-13', '21-10']",WS - Qualification,20171219,"Orange, U.S.A."
21,"['Brian Yang', 'Ricky Liuzhou']","['[CAN] ', '[USA] ']","['21-11', '21-14']",MS - Qualification,20171219,"Orange, U.S.A."
22,"['Kwong Beng Chan', 'Huang Guoxing']","['[USA] ', '[CAN] ']","['20-22', '21-14', '21-19']",MS - Qualification,20171219,"Orange, U.S.A."
23,"['Phillips Jap', 'Su Li Yang [5]']","['[USA] ', '[TPE] ']","['21-15', '5-21', '21-17']",MS - Qualification,20171219,"Orange, U.S.A."
24,"['Mark Shelley Alcala', 'Hsu Jui Ting']","['[USA] ', '[TPE] ']","['23-21', '16-21', '21-9']",MS - Qualification,20171219,"Orange, U.S.A."
25,"['Humberto Aguirre Fajardo', 'Peder Søvndal']","['[USA] ', '[DEN] ']","['21-19', '21-16']",MS - Qualification,20171219,"Orange, U.S.A."
26,"['Dewantoro Pandu', 'Samuel O’Brien Ricketts [8]']","['[INA] ', '[JAM] ']","['21-15', '21-13']",MS - Qualification,20171219,"Orange, U.S.A."
27,"['Timothy Lam [4]', 'Bhrugesh Piyush Desai']","['[USA] ', '[USA] ']","['21-12', '21-10']",MS - Qualification,20171219,"Orange, U.S.A."
28,"['Antonio Li', 'Mathieu Morneau']","['[CAN] ', '[CAN] ']","['21-14', '8-21', '21-11']",MS - Qualification,20171219,"Orange, U.S.A."
29,"['Timothy Chiu', 'Vanessa Yang', 'Diego Mini [4]', 'Paula La Torre Regal']","['[CAN] ', '[USA] ', '[PER] ', '[PER] ']","['22-20', '21-17']",XD,20171219,"Orange, U.S.A."
30,"['Sattawat Pongnairat [5]', 'Josephine Wu', 'Lu Chia Pin', 'Chang Ya Lan']","['[USA] ', '[CAN] ', '[TPE] ', '[TPE] ']","['21-18', '21-23', '21-8']",XD,20171219,"Orange, U.S.A."
31,"['Ricky Liuzhou', 'Talia Ng', 'Toby Ng [7]', 'Eva Lee']","['[USA] ', '[CAN] ', '[CAN] ', '[USA] ']","['21-19', '21-18']",XD,20171219,"Orange, U.S.A."
32,"['Hock Lai Lee', 'Michelle Tong', 'Nicholas Bonkowsky', 'Eunice Hermanto']","['[USA] ', '[CAN] ', '[TTO] ', '[CAN] ']","['21-7', '21-11']",XD,20171219,"Orange, U.S.A."
33,"['Mark Shelley Alcala', 'Paula Lynn Obanana', 'Su Li Yang', 'Lin Hsiang Ti']","['[USA] ', '[USA] ', '[TPE] ', '[TPE] ']","['21-13', '21-10']",XD,20171219,"Orange, U.S.A."
34,"['Phillips Jap', 'Jamie Hsu', 'Bruno Barrueto Deza [2]', 'Ines Castillo']","['[USA] ', '[USA] ', '[PER] ', '[PER] ']","['21-13', '21-9']",XD,20171219,"Orange, U.S.A."
35,"['Brian Yang', 'Olivia (Li) Lei', 'Luis Armando Montoya Navarro', 'Yaqueline Duarte']","['[CAN] ', '[CAN] ', '[MEX] ', '[MEX] ']","['21-14', '21-6']",XD,20171219,"Orange, U.S.A."
36,"['Nyl Yakura', 'Kristen Tsai', 'Halim Haryanto Ho', 'Surya Della Augustia']","['[CAN] ', '[CAN] ', '[USA] ', '[INA] ']","['21-12', '21-12']",XD,20171219,"Orange, U.S.A."
37,"['Yan Tuck Chan', 'Maya Chen', 'Grimaldy Navirio Gunawan', 'Rizma Anestasy Violeta']","['[USA] ', '[USA] ', '[USA] ', '[INA] ']","['21-7', '17-21', '21-12']",XD,20171219,"Orange, U.S.A."
38,"['Mario Cuba', 'Daniela Macias', 'Mathew Fogarty [3]', 'Isabel Zhong']","['[PER] ', '[PER] ', '[USA] ', '[USA] ']","['19-21', '21-8', '21-14']",XD,20171219,"Orange, U.S.A."
39,"['Oliver Leydon-Davis', 'Susannah Leydon-Davis', 'Tony Gunawan', 'Angela Zhang']","['[NZL] ', '[NZL] ', '[USA] ', '[USA] ']","['21-18', '21-18']",XD,20171219,"Orange, U.S.A."
40,"['Howard Shu [6]', 'Jamie Subandhi', 'Humberto Aguirre Fajardo', 'Yesenia Duarte']","['[USA] ', '[USA] ', '[USA] ', '[MEX] ']","['21-12', '21-11']",XD,20171219,"Orange, U.S.A."
41,"['Ryan Chew [8]', 'Debora Rumate Vehrenica', 'Avinash Karangula', 'Yuko Kawasaki']","['[USA] ', '[INA] ', '[USA] ', '[USA] ']","['21-8', '21-11']",XD,20171219,"Orange, U.S.A."
42,"['Kwong Beng Chan', 'Breanna Chi', 'Ferdinand Sinarta Surbakti', 'Sydney Lee']","['[USA] ', '[USA] ', '[INA] ', '[USA] ']","['25-23', '21-16']",XD,20171219,"Orange, U.S.A."
43,"['Rachel Honderich [1]', 'Adelina Quiñones']","['[CAN] ', '[MEX] ']","['21-4', '21-5']",WS,20171219,"Orange, U.S.A."
44,"['Vinson Chiu', 'Annie Xu', 'Clay Tobaw Gilmour', 'Carissa Chung']","['[USA] ', '[USA] ', '[USA] ', '[USA] ']","['21-15', '21-3']",XD,20171219,"Orange, U.S.A."
45,"['Monika Szoke', 'Ruhi Raju']","['[USA] ', '[USA] ']","['21-17', '21-23', '21-17']",WS,20171219,"Orange, U.S.A."
46,"['Jamie Hsu [8]', 'Eshita Raju. K']","['[USA] ', '[IND] ']","['21-9', '21-13']",WS,20171219,"Orange, U.S.A."
47,"['Natsuki Nidaira [3]', 'Jacqueline Wendy Myers']","['[JPN] ', '[USA] ']","['21-1', '21-3']",WS,20171219,"Orange, U.S.A."
48,"['Jennie Gai', 'Paula La Torre Regal']","['[USA] ', '[PER] ']","['21-12', '21-9']",WS,20171219,"Orange, U.S.A."
49,"['Lin Hsiang Ti', 'Zuzana Pavelkova [7]']","['[TPE] ', '[CZE] ']","['21-5', '21-13']",WS,20171219,"Orange, U.S.A."
50,"['Mariana Ugalde', 'Yesenia Duarte']","['[MEX] ', '[MEX] ']","['21-15', '21-8']",WS,20171219,"Orange, U.S.A."
51,"['Chang Ya Lan', 'Yaqueline Duarte']","['[TPE] ', '[MEX] ']","['21-14', '21-8']",WS,20171219,"Orange, U.S.A."
52,"['Disha Gupta', 'Ines Castillo']","['[USA] ', '[PER] ']","['21-9', '21-10']",WS,20171219,"Orange, U.S.A."
53,"['Olivia (Li) Lei', 'Jamie Subandhi [4]']","['[CAN] ', '[USA] ']","['21-9', '21-12']",WS,20171219,"Orange, U.S.A."
54,"['Isabel Zhong', 'Eliana Zhang']","['[USA] ', '[CAN] ']","['15-21', '21-17', '21-17']",WS,20171219,"Orange, U.S.A."
