,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Luiz Eduardo Martinez', 'Luis Roberto Schoueri']","['[BRA] ', '[BRA] ']","['21-10', '21-16']",MS - Qualification,20170308
1,"['Alex Yuwan Tjong', 'Francisco Brandao']","['[BRA] ', '[BRA] ']","['21-16', '21-12']",MS - Qualification,20170308
2,"['Alberto Alvin Yulianto', 'Lucas Constant Da Silva']","['[INA] ', '[BRA] ']","['21-13', '21-8']",MS - Qualification,20170308
3,"['Cleudson Jardel Sousa Lima', 'Gabriel Guimaraes Nery']","['[BRA] ', '[BRA] ']","['18-21', '21-18', '21-10']",MS - Qualification,20170308
4,"[""D'Artagnan Da Silva"", 'Pedro Kawakami']","['[BRA] ', '[BRA] ']","['21-18', '21-17']",MS - Qualification,20170308
5,"['Milan Dratva', 'Enzo Sugiura']","['[SVK] ', '[BRA] ']","['21-15', '21-12']",MS - Qualification,20170308
6,"['Ikhsan Leonardo Imanuel Rumbay', 'Artur Silva Pomoceno']","['[INA] ', '[BRA] ']","['21-15', '21-16']",MS - Qualification,20170308
7,"['Jonathan Persson', 'Waleson Vinicios Evangeli Santos']","['[GER] ', '[BRA] ']","['21-12', '19-21', '21-16']",MS - Qualification,20170308
8,"['Francielton Farias', 'Daniel Grassmuck']","['[BRA] ', '[AUT] ']","['21-16', '21-15']",MS - Qualification,20170308
9,"['Giovanni Greco', 'Lucca Trovarelli']","['[ITA] ', '[BRA] ']","['21-11', '21-12']",MS - Qualification,20170308
10,"['Fabricio Farias', 'Matheus Voigt']","['[BRA] ', '[BRA] ']","['21-16', '23-21']",MS - Qualification,20170308
11,"['Joao Marcos Moreira', 'Alonso Medel']","['[BRA] ', '[CHI] ']","['18-21', '21-16', '22-20']",MS - Qualification,20170308
12,"['Igor Ibrahim [1]', 'Luiz Eduardo Martinez']","['[BRA] ', '[BRA] ']","['17-21', '22-20', '21-18']",MS - Qualification,20170308
13,"['Alberto Alvin Yulianto', 'Alex Yuwan Tjong']","['[INA] ', '[BRA] ']","['21-14', '21-13']",MS - Qualification,20170308
14,"['Ivan Leon [3]', 'Cleudson Jardel Sousa Lima']","['[CHI] ', '[BRA] ']","['21-16', '13-21', '21-12']",MS - Qualification,20170308
15,"['Milan Dratva', ""D'Artagnan Da Silva""]","['[SVK] ', '[BRA] ']","['21-11', '22-24', '21-13']",MS - Qualification,20170308
16,"['Ikhsan Leonardo Imanuel Rumbay', 'Jonathan Persson']","['[INA] ', '[GER] ']","['21-16', '21-10']",MS - Qualification,20170308
17,"['Francielton Farias', 'Mateus Carrijo Cutti [4]']","['[BRA] ', '[BRA] ']","['25-23', '21-19']",MS - Qualification,20170308
18,"['Giovanni Greco', 'Fabricio Farias']","['[ITA] ', '[BRA] ']","['21-13', '21-12']",MS - Qualification,20170308
19,"['Joao Marcos Moreira', 'Luiz Dos Santos [2]']","['[BRA] ', '[BRA] ']","['21-19', '21-14']",MS - Qualification,20170308
20,"['Misha Zilberman [1]', 'Kevin Strobl']","['[ISR] ', '[ITA] ']","['21-5', '21-8']",MS,20170308
21,"['Jason Anthony Ho-Shue', 'Matteo Bellucci']","['[CAN] ', '[ITA] ']","['21-11', '21-16']",MS,20170308
22,"['Ikhsan Leonardo Imanuel Rumbay', 'Vilson Vattanirappel [8]']","['[INA] ', '[AUT] ']","['21-9', '21-9']",MS,20170308
23,"['Rudolf Dellenbach', 'Matej Hlinican']","['[ITA] ', '[SVK] ']","['21-9', '21-15']",MS,20170308
24,"['Ygor Coelho [3]', 'Lukas Osele']","['[BRA] ', '[ITA] ']","['21-14', '21-10']",MS,20170308
25,"['Milan Dratva', 'Giovanni Greco']","['[SVK] ', '[ITA] ']","['21-16', '21-19']",MS,20170308
26,"['Kevin Cordon [7]', 'Nicholas Bonkowsky']","['[GUA] ', '[TTO] ']","['21-18', '21-15']",MS,20170308
27,"['Luis Ramon Garrido', 'Alberto Alvin Yulianto']","['[MEX] ', '[INA] ']","['21-15', '21-16']",MS,20170308
