,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Tovannakasem Samatcha', 'Nikoletta Bukoviczki', 'Akos Morocz', 'Nora Hircze']","['[THA] ', '[HUN] ', '[HUN] ', '[HUN] ']","['21-9', '21-12']",XD - Qualification,20171102
1,"['Sander Merits', 'Kati-Kreet Marran', 'Levente Nagy Sz', 'Dora Komives']","['[EST] ', '[EST] ', '[HUN] ', '[HUN] ']","['21-14', '21-12']",XD - Qualification,20171102
2,"['Mads Emil Christensen [4]', 'Claudia Paredes', 'Thomas Bless', 'Jennifer Kobelt']","['[DEN] ', '[DEN] ', '[SUI] ', '[SUI] ']","['21-10', '21-19']",XD - Qualification,20171102
3,"['Jaromir Janacek', 'Sabina Milova', 'Mathias Weber Estrup', 'Josephine Van Zaane']","['[CZE] ', '[CZE] ', '[DEN] ', '[DEN] ']","['12-21', '22-20', '21-11']",XD - Qualification,20171102
4,"['Emil Hybel', 'Sofie Nielsen', 'Gergo Pytel', 'Reka Madarasz']","['[DEN] ', '[DEN] ', '[HUN] ', '[HUN] ']","['21-9', '18-21', '21-10']",XD - Qualification,20171102
5,"['Iztok Utrosa', 'Sereina Hofstetter', 'Matěj Hubáček [3]', 'Berta Ausbergerova']","['[SLO] ', '[SUI] ', '[CZE] ', '[CZE] ']","['24-22', '21-14']",XD - Qualification,20171102
6,"['Filip Jagar', 'Lucija Buchberger', 'Roman Zirnwald', 'Sonja Langthaler']","['[CRO] ', '[CRO] ', '[AUT] ', '[AUT] ']",[],XD - Qualification,20171102
7,"['Ramon Kropf', 'Irina Koelbener', 'Lasse Mølhede', 'Line Nørgaard']","['[SUI] ', '[SUI] ', '[DEN] ', '[DEN] ']",[],XD - Qualification,20171102
8,"['Benjamin Pui Hun Li', 'Zsombor Dulcz']","['[ENG] ', '[HUN] ']","['21-17', '21-13']",MS - Qualification,20171102
9,"['Søren Hald', 'Balazs Papai']","['[DEN] ', '[HUN] ']","['21-17', '21-8']",MS - Qualification,20171102
10,"['Cristian Savin [10]', 'Vladimir Nikulov']","['[MDA] ', '[RUS] ']","['21-8', '21-10']",MS - Qualification,20171102
11,"['Mate Balint', 'Kanan Rzayev']","['[HUN] ', '[AZE] ']","['21-14', '21-12']",MS - Qualification,20171102
12,"['Romain Eudeline [11]', 'Jhotiswaran Karupathevan']","['[FRA] ', '[MAS] ']","['17-21', '21-14', '21-13']",MS - Qualification,20171102
13,"['Jaromir Janacek [8]', 'Juraj Vachalek']","['[CZE] ', '[SVK] ']","['22-20', '21-14']",MS - Qualification,20171102
14,"['Matthew Grimley', 'Marcell Granat']","['[SCO] ', '[HUN] ']","['21-3', '21-4']",MS - Qualification,20171102
15,"['Peter Correl', 'Filip Jagar']","['[DEN] ', '[CRO] ']","['21-11', '21-11']",MS - Qualification,20171102
16,"['Manuel Vazquez [4]', 'Raphaël Peter']","['[ESP] ', '[SUI] ']","['21-7', '21-12']",MS - Qualification,20171102
17,"['Luka Milic', 'Leon Seiwald']","['[SRB] ', '[AUT] ']","['22-20', '21-13']",MS - Qualification,20171102
18,"['Miha Ivanic [16]', 'Christopher Grimley']","['[SLO] ', '[SCO] ']","['21-15', '15-21', '22-20']",MS - Qualification,20171102
19,"['David Kim', 'Sander Merits']","['[DEN] ', '[EST] ']","['21-9', '21-15']",MS - Qualification,20171102
20,"['Mikkel Enghøj [6]', 'Iztok Utrosa']","['[DEN] ', '[SLO] ']","['15-21', '21-19', '21-11']",MS - Qualification,20171102
21,"['Joyireh Avi Manasye', 'Orkhan Galandarov']","['[INA] ', '[AZE] ']","['21-6', '21-12']",MS - Qualification,20171102
22,"['Daniel Nikolov [9]', 'Frederik Aalestrup']","['[BUL] ', '[DEN] ']","['11-21', '21-11', '21-6']",MS - Qualification,20171102
23,"['Jeppe Bruun', 'Teymur Abbasov']","['[DEN] ', '[AZE] ']","['21-3', '21-9']",MS - Qualification,20171102
24,"['Neven Rihtar', 'Akos Morocz']","['[CRO] ', '[HUN] ']","['21-12', '21-19']",MS - Qualification,20171102
25,"['Kasper Dinesen [14]', 'Antoine Bebin']","['[DEN] ', '[FRA] ']","['21-9', '24-22']",MS - Qualification,20171102
26,"['Bence Pytel', 'Artem Serpionov']","['[HUN] ', '[RUS] ']","['21-12', '21-11']",MS - Qualification,20171102
27,"['Milan Dratva [5]', 'Christoffer Elbrønd']","['[SVK] ', '[DEN] ']","['19-21', '26-24', '21-18']",MS - Qualification,20171102
28,"['Ondřej Král', 'Tovannakasem Samatcha']","['[CZE] ', '[THA] ']","['21-15', '14-21', '21-18']",MS - Qualification,20171102
29,"['Vincent Medina [12]', 'Ivan Panev']","['[FRA] ', '[BUL] ']","['21-19', '21-7']",MS - Qualification,20171102
30,"['Marton Szerecz', 'Manuel Manca']","['[HUN] ', '[SUI] ']","['21-16', '21-15']",MS - Qualification,20171102
31,"['Jacob Nilsson [3]', 'Miha Ivancic']","['[SWE] ', '[SLO] ']","['21-9', '21-13']",MS - Qualification,20171102
32,"['Peyo Boichinov', 'Gergo Pytel']","['[BUL] ', '[HUN] ']","['21-15', '21-8']",MS - Qualification,20171102
33,"['Enggar Paksi Wijaya', 'Filip Spoljarec [15]']","['[INA] ', '[CRO] ']","['15-21', '21-19', '21-9']",MS - Qualification,20171102
34,"['Sergey Don', 'Hugo Jardim']","['[UKR] ', '[ENG] ']","['21-5', '21-5']",MS - Qualification,20171102
35,"['Mads Christophersen [7]', 'Brandon Zhi Hao Yap']","['[DEN] ', '[ENG] ']","['21-8', '21-11']",MS - Qualification,20171102
36,"['Jesper Toft', 'Pavel Kotsarenko']","['[DEN] ', '[RUS] ']","['21-19', '11-21', '21-14']",MS - Qualification,20171102
37,"['Joshua Eipe', 'Joonas Korhonen [13]']","['[DEN] ', '[FIN] ']","['21-16', '21-17']",MS - Qualification,20171102
38,"['Phone Pyae Naing', 'Phillipe Charron']","['[MYA] ', '[CAN] ']","['21-14', '21-14']",MS - Qualification,20171102
39,"['Michael Giesinger', 'Bernardo Atilano [2]']","['[AUT] ', '[POR] ']",[],MS - Qualification,20171102
40,"['Søren Hald', 'Benjamin Pui Hun Li']","['[DEN] ', '[ENG] ']","['21-16', '21-16']",MS - Qualification,20171102
41,"['Cristian Savin [10]', 'Peter Correl']","['[MDA] ', '[DEN] ']","['20-22', '21-18', '21-16']",MS - Qualification,20171102
42,"['Jaromir Janacek [8]', 'Mate Balint']","['[CZE] ', '[HUN] ']","['21-6', '21-15']",MS - Qualification,20171102
43,"['Romain Eudeline [11]', 'Matthew Grimley']","['[FRA] ', '[SCO] ']","['21-19', '21-18']",MS - Qualification,20171102
44,"['Luka Milic', 'Manuel Vazquez [4]']","['[SRB] ', '[ESP] ']","['18-21', '21-16', '21-18']",MS - Qualification,20171102
45,"['Miha Ivanic [16]', 'David Kim']","['[SLO] ', '[DEN] ']","['22-20', '21-17']",MS - Qualification,20171102
46,"['Mikkel Enghøj [6]', 'Joyireh Avi Manasye']","['[DEN] ', '[INA] ']","['21-19', '21-14']",MS - Qualification,20171102
47,"['Jeppe Bruun', 'Daniel Nikolov [9]']","['[DEN] ', '[BUL] ']","['21-17', '16-21', '22-20']",MS - Qualification,20171102
48,"['Mads Christophersen [7]', 'Sergey Don']","['[DEN] ', '[UKR] ']","['21-7', '21-12']",MS - Qualification,20171102
49,"['Peyo Boichinov', 'Enggar Paksi Wijaya']","['[BUL] ', '[INA] ']","['21-18', '17-21', '21-9']",MS - Qualification,20171102
50,"['Vincent Medina [12]', 'Ondřej Král']","['[FRA] ', '[CZE] ']","['21-12', '21-14']",MS - Qualification,20171102
51,"['Jacob Nilsson [3]', 'Marton Szerecz']","['[SWE] ', '[HUN] ']","['19-21', '21-6', '22-20']",MS - Qualification,20171102
52,"['Kasper Dinesen [14]', 'Neven Rihtar']","['[DEN] ', '[CRO] ']","['21-15', '21-9']",MS - Qualification,20171102
53,"['Jesper Toft', 'Joshua Eipe']","['[DEN] ', '[DEN] ']","['21-19', '6-21', '21-19']",MS - Qualification,20171102
54,"['Milan Dratva [5]', 'Bence Pytel']","['[SVK] ', '[HUN] ']","['22-20', '21-14']",MS - Qualification,20171102
55,"['Michael Giesinger', 'Phone Pyae Naing']","['[AUT] ', '[MYA] ']","['18-21', '23-21', '21-17']",MS - Qualification,20171102
56,"['Filip Jagar', 'Lucija Buchberger', 'Ramon Kropf', 'Irina Koelbener']","['[CRO] ', '[CRO] ', '[SUI] ', '[SUI] ']","['21-12', '21-15']",XD - Qualification,20171102
57,"['Emil Hybel', 'Sofie Nielsen', 'Iztok Utrosa', 'Sereina Hofstetter']","['[DEN] ', '[DEN] ', '[SLO] ', '[SUI] ']","['21-11', '21-8']",XD - Qualification,20171102
58,"['Mads Emil Christensen [4]', 'Claudia Paredes', 'Jaromir Janacek', 'Sabina Milova']","['[DEN] ', '[DEN] ', '[CZE] ', '[CZE] ']","['21-12', '19-21', '23-21']",XD - Qualification,20171102
59,"['Tovannakasem Samatcha', 'Nikoletta Bukoviczki', 'Sander Merits', 'Kati-Kreet Marran']","['[THA] ', '[HUN] ', '[EST] ', '[EST] ']","['17-21', '21-18', '21-19']",XD - Qualification,20171102
60,"['Mariya Rud', 'Ioanna Karetsa']","['[UKR] ', '[GRE] ']","['21-3', '21-4']",WS - Qualification,20171102
61,"['Petra Polanc', 'Alzbeta Perunska']","['[SLO] ', '[SVK] ']","['19-21', '21-15', '21-9']",WS - Qualification,20171102
62,"['Julie Ferrier', 'Busra Unlu']","['[FRA] ', '[TUR] ']",[],WS - Qualification,20171102
63,"['Mia Tarcalova', 'Carina Meinke']","['[SVK] ', '[AUT] ']","['24-22', '17-21', '21-15']",WS - Qualification,20171102
64,"['Sia Emilie Berg', 'Dorotea Sutara']","['[DEN] ', '[CRO] ']","['21-12', '21-13']",WS - Qualification,20171102
65,"['Elena Komendrovskaja', 'Orsolya Varga']","['[RUS] ', '[HUN] ']","['21-8', '21-7']",WS - Qualification,20171102
66,"['Daniella Gonda', 'Inga Sadaić']","['[HUN] ', '[CRO] ']","['21-14', '21-17']",WS - Qualification,20171102
67,"['Katarina Vargova', 'Bianka Bukoviczki']","['[SVK] ', '[HUN] ']","['21-18', '21-14']",WS - Qualification,20171102
68,"['Katharina Hochmeir', 'Sabina Milova']","['[AUT] ', '[CZE] ']","['23-21', '21-13']",WS - Qualification,20171102
69,"['Vivien Sandorhazi', 'Sereina Hofstetter']","['[HUN] ', '[SUI] ']","['21-6', '21-6']",WS - Qualification,20171102
70,"['Sara Penalver Pereira', 'Jennifer Kobelt']","['[ESP] ', '[SUI] ']","['21-11', '21-5']",WS - Qualification,20171102
71,"['Mads Emil Christensen', 'Tobias Holst', 'Thomas Bless', 'Manuel Manca']","['[DEN] ', '[DEN] ', '[SUI] ', '[SUI] ']","['21-11', '21-11']",MD - Qualification,20171102
72,"['Ramon Kropf', 'Iztok Utrosa', 'Brandon Zhi Hao Yap', 'Yee Guan Yap']","['[SUI] ', '[SLO] ', '[ENG] ', '[ENG] ']","['17-21', '21-17', '21-16']",MD - Qualification,20171102
73,"['Emre Sonmez', 'Mert Tunco', 'Andrija Doder', 'Luka Milic']","['[TUR] ', '[TUR] ', '[SRB] ', '[SRB] ']","['21-19', '21-19']",MD - Qualification,20171102
74,"['Emil Hybel', 'Mathias Thyrri', 'Zsombor Dulcz', 'Levente Nagy Sz']","['[DEN] ', '[DEN] ', '[HUN] ', '[HUN] ']","['21-7', '21-13']",MD - Qualification,20171102
75,"['Mariya Rud', 'Emilie Aalestrup']","['[UKR] ', '[DEN] ']","['21-19', '21-17']",WS - Qualification,20171102
76,"['Reka Madarasz [3]', 'Petra Polanc']","['[HUN] ', '[SLO] ']","['21-14', '21-10']",WS - Qualification,20171102
77,"['Sia Emilie Berg', 'Katharina Hochmeir']","['[DEN] ', '[AUT] ']","['21-8', '21-17']",WS - Qualification,20171102
78,"['Julie Ferrier', 'Mia Tarcalova']","['[FRA] ', '[SVK] ']","['21-17', '22-24', '21-10']",WS - Qualification,20171102
79,"['Sara Penalver Pereira', 'Ashwathi Pillai [1]']","['[ESP] ', '[SWE] ']",[],WS - Qualification,20171102
80,"['Elena Komendrovskaja', 'Daniella Gonda']","['[RUS] ', '[HUN] ']","['21-14', '21-12']",WS - Qualification,20171102
81,"['Holly Newall [2]', 'Katarina Vargova']","['[SCO] ', '[SVK] ']","['21-14', '21-8']",WS - Qualification,20171102
