,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Cristobal Conejero', 'Matias Ivan Villalba Bauman']","['[CHI] ', '[PAR] ']",[],MS - Qualification,20171018
1,"['Serafin Zayas', 'Mauricio David Torres Olazar']","['[ARG] ', '[PAR] ']","['21-12', '21-13']",MS - Qualification,20171018
2,"['Dino Delmastro', 'Julio Cesar Gonzalez Vera']","['[ARG] ', '[PAR] ']","['21-10', '21-9']",MS - Qualification,20171018
3,"['Fernando Sanhueza', 'Jaime Elieser Arce Aguirre']","['[CHI] ', '[PAR] ']","['21-18', '21-9']",MS - Qualification,20171018
4,"['Kevin Cordon [1]', 'Tony Wang']","['[GUA] ', '[BRA] ']","['21-5', '21-12']",MS,20171018
5,"['Vinicius Alecrim Paula', 'Leo Lee']","['[BRA] ', '[PAR] ']","['21-11', '21-16']",MS,20171018
6,"['Felipe Roberto Mendes Ribeiro', 'Ivan Leon [5]']","['[BRA] ', '[CHI] ']","['21-10', '14-21', '21-12']",MS,20171018
7,"['Dino Delmastro', 'Francisco Brandao']","['[ARG] ', '[BRA] ']","['19-21', '21-14', '21-8']",MS,20171018
8,"['Luis Ramon Garrido [3]', 'Victor Alves']","['[MEX] ', '[BRA] ']","['21-10', '21-5']",MS,20171018
9,"['Eduardo Vaz', 'Cristobal Conejero']","['[BRA] ', '[CHI] ']","['19-21', '24-22', '21-13']",MS,20171018
10,"['Artur Silva Pomoceno [7]', 'Donnians Oliveira']","['[BRA] ', '[BRA] ']","['21-15', '17-21', '21-14']",MS,20171018
11,"['Mateus Carrijo Cutti', 'Alec Changmoura']","['[BRA] ', '[PAR] ']","['21-5', '21-5']",MS,20171018
12,"['Rafael Faria', 'Serafin Zayas']","['[BRA] ', '[ARG] ']","['21-19', '21-14']",MS,20171018
13,"['Igor Ibrahim [8]', 'Marcelo Bosa Oliveira']","['[BRA] ', '[BRA] ']","['21-4', '21-6']",MS,20171018
14,"['Enzo Sugiura', 'Claudio Richar Franco Paredes']","['[BRA] ', '[PAR] ']","['21-7', '21-7']",MS,20171018
15,"['Anibal Marroquin [4]', 'Jonathan Matias']","['[GUA] ', '[BRA] ']","['14-21', '23-21', '21-16']",MS,20171018
16,"['Felipe Augusto Faria', 'Renzo Raul Ortiz Avalos']","['[BRA] ', '[PAR] ']","['21-16', '21-10']",MS,20171018
17,"['Cristian Araya [6]', 'Willian Guimaraes']","['[CHI] ', '[BRA] ']","['21-16', '21-17']",MS,20171018
18,"['Matheus Voigt', 'Fernando Sanhueza']","['[BRA] ', '[CHI] ']","['21-15', '21-10']",MS,20171018
19,"['Duarte Nuno Anjo [2]', 'Vinicius Oliveira Silva']","['[POR] ', '[BRA] ']","['21-7', '21-10']",MS,20171018
20,"['Bianca Oliveira Lima', 'Camila Dahiana Alvarez Benitez']","['[BRA] ', '[PAR] ']","['21-8', '21-7']",WS,20171018
21,"['Manoela Koepsel', 'Florencia Bernatene']","['[BRA] ', '[ARG] ']","['21-17', '13-21', '21-7']",WS,20171018
22,"['Ashley Montre', 'Rosalina De Souza']","['[CHI] ', '[BRA] ']","['16-21', '21-13', '21-5']",WS,20171018
23,"['Diana Corleto Soto', 'Barbara Maria Berruezo']","['[GUA] ', '[ARG] ']","['21-11', '21-12']",WS,20171018
24,"['Fabiana Silva', 'Megu Minoda']","['[BRA] ', '[PAR] ']","['21-11', '21-14']",WS,20171018
25,"['Lohaynny Vicente', 'Camila Macaya']","['[BRA] ', '[CHI] ']","['21-11', '21-8']",WS,20171018
26,"['Anibal Marroquin', 'Mariana Isabel Paiz Quan', 'Victor Alves', 'Manoela Koepsel']","['[GUA] ', '[GUA] ', '[BRA] ', '[BRA] ']","['21-18', '21-7']",XD,20171018
