,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Christopher Grimley', 'Ciara Torrance', 'Sturla Flaten Jorgensen', 'Emilie Faarup Storvik']","['[SCO] ', '[SCO] ', '[NOR] ', '[NOR] ']","['21-17', '21-17']",XD - Qualification ,20170309,"Caldas da Rainha, Portugal"
1,"['Miha Ivanic [11]', 'Marco Jorge']","['[SLO] ', '[POR] ']","['21-12', '21-10']",MS - Qualification ,20170309,"Caldas da Rainha, Portugal"
2,"['Krzysztof Jakowczuk', 'Christopher Grimley']","['[POL] ', '[SCO] ']","['21-19', '19-21', '21-11']",MS - Qualification ,20170309,"Caldas da Rainha, Portugal"
3,"['Ross Green', 'Andraz Krapez']","['[ENG] ', '[SLO] ']","['21-18', '21-18']",MS - Qualification ,20170309,"Caldas da Rainha, Portugal"
4,"['Daniel Nikolov [9]', 'Miha Ivancic']","['[BUL] ', '[SLO] ']","['18-21', '21-14', '21-16']",MS - Qualification ,20170309,"Caldas da Rainha, Portugal"
5,"['Jocelyn Deschamp [13]', 'Luke Pearce']","['[FRA] ', '[ENG] ']","['21-15', '21-12']",MS - Qualification ,20170309,"Caldas da Rainha, Portugal"
6,"['Nathan Vervaeke [5]', 'Martin Cerkovnik']","['[BEL] ', '[SLO] ']","['23-21', '21-10']",MS - Qualification ,20170309,"Caldas da Rainha, Portugal"
7,"['Sara Penalver Pereira', 'Paige Butler [8]']","['[ESP] ', '[ENG] ']","['21-12', '21-16']",WS - Qualification ,20170309,"Caldas da Rainha, Portugal"
8,"['Juliane Piron', 'Line Fleischer']","['[FRA] ', '[DEN] ']","['21-11', '13-21', '21-15']",WS - Qualification ,20170309,"Caldas da Rainha, Portugal"
9,"['Claudia Paredes', 'Helena Pestana']","['[DEN] ', '[POR] ']","['17-21', '21-16', '21-9']",WS - Qualification ,20170309,"Caldas da Rainha, Portugal"
10,"['Miguel Rocha [3]', 'Carlos André Silva', 'Francisco B. Mendes', 'Pedro Santos']","['[POR] ', '[POR] ', '[POR] ', '[POR] ']","['21-13', '23-21']",MD - Qualification ,20170309,"Caldas da Rainha, Portugal"
