,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Tuan Duc Do', 'Nhu Thao Pham', 'Yehezkiel Fritz Mainaky', 'Lyanny Alessandra Mainaky']","['[VIE] ', '[VIE] ', '[INA] ', '[INA] ']","['21-15', '21-12']",XD - Qualification,20170612
1,"['Choi Solgyu', 'Kim Dukyoung', 'Trikusuma Wardhana', 'Riky Widianto']","['[KOR] ', '[KOR] ', '[INA] ', '[INA] ']","['21-10', '14-4']",MD - Qualification,20170612
2,"['Lukhi Apri Nugroho', 'Ririn Amelia', 'Fernando Kurniawan', 'Dian Fitriani']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['24-22', '11-21', '21-13']",XD - Qualification,20170612
3,"['Liu Yuchen', 'Tang Jinhua', 'Rinov Rivaldy', 'Angelica Wiratama']","['[CHN] ', '[CHN] ', '[INA] ', '[INA] ']","['21-14', '21-17']",XD - Qualification,20170612
4,"['Jian Yi Lee', 'Zhen Ting Lim', 'Andrei Adistia', 'Agripinna Prima Rahmanto Putra']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-15', '13-21', '20-18']",MD - Qualification,20170612
5,"['Hendra Setiawan [4]', 'Boon Heong Tan', 'Kenas Adi Haryanto', 'Moh Reza Pahlevi Isfahani']","['[INA] ', '[MAS] ', '[INA] ', '[INA] ']","['23-25', '21-17', '21-18']",MD - Qualification,20170612
6,"['Irfan Fadhilah [4]', 'Weni Anggraini', 'Akbar Bintang Cahyono', 'Winny Oktavina Kandow']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-13', '17-21', '21-11']",XD - Qualification,20170612
7,"['Amri Syahnawi', 'Brigita Marcelia Rumambi', 'Mohamad Arif Abdul Latif', 'Rusydina Antardayu Riodingin']","['[INA] ', '[INA] ', '[MAS] ', '[INA] ']","['21-16', '22-20']",XD - Qualification,20170612
8,"['Anders Skaarup Rasmussen', 'Maiken Fruergaard', 'Yantoni Edy Saputra [3]', 'Marsheilla Gischa Islami']","['[DEN] ', '[DEN] ', '[INA] ', '[INA] ']","['19-21', '22-20', '24-22']",XD - Qualification,20170612
9,"['Fachryza Abimanyu', 'Bunga Fitriani Romadhini', 'Satrya Aditha', 'Mia Mawarti']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-4', '21-13']",XD - Qualification,20170612
10,"['Tinn Isriyanet', 'Pacharapun Chochuwong', 'Riky Widianto', 'Nadya Melati']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-15', '21-12']",XD - Qualification,20170612
