,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Daophet Phetsiriseng', 'Phonesavanh Phommavan', 'Krit Panapitukkul', 'Ploynaputh Anandechjurakun']","['[LAO] ', '[LAO] ', '[THA] ', '[THA] ']","['21-17', '21-15']",XD - Qualification,20171031
1,"['Vasupol Uraiwong', 'Ajjima Tongchai', 'Weratchai Chirdshewasat', 'Piyaporn Thiangarrom']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-15', '21-5']",XD - Qualification,20171031
2,"['Hiripongsathorn Nopparat', 'Pornnicha Suwatanodom', 'Phaphoom Phuengpho', 'Thipthida Khongson']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-14', '21-11']",XD - Qualification,20171031
3,"['Soravis Pijitpalakad', 'Mattana Hemrachatanun', 'Vongsuvanh Luangmany', 'Aphaphone Sonenalath']","['[THA] ', '[THA] ', '[LAO] ', '[LAO] ']","['21-12', '21-4']",XD - Qualification,20171031
4,"['Thanapat Rungrattanapon', 'Nichakarn Kwandaeng', 'Tanapoompat Permtermsin', 'Siwarat Sangnate']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-16', '21-14']",XD - Qualification,20171031
5,"['Quoc Huy Nguyen', 'Prinya Saijai']","['[VIE] ', '[THA] ']","['21-18', '21-18']",MS - Qualification,20171031
6,"['Siriwat Matayanumati', 'Kosal Yan']","['[THA] ', '[CAM] ']","['21-10', '21-23', '21-15']",MS - Qualification,20171031
7,"['Namboun Luangamath', 'Wongsakon Hammanee']","['[LAO] ', '[THA] ']","['21-13', '21-13']",MS - Qualification,20171031
8,"['Xaysomphone Vongpachith', 'Sawit Nilyok']","['[LAO] ', '[THA] ']","['21-14', '21-8']",MS - Qualification,20171031
9,"['Vilabandid Seesomded', 'Sawikrom Limawiang']","['[LAO] ', '[THA] ']","['21-19', '21-14']",MS - Qualification,20171031
10,"['Quang Dinh Tran', 'Thanaphat Ahpapanlert']","['[VIE] ', '[THA] ']","['21-12', '21-7']",MS - Qualification,20171031
11,"['Cheng Phorrom', 'Akkharakorn Limpasurat']","['[CAM] ', '[THA] ']","['21-9', '21-9']",MS - Qualification,20171031
12,"['Hiripongsathorn Nopparat', 'Thunatorn Nakin']","['[THA] ', '[THA] ']",[],MS - Qualification,20171031
13,"['Varot Uraiwong', 'Phaxay Sengchaleun']","['[THA] ', '[LAO] ']","['21-12', '21-13']",MS - Qualification,20171031
14,"['Soravis Pijitpalakad', 'Peerawich Panampol']","['[THA] ', '[THA] ']","['21-4', '21-10']",MS - Qualification,20171031
15,"['Nguyen Hai Dang', 'Worapat Surakkhaka']","['[VIE] ', '[THA] ']","['21-8', '21-15']",MS - Qualification,20171031
16,"['Vannthoun Vath', 'Sukapak Chotsupakarn']","['[CAM] ', '[THA] ']","['21-17', '21-7']",MS - Qualification,20171031
17,"['Chayanin Susasin', 'Khampheng Sisomphaeng']","['[THA] ', '[LAO] ']","['15-21', '21-14', '21-12']",MS - Qualification,20171031
18,"['Natthavouth Sypaserth', 'Sitiyo Sirikoon']","['[LAO] ', '[THA] ']",[],MS - Qualification,20171031
19,"['Vanphason Suvannaphengsy', 'Akharaphat Vannacharoenvong']","['[LAO] ', '[THA] ']","['21-17', '21-19']",MS - Qualification,20171031
20,"['Thanadol Intasorn', 'Andrew Chang']","['[THA] ', '[MAS] ']","['21-10', '23-21']",MS - Qualification,20171031
21,"['Phonepadit Phengsakoun', 'Vanhpasith Philavanh', 'Sahapun Gatsiree', 'Tanapoompat Permtermsin']","['[LAO] ', '[LAO] ', '[THA] ', '[THA] ']","['21-13', '21-8']",MD - Qualification,20171031
22,"['Namboun Luangamath', 'Daophet Phetsiriseng', 'Piyaput Akkarach', 'Vasupol Uraiwong']","['[LAO] ', '[LAO] ', '[THA] ', '[THA] ']","['21-16', '21-15']",MD - Qualification,20171031
23,"['Jialanai Luang Amath', 'Saypaserth Phadouangdeth', 'Sawit Nilyok', 'Prinya Saijai']","['[LAO] ', '[LAO] ', '[THA] ', '[THA] ']","['21-7', '21-9']",MD - Qualification,20171031
24,"['Axay Luangkhamdeng', 'Vongsuvanh Luangmany', 'Thanaphat Ahpapanlert', 'Sawikrom Limawiang']","['[LAO] ', '[LAO] ', '[THA] ', '[THA] ']","['21-8', '21-9']",MD - Qualification,20171031
25,"['Siriwat Matayanumati', 'Hiripongsathorn Nopparat', 'Hon Jian Choong', 'Wei Shun Ng']","['[THA] ', '[THA] ', '[MAS] ', '[MAS] ']","['21-14', '21-19']",MD - Qualification,20171031
26,"['Phanthasone Sengvidason', 'Xaysomphone Vongpachith', 'Peerawich Panampol', 'Chayanin Susasin']","['[LAO] ', '[LAO] ', '[THA] ', '[THA] ']","['21-13', '21-17']",MD - Qualification,20171031
27,"['Vilabandid Seesomded', 'Natthavouth Sypaserth', 'Wongsakon Hammanee', 'Asiya Intarawattana']","['[LAO] ', '[LAO] ', '[THA] ', '[THA] ']","['21-19', '21-16']",MD - Qualification,20171031
