,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Danny Bawa Chrisnanta', 'Jia Ying Crystal Wong', 'Ho Wai Lun [4]', 'Yuen Sin Ying']","['[SGP] ', '[SGP] ', '[HKG] ', '[HKG] ']","['18-21', '24-22', '21-15']",XD - Group D ,20170425
1,"['Ng Wing Yung [3]', 'Yuen Sin Ying', 'Soraya Aghaeihajiagha', 'Sara Delavari Kashani']","['[HKG] ', '[HKG] ', '[IRI] ', '[IRI] ']","['21-9', '21-5']",WD - Group C ,20170425
2,"['Yu Chieh Cheng [2]', 'Ling Fang Hu', 'Chi Leng Kuan', 'Weng Chi Ng']","['[TPE] ', '[TPE] ', '[MAC] ', '[MAC] ']","['21-8', '21-8']",WD - Group B ,20170425
3,"['Soraya Aghaeihajiagha', 'Maisa Fathuhulla Ismail']","['[IRI] ', '[MDV] ']","['21-8', '21-8']",WS - Group A ,20170425
4,"['Ho Wai Lun', 'Tam Chun Hei', 'Bahaedeen Ahmad Alshannik', 'Mohd Naser Mansour Nayef']","['[HKG] ', '[HKG] ', '[JOR] ', '[JOR] ']","['21-10', '21-7']",MD - Group C ,20170425
5,"['Thu Huyen Le', 'Nhu Thao Pham', 'Soraya Aghaeihajiagha', 'Sara Delavari Kashani']","['[VIE] ', '[VIE] ', '[IRI] ', '[IRI] ']","['21-10', '21-9']",WD - Group C ,20170425
6,"['Niluka Karunaratne [3]', 'Bahaedeen Ahmad Alshannik']","['[SRI] ', '[JOR] ']","['21-5', '21-16']",MS - Group D ,20170425
7,"['Peter Gabriel Magnaye [4]', 'Alvin Morada', 'Bahaedeen Ahmad Alshannik', 'Mohd Naser Mansour Nayef']","['[PHI] ', '[PHI] ', '[JOR] ', '[JOR] ']","['21-11', '21-14']",MD - Group C ,20170425
8,"['Jang Mi Lee', 'Ying Ying Lee [2]']","['[KOR] ', '[MAS] ']","['21-19', '21-13']",WS - Group B ,20170425
9,"['Sarah Joy Barredo', 'Weng Chi Ng']","['[PHI] ', '[MAC] ']","['23-21', '21-16']",WS - Group C ,20170425
10,"['Bahaedeen Ahmad Alshannik', 'Artyom Savatyugin']","['[JOR] ', '[UZB] ']","['21-14', '15-21', '21-14']",MS - Group D ,20170425
11,"['Peiy Yee, Payee Lim', 'Peiy Zhean Lim', 'Chi Leng Kuan', 'Weng Chi Ng']","['[MAS] ', '[MAS] ', '[MAC] ', '[MAC] ']","['21-12', '21-16']",WD - Group B ,20170425
12,"['Ying Ying Lee [2]', 'Domou Amro']","['[MAS] ', '[JOR] ']","['21-6', '21-8']",WS - Group B ,20170425
13,"['Ng Wing Yung [3]', 'Yuen Sin Ying', 'Thu Huyen Le', 'Nhu Thao Pham']","['[HKG] ', '[HKG] ', '[VIE] ', '[VIE] ']","['21-19', '21-12']",WD - Group C ,20170425
14,"['Thuy Linh Nguyen [4]', 'Lekha Shehani']","['[VIE] ', '[SRI] ']","['21-14', '21-8']",WS - Group D ,20170425
15,"['Tuan Duc Do [3]', 'Hong Nam Pham', 'Carlos Antonie Cayanan', 'Philip Joper Escueta']","['[VIE] ', '[VIE] ', '[PHI] ', '[PHI] ']","['22-20', '25-23']",MD - Group D ,20170425
16,"['Kenta Nishimoto', 'Amir Jabbari']","['[JPN] ', '[IRI] ']","['21-10', '21-15']",MS - Group A ,20170425
