,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Julie Dawall Jakobsen [2]', 'Natalya Voytsekh']","['[DEN] ', '[UKR] ']","['22-20', '21-16']",WS - Qualification,20171031
1,"['David Kramer', 'Juno Thomas']","['[GER] ', '[LUX] ']","['21-13', '21-13']",MS - Qualification,20171031
2,"['Mattias Sonderskov', 'Thiyagarajan Purusothaman']","['[LUX] ', '[GER] ']","['21-6', '21-9']",MS - Qualification,20171031
3,"['Nur Mohd Azriyn Ayub', 'Zi Heng Ooi', 'Patrick Scheiel', 'Julian Voigt']","['[MAS] ', '[MAS] ', '[GER] ', '[GER] ']","['18-21', '21-19', '21-19']",MD - Qualification,20171031
4,"['Quentin Filliettaz', 'Tobias Mund']","['[SUI] ', '[GER] ']","['21-10', '21-12']",MS - Qualification,20171031
5,"['Ayla Huser', 'Georgina Bland']","['[SUI] ', '[ENG] ']","['21-11', '15-21', '21-19']",WS - Qualification,20171031
6,"['Anders Skaarup Rasmussen', 'Line Højmark Kjaersfeldt', 'Alex Vlaar', 'Iris Tabeling']","['[DEN] ', '[DEN] ', '[BUL] ', '[NED] ']","['21-14', '21-15']",XD - Qualification,20171031
7,"['Tan Qiang', 'Xu Ya', 'Kevin Strobl', 'Silvia Garino']","['[CHN] ', '[CHN] ', '[ITA] ', '[ITA] ']","['21-6', '21-7']",XD - Qualification,20171031
8,"['Nikita Khakimov', 'Andrey Parakhodin', 'Daniel Hess', 'Jan Colin Völker']","['[RUS] ', '[RUS] ', '[GER] ', '[GER] ']","['21-15', '21-12']",MD - Qualification,20171031
9,"['Yvonne Li', 'Maryna Ilyinskaya']","['[GER] ', '[UKR] ']","['21-19', '21-11']",WS - Qualification,20171031
10,"['Chloe Birch [1]', 'Lianne Tan']","['[ENG] ', '[BEL] ']","['16-21', '21-17', '21-14']",WS - Qualification,20171031
11,"['Johannes Pistorius', 'Lara Kaepplein', 'Dmytro Zavadsky', 'Yelyzaveta Zharka']","['[GER] ', '[GER] ', '[UKR] ', '[UKR] ']","['21-11', '21-10']",XD - Qualification,20171031
12,"['Peter Lang', 'Thomas Legleitner', 'Robert Mann', 'Mike Vallenthini']","['[GER] ', '[GER] ', '[LUX] ', '[LUX] ']","['21-15', '21-13']",MD - Qualification,20171031
13,"['Patrick Scheiel', 'Franziska Volkmann', 'Lukas Osele', 'Lisa Iversen']","['[GER] ', '[GER] ', '[ITA] ', '[ITA] ']","['21-15', '21-14']",XD - Qualification,20171031
14,"['Mathias Bonny', 'Oliver Schaller', 'Mattias Sonderskov', 'Juno Thomas']","['[SUI] ', '[SUI] ', '[LUX] ', '[LUX] ']","['21-10', '21-15']",MD - Qualification,20171031
15,"['Toma Junior Popov', 'David Peng']","['[FRA] ', '[GER] ']","['21-13', '21-19']",MS,20171031
16,"['Rasmus Gemke', 'Alexander Roovers']","['[DEN] ', '[GER] ']","['21-14', '21-12']",MS,20171031
17,"['Kieran Merrilees', 'Christopher Skrzeba']","['[SCO] ', '[GER] ']","['21-18', '21-12']",MS,20171031
18,"['Max Weisskirchen', 'Yann Zaccaria']","['[GER] ', '[LUX] ']","['21-6', '21-8']",MS,20171031
19,"['Giovanni Greco', 'Jonathan Persson']","['[ITA] ', '[GER] ']","['21-15', '22-20']",MS,20171031
20,"['Mark Caljouw [12]', 'Maxime Moreels']","['[NED] ', '[BEL] ']","['21-23', '21-11', '21-13']",MS,20171031
21,"['Qiao Bin [6]', 'Quentin Filliettaz']","['[CHN] ', '[SUI] ']","['21-12', '21-6']",MS,20171031
22,"['Lin Yu Hsien [11]', 'Collins Valentine Filimon']","['[TPE] ', '[ROU] ']","['21-11', '23-21']",MS,20171031
23,"['Simon Wang', 'Wolfgang Gnedt']","['[GER] ', '[AUT] ']","['14-21', '21-18', '21-16']",MS,20171031
24,"['Iskandar Zulkarnain [16]', 'Samuel Hsiao']","['[MAS] ', '[GER] ']","['21-10', '21-5']",MS,20171031
25,"['Kim Bruun [15]', 'Christian Kirchmayr']","['[DEN] ', '[SUI] ']","['21-15', '21-15']",MS,20171031
26,"['Panji Akbar Sudrajat', 'Rosario Maddaloni']","['[INA] ', '[ITA] ']","['21-15', '21-9']",MS,20171031
27,"['Hsu Jen Hao [4]', 'Joel König']","['[TPE] ', '[SUI] ']","['21-9', '21-9']",MS,20171031
28,"['Christoph Offermann', 'Mattias Sonderskov']","['[GER] ', '[LUX] ']","['21-15', '21-19']",MS,20171031
29,"['Rajiv Ouseph [2]', 'Nicolas Lenggenhager']","['[ENG] ', '[SUI] ']","['21-10', '21-12']",MS,20171031
30,"['Wang Yuehang', 'Andrey Parakhodin']","['[ENG] ', '[RUS] ']","['21-10', '21-8']",MS,20171031
31,"['Alex Vlaar', 'Birger Abts']","['[BUL] ', '[BEL] ']","['16-21', '21-16', '24-22']",MS,20171031
32,"['Ygor Coelho [7]', 'Rowan Scheurkogel']","['[BRA] ', '[BEL] ']","['21-18', '21-8']",MS,20171031
33,"['Suppanyu Avihingsanon [13]', 'Mathias Bonny']","['[THA] ', '[SUI] ']","['21-16', '21-10']",MS,20171031
34,"['Erik Meijs', 'Michael Spencer-Smith']","['[NED] ', '[ENG] ']","['21-7', '21-9']",MS,20171031
35,"['Emil Holst [9]', 'Eetu Heino']","['[DEN] ', '[FIN] ']","['21-12', '21-12']",MS,20171031
36,"['Kai Schaefer', 'Dmytro Zavadsky']","['[GER] ', '[UKR] ']","['21-4', '21-9']",MS,20171031
37,"['Lucas Corvee', 'David Kramer']","['[FRA] ', '[GER] ']","['21-16', '21-11']",MS,20171031
38,"['Mike Vallenthini', 'Raymond Webster']","['[LUX] ', '[ENG] ']","['21-3', '21-5']",MS,20171031
39,"['Lee Zii Jia [14]', 'Lars Schaenzler']","['[MAS] ', '[GER] ']","['21-14', '21-18']",MS,20171031
40,"['Lucas Claerbout', 'Joshua Magee']","['[FRA] ', '[IRL] ']","['21-14', '21-16']",MS,20171031
41,"['Zewei Xie', 'Lukas Osele']","['[GER] ', '[ITA] ']","['15-21', '21-14', '21-8']",MS,20171031
42,"['Artem Pochtarov', 'Zvonimir Durkinjak']","['[UKR] ', '[CRO] ']","['21-19', '21-14']",MS,20171031
43,"['Khosit Phetpradab [8]', 'Philip Discher']","['[THA] ', '[GER] ']","['21-15', '21-12']",MS,20171031
44,"['Huang Yuxiang [5]', 'Robert Mann']","['[CHN] ', '[LUX] ']","['21-16', '21-16']",MS,20171031
45,"['Valeriy Atrashchenkov', 'Peter Lang']","['[UKR] ', '[GER] ']","['8-21', '21-15', '21-17']",MS,20171031
46,"['Brice Leverdez [3]', 'Hannes Gerberich']","['[FRA] ', '[GER] ']","['21-11', '21-19']",MS,20171031
47,"['Line Højmark Kjaersfeldt', 'Maria Ulitina']","['[DEN] ', '[UKR] ']","['11-21', '21-16', '21-13']",WS,20171031
48,"['Beiwen Zhang [1]', 'Kate Foo Kune']","['[USA] ', '[MRI] ']","['21-8', '21-11']",WS,20171031
49,"['Chloe Birch', 'Natalia Perminova']","['[ENG] ', '[RUS] ']","['21-18', '19-21', '23-21']",WS,20171031
50,"['Lee Chia Hsin', 'Kirsty Gilmour [5]']","['[TPE] ', '[SCO] ']","['21-15', '21-15']",WS,20171031
51,"['Hanna Ramadini', 'Delphine Lansac']","['[INA] ', '[FRA] ']","['21-16', '21-13']",WS,20171031
52,"['Pai Yu Po', 'Busanan Ongbamrungphan [3]']","['[TPE] ', '[THA] ']","['21-19', '12-10']",WS,20171031
53,"['Fabienne Deprez', 'Beatriz Corrales [6]']","['[GER] ', '[ESP] ']","['14-21', '21-17', '21-15']",WS,20171031
54,"['Sung Shuo Yun', 'Sofie Holmboe Dahl']","['[TPE] ', '[DEN] ']","['21-14', '19-21', '21-8']",WS,20171031
55,"['Pornpawee Chochuwong [7]', 'Mia Blichfeldt']","['[THA] ', '[DEN] ']","['21-23', '22-20', '21-17']",WS,20171031
56,"['Dinar Dyah Ayustine', 'Ayla Huser']","['[INA] ', '[SUI] ']","['21-11', '21-15']",WS,20171031
57,"['Luise Heim', 'Mariya Mitsova']","['[GER] ', '[BUL] ']","['21-19', '21-17']",WS,20171031
58,"['Chen Xiaoxin [4]', 'Julie Dawall Jakobsen']","['[CHN] ', '[DEN] ']","['21-16', '21-11']",WS,20171031
59,"['Yvonne Li', 'Soniia Cheah [8]']","['[GER] ', '[MAS] ']","['25-23', '21-17']",WS,20171031
60,"['Chiang Mei Hui', 'Fontaine Mica Wright']","['[TPE] ', '[ENG] ']","['21-15', '21-19']",WS,20171031
61,"['Michelle Li', 'Natalia Koch Rohde']","['[CAN] ', '[DEN] ']","['14-21', '21-19', '21-16']",WS,20171031
62,"['Nitchaon Jindapol [2]', 'Mette Poulsen']","['[THA] ', '[DEN] ']","['21-13', '21-17']",WS,20171031
63,"['Mark Lamsfuss', 'Marvin Emil Seidel', 'Peter Briggs', 'Tom Wolfenden']","['[GER] ', '[GER] ', '[ENG] ', '[ENG] ']","['21-18', '8-21', '21-13']",MD,20171031
64,"['Chen Hung Ling [1]', 'Wang Chi-Lin', 'Ben Lane', 'Sean Vendy']","['[TPE] ', '[TPE] ', '[ENG] ', '[ENG] ']","['21-23', '21-11', '21-14']",MD,20171031
65,"['Mathias Christiansen [5]', 'David Daugaard', 'Alexander Dunn', 'Adam Hall']","['[DEN] ', '[DEN] ', '[SCO] ', '[SCO] ']","['21-14', '18-21', '21-15']",MD,20171031
66,"['Kasper Antonsen', 'Niclas Nohr', 'Konstantin Abramov', 'Alexandr Zinchenko']","['[DEN] ', '[DEN] ', '[RUS] ', '[RUS] ']","['21-15', '10-21', '21-10']",MD,20171031
67,"['Fajar Alfian [4]', 'Muhammad Rian Ardianto', 'Jacco Arends', 'Ruben Jille']","['[INA] ', '[INA] ', '[NED] ', '[NED] ']","['21-17', '21-10']",MD,20171031
68,"['Tinn Isriyanet', 'Kittisak Namdash', 'Nikita Khakimov', 'Andrey Parakhodin']","['[THA] ', '[THA] ', '[RUS] ', '[RUS] ']",['8-1'],MD,20171031
69,"['Goh V Shem [6]', 'Teo Ee Yi', 'Bastian Kersaudy', 'Julien Maio']","['[MAS] ', '[MAS] ', '[FRA] ', '[FRA] ']","['21-12', '21-16']",MD,20171031
70,"['He Jiting', 'Tan Qiang', 'Mathias Bonny', 'Oliver Schaller']","['[CHN] ', '[CHN] ', '[SUI] ', '[SUI] ']","['21-15', '21-11']",MD,20171031
71,"['Joshua Magee', 'Sam Magee', 'Matijs Dierickx', 'Freek Golinski']","['[IRL] ', '[IRL] ', '[BEL] ', '[BEL] ']","['21-10', '13-21', '21-17']",MD,20171031
72,"['Thom Gicquel', 'Ronan Labar', 'Lukas Osele', 'Kevin Strobl']","['[FRA] ', '[FRA] ', '[ITA] ', '[ITA] ']","['21-14', '21-14']",MD,20171031
73,"['Nur Mohd Azriyn Ayub', 'Zi Heng Ooi', 'Jelle Maas', 'Robin Tabeling']","['[MAS] ', '[MAS] ', '[NED] ', '[NED] ']","['21-17', '16-21', '21-18']",MD,20171031
74,"['Bodin Isara [3]', 'Nipitphon Phuangphuapet', 'Vitalij Durkin', 'Nikolai Ukk']","['[THA] ', '[THA] ', '[RUS] ', '[RUS] ']","['21-9', '21-12']",MD,20171031
75,"['Mathias Bay-Smidt', 'Frederik Søgaard', 'Daniel Benz', 'Andreas Heinz']","['[DEN] ', '[DEN] ', '[GER] ', '[GER] ']","['21-15', '21-13']",MD,20171031
76,"['Ong Yew Sin [6]', 'Tan Wee Kiong', 'Peter Lang', 'Thomas Legleitner']","['[MAS] ', '[MAS] ', '[GER] ', '[GER] ']",[],MD,20171031
77,"['Jones Ralfy Jansen', 'Josche Zurwonne', 'Martin Campbell', 'Patrick Machugh']","['[GER] ', '[GER] ', '[SCO] ', '[SCO] ']","['10-21', '21-11', '21-11']",MD,20171031
78,"['Kim Astrup [2]', 'Anders Skaarup Rasmussen', 'Sze Fei Goh', 'Nur Izzuddin']","['[DEN] ', '[DEN] ', '[MAS] ', '[MAS] ']","['21-10', '21-13']",MD,20171031
79,"['Linda Efler', 'Eva Janssens', 'Natalia Perminova', 'Nina Vislova']","['[GER] ', '[GER] ', '[RUS] ', '[RUS] ']","['21-16', '21-16']",WD,20171031
80,"['Isabel Herttrich [8]', 'Carla Nelte', 'Alexandra Bøje', 'Sara Lundgaard']","['[GER] ', '[GER] ', '[DEN] ', '[DEN] ']","['21-15', '17-21', '23-21']",WD,20171031
81,"['Savitree Amitrapai', 'Pacharapun Chochuwong', 'Emilie Lefel', 'Anne Tran']","['[THA] ', '[THA] ', '[FRA] ', '[FRA] ']","['21-18', '21-19']",WD,20171031
82,"['Maiken Fruergaard [3]', 'Sara Thygesen', 'Annika Horbach', 'Cisita Joity Jansen']","['[DEN] ', '[DEN] ', '[GER] ', '[GER] ']","['21-14', '21-9']",WD,20171031
83,"['Akane Araki', 'Aoi Matsuda', 'Olga Arkhangelskaya', 'Natalia Rogova']","['[JPN] ', '[JPN] ', '[RUS] ', '[RUS] ']","['21-11', '21-15']",WD,20171031
84,"['Lauren Smith [6]', 'Sarah Walker', 'Nadia Fankhauser', 'Iris Tabeling']","['[ENG] ', '[ENG] ', '[SUI] ', '[NED] ']","['21-9', '21-10']",WD,20171031
85,"['Selena Piek', 'Cheryl Seinen', 'Anika Dörr', 'Franziska Volkmann']","['[NED] ', '[NED] ', '[GER] ', '[GER] ']","['21-13', '21-17']",WD,20171031
