,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Tshimologo Rasta', 'Karabo Ramontsho']","['[BOT] ', '[BOT] ']","['21-19', '21-6']",MS - Qualification,20171123
1,"['Amantle Mosweu', 'Thabang Kejekgabo']","['[BOT] ', '[BOT] ']","['21-10', '21-8']",MS - Qualification,20171123
2,"['Godraone Rakoma', 'Kethabanetswe Godknows']","['[BOT] ', '[BOT] ']","['21-8', '21-10']",MS - Qualification,20171123
3,"['Walter Sentsho [3]', 'Gaolatlhe Thobo Bogatsu']","['[BOT] ', '[BOT] ']","['21-19', '21-13']",MS - Qualification,20171123
4,"['Otsile Marumo', 'Keletso King Gaeemelwe']","['[BOT] ', '[BOT] ']","['21-18', '21-16']",MS - Qualification,20171123
5,"['Perekisi Tshepo', 'Kagiso Rantshadi']","['[BOT] ', '[BOT] ']","['21-16', '22-20']",MS - Qualification,20171123
6,"['Nature Machete', 'Victor Mabe']","['[BOT] ', '[BOT] ']","['21-18', '21-19']",MS - Qualification,20171123
7,"['Mompooki Dithuri', 'Jabu Verily Sojane']","['[BOT] ', '[BOT] ']","['21-6', '21-7']",MS - Qualification,20171123
8,"['Tsamorena Kgosidialwa', 'Gaone Tawana']","['[BOT] ', '[BOT] ']",[],MS - Qualification,20171123
9,"['Thabani Mathe', 'Tuelo Matlhare']","['[ZIM] ', '[BOT] ']","['21-15', '21-10']",MS - Qualification,20171123
10,"['Tlamelang Kepaletswe [4]', 'Prince Onaathata']","['[BOT] ', '[BOT] ']","['21-14', '17-21', '21-19']",MS - Qualification,20171123
11,"['Rano Boago', 'Gotsilemang Motlhabane']","['[BOT] ', '[BOT] ']","['21-18', '21-14']",MS - Qualification,20171123
12,"['Adams Ntungamili', 'Luntu Mazile']","['[BOT] ', '[BOT] ']","['21-12', '21-19']",MS - Qualification,20171123
13,"['Batanani Bongani Oboletse', 'Tlhalefo Maungwa']","['[BOT] ', '[BOT] ']","['21-6', '21-9']",MS - Qualification,20171123
14,"['Phomolo Leoke [2]', 'Pako Kenalemang']","['[BOT] ', '[BOT] ']","['21-11', '21-15']",MS - Qualification,20171123
15,"['Amantle Mosweu', 'Godraone Rakoma']","['[BOT] ', '[BOT] ']","['21-7', '21-4']",MS - Qualification,20171123
16,"['Otsile Marumo', 'Walter Sentsho [3]']","['[BOT] ', '[BOT] ']","['21-17', '21-14']",MS - Qualification,20171123
17,"['Perekisi Tshepo', 'Nature Machete']","['[BOT] ', '[BOT] ']","['21-10', '21-14']",MS - Qualification,20171123
18,"['Tsamorena Kgosidialwa', 'Mompooki Dithuri']","['[BOT] ', '[BOT] ']","['21-14', '19-21', '21-19']",MS - Qualification,20171123
19,"['Tlamelang Kepaletswe [4]', 'Thabani Mathe']","['[BOT] ', '[ZIM] ']","['21-18', '21-19']",MS - Qualification,20171123
20,"['Rano Boago', 'Adams Ntungamili']","['[BOT] ', '[BOT] ']","['21-15', '21-15']",MS - Qualification,20171123
21,"['Phomolo Leoke [2]', 'Batanani Bongani Oboletse']","['[BOT] ', '[BOT] ']","['21-11', '21-9']",MS - Qualification,20171123
22,"['Rosario Maddaloni [1]', 'Tolo Kareng']","['[ITA] ', '[BOT] ']","['21-2', '21-5']",MS,20171123
23,"['Topsy Phiri', 'Perekisi Tshepo']","['[ZAM] ', '[BOT] ']","['21-5', '21-7']",MS,20171123
24,"['Aatish Lubah [5]', 'Mwansa Rodrick']","['[MRI] ', '[ZAM] ']","['21-9', '21-14']",MS,20171123
25,"['Thuto Segale', 'Phomolo Leoke']","['[BOT] ', '[BOT] ']","['21-17', '11-21', '21-18']",MS,20171123
26,"['Matej Hlinican [4]', 'Jason Coetzer']","['[SVK] ', '[RSA] ']","['21-9', '21-9']",MS,20171123
