,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Izzat Farhan Azhar [1]', 'Noor Hazwani Hazair', 'Chun Ling Chong', 'Sin Er Ng']","['[MAS] ', '[MAS] ', '[MAS] ', '[MAS] ']","['21-13', '21-19']",XD - Qualification,20171114
1,"['Zachary Chiong Shen Sia', 'Shun Mei Lee', 'Kwang Yean Khoo', 'Kha Yan Wong']","['[MAS] ', '[MAS] ', '[MAS] ', '[MAS] ']","['19-21', '22-20', '21-15']",XD - Qualification,20171114
2,"['Muhammad Nuraidil Adha Azman [3]', 'Peiy Zhean Lim', 'Muhammad Syafiq A Sanusi', 'Nur Azlinda Hassim']","['[MAS] ', '[MAS] ', '[MAS] ', '[MAS] ']","['21-12', '21-8']",XD - Qualification,20171114
3,"['Satheishtharan Ramachandran', 'Desiree, Hao Shan Siow', 'Wipoo Inkaew', 'Nurul Farisha Abd Malek']","['[MAS] ', '[MAS] ', '[THA] ', '[MAS] ']","['21-9', '17-21', '21-17']",XD - Qualification,20171114
4,"[""Choo Han Ch'Ng"", 'Qi Xuan Ng', 'Hon Jian Choong', 'Florence Sin Yee Saw']","['[MAS] ', '[MAS] ', '[MAS] ', '[MAS] ']","['19-21', '21-16', '21-16']",XD - Qualification,20171114
5,"['Ahmad Maziri Mazlan [4]', 'Peiy Yee, Payee Lim', 'Andrew Susanto', 'Maria Natalia Kartika Mainaky']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-12', '21-14']",XD - Qualification,20171114
6,"['Natchanon Tulamok', 'Natcha Saengchote', 'Mohd Razif Abdul Latif', 'Sin Zou Ng']","['[THA] ', '[THA] ', '[MAS] ', '[MAS] ']","['21-11', '21-14']",XD - Qualification,20171114
7,"['Mohd Razlan Shah Mohd Ridzuan Shah [2]', 'Lin Seah', 'Wei Khoon Ong', 'Sue Xin Tio']","['[MAS] ', '[MAS] ', '[MAS] ', '[MAS] ']","['21-12', '15-21', '21-19']",XD - Qualification,20171114
8,"['Lishwan Mudukasan', 'Chin Yong Chian']","['[MAS] ', '[MAS] ']","['21-14', '21-18']",MS - Qualification,20171114
9,"['Ridzwan Rahmat', 'Yehezkiel Fritz Mainaky']","['[MAS] ', '[INA] ']","['21-14', '21-14']",MS - Qualification,20171114
10,"['Yu-Hua Lai', 'Kai Wun Tee [7]']","['[TPE] ', '[MAS] ']",[],MS - Qualification,20171114
11,"['Seng Zoe Yeoh', 'Muhammad Elaf Wei Tan']","['[MAS] ', '[SGP] ']","['17-21', '21-14', '21-11']",MS - Qualification,20171114
12,"['Wei Chi Liu', 'Jun Hong Lee']","['[TPE] ', '[MAS] ']","['21-13', '21-10']",MS - Qualification,20171114
13,"['Maisa Fathuhulla Ismail', 'Mei Chin Leong']","['[MDV] ', '[MAS] ']","['21-18', '21-14']",WS - Qualification,20171114
14,"['Muhammad Ziyad Md Tah', 'Fabricio Farias [5]']","['[MAS] ', '[BRA] ']","['21-10', '21-12']",MS - Qualification,20171114
15,"['Kartik Jindal', 'Yu Ming, Adam Lau']","['[IND] ', '[MAS] ']","['17-21', '22-20', '21-13']",MS - Qualification,20171114
16,"['Datu Mohd Saffuan Nizam Sardik', 'Mayank Ahuja']","['[MAS] ', '[IND] ']","['21-10', '17-21', '21-10']",MS - Qualification,20171114
17,"['Jun Yan Ng', 'Muhammad Izzuddin Shamsul Muzli [8]']","['[MAS] ', '[MAS] ']","['21-16', '21-14']",MS - Qualification,20171114
18,"['Vincent Cheng Wei Phuah', 'Chun Chung Hung']","['[MAS] ', '[TPE] ']","['21-10', '14-21', '23-21']",MS - Qualification,20171114
19,"['Thammasin Sitthikom [4]', 'Muhammad Lukman Hakim Mohd Ibrahim']","['[THA] ', '[MAS] ']","['21-15', '21-10']",MS - Qualification,20171114
20,"['Fong Hau Sim', 'Muhammad Syafiq A Sanusi']","['[MAS] ', '[MAS] ']","['21-16', '21-15']",MS - Qualification,20171114
21,"['Muhammad Naim Ahmad Fairuzly', 'Adnan Ebrahim']","['[MAS] ', '[BRN] ']","['21-19', '16-21', '21-19']",MS - Qualification,20171114
22,"['Yu Leong, Alfred Lau', 'Andrew Susanto']","['[MAS] ', '[INA] ']","['22-20', '21-14']",MS - Qualification,20171114
23,"['Yang Chih Chieh [2]', 'Mitthren Raj Veerappen']","['[TPE] ', '[MAS] ']","['21-6', '21-7']",MS - Qualification,20171114
24,"['Mattana Hemrachatanun', 'Yi Jin Kong']","['[THA] ', '[MAS] ']","['21-9', '21-17']",WS - Qualification,20171114
25,"['Korakrit Laotrakul [3]', 'Kiran Raj Maniraj']","['[THA] ', '[MAS] ']","['21-9', '21-11']",MS - Qualification,20171114
26,"['Lin Hsiang Ti [3]', 'Letshanaa A. Karupathevan']","['[TPE] ', '[MAS] ']","['17-21', '21-15', '21-14']",WS - Qualification,20171114
