,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Chun Ling Chong', 'Sin Er Ng', 'Yu Ming, Adam Lau', 'Sue Xin Tio']","['[MAS] ', '[MAS] ', '[MAS] ', '[MAS] ']",['21-8'],XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
1,"['Muhammad Aiman Abd Malek', 'Nurul Farisha Abd Malek', 'Saran Nopphakao', 'Runshida Sukjai']","['[MAS] ', '[MAS] ', '[THA] ', '[THA] ']","['21-11', '21-8']",XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
2,"['Muhammad Syawal Mohd Ismail [4]', 'Desiree, Hao Shan Siow', 'Andreas Zbinden', 'Nadia Fankhauser']","['[MAS] ', '[MAS] ', '[SUI] ', '[SUI] ']","['21-11', '21-15']",XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
3,"['Zhen Ting Lim', 'Kah Mun Chin', 'Andrew Susanto', 'Maria Natalia Kartika Mainaky']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-11', '21-12']",XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
4,"[""Choo Han Ch'Ng"", 'Yi Xuan Goh', 'Aatish Lubah', 'Kobita Dokhee']","['[MAS] ', '[MAS] ', '[MRI] ', '[MRI] ']","['21-18', '18-21', '21-14']",XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
5,"['Ahmad Maziri Mazlan [3]', 'Peiy Yee, Payee Lim', 'Setthanan Piyawatcharavijit', 'Pattarasuda Chaiwan']","['[MAS] ', '[MAS] ', '[THA] ', '[THA] ']","['21-6', '21-13']",XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
6,"['Thanesh Veerappan', 'Wei Chyi Ti', 'Gurpartap Singh Dhaliwal', 'Dapasha Joshi']","['[MAS] ', '[MAS] ', '[IND] ', '[IND] ']","['21-14', '21-4']",XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
7,"['Akbar Bintang Cahyono', 'Winny Oktavina Kandow', 'Zachary Chiong Shen Sia [2]', 'Shun Mei Lee']","['[INA] ', '[INA] ', '[MAS] ', '[MAS] ']","['21-14', '21-11']",XD - Qualification,20170711,"Kuala Lumpur, Malaysia"
8,"['Datu Mohd Saffuan Nizam Sardik', 'Mayank Ahuja']","['[MAS] ', '[IND] ']","['13-21', '21-13', '21-16']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
9,"['Datu Mohd Shah Eizlan Sardik', 'Anjum Bashir [7]']","['[MAS] ', '[PAK] ']","['21-12', '21-3']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
10,"['Heng Lin Ngan', 'Jun Hong Lee']","['[ENG] ', '[MAS] ']","['19-21', '21-9', '21-10']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
11,"['Wan Mohd Hidayat Wan Hassan [4]', 'Minhaz Mohammad']","['[MAS] ', '[BAN] ']","['21-13', '21-11']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
12,"['Fong Hau Sim', 'Sivin Manjaly']","['[MAS] ', '[SUI] ']","['21-15', '21-4']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
13,"['Jing Ping Ng', 'Amir Saeed [8]']","['[MAS] ', '[PAK] ']","['21-17', '21-17']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
14,"['Phone Pyae Naing', 'Mitthren Raj Veerappen']","['[MYA] ', '[MAS] ']","['21-15', '21-10']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
15,"['Kartik Jindal', 'Neville Baptist Nosius Luaran']","['[IND] ', '[MAS] ']","['21-16', '21-19']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
16,"['Chet Vin Wong [5]', 'Azeem Sarwar']","['[MAS] ', '[PAK] ']","['21-11', '21-13']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
17,"['Jun Yan Ng', 'Vichayapong Kanjanakeereewong']","['[MAS] ', '[THA] ']","['19-21', '21-18', '21-14']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
18,"['Ramadhani Zulkifli', 'Kiran Raj Maniraj [3]']","['[INA] ', '[MAS] ']","['21-13', '21-13']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
19,"['Adnan Ebrahim', 'Yu Ming, Adam Lau']","['[BRN] ', '[MAS] ']",[],MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
20,"['Murad Ali [6]', 'Kok Xian Tan']","['[PAK] ', '[MAS] ']","['21-19', '16-21', '21-11']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
21,"['Muhammad Aiman Abd Malek', 'Kai Ho Tang']","['[MAS] ', '[ENG] ']","['21-8', '21-11']",MS - Qualification,20170711,"Kuala Lumpur, Malaysia"
