,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Marcus Ellis', 'Lauren Smith', 'Trikusuma Wardhana', 'Dian Fitriani']","['[ENG] ', '[ENG] ', '[INA] ', '[INA] ']","['21-11', '21-9']",XD - Qualification,20170404
1,"['Reddy B. Sumeeth', 'Ashwini Ponnappa', 'Afiat Yuris Wirawan', 'Nadya Melati']","['[IND] ', '[IND] ', '[INA] ', '[INA] ']","['23-21', '21-5']",XD - Qualification,20170404
2,"['Lukhi Apri Nugroho', 'Ririn Amelia', 'Yang Lee [3]', 'Hsu Ya Ching']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['18-21', '21-18', '21-15']",XD - Qualification,20170404
3,"['Pang Ron Hoo', 'Yen Wei Peck', 'Satwiksairaj Rankireddy', 'Maneesha K']","['[MAS] ', '[MAS] ', '[IND] ', '[IND] ']","['21-19', '19-21', '21-14']",XD - Qualification,20170404
4,"['Hang Yee Low', 'Yee See Cheah', 'Yohanes Rendy Sugiarto', 'Keshya Nurvita Hanadia']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['22-20', '11-5']",XD - Qualification,20170404
5,"['Ben Lane', 'Jessica Pugh', 'Soren Gravholt [4]', 'Maiken Fruergaard']","['[ENG] ', '[ENG] ', '[DEN] ', '[DEN] ']","['23-21', '22-20']",XD - Qualification,20170404
6,"['Chi-Lin Wang', 'Chia Hsin Lee', 'Yehezkiel Fritz Mainaky', 'Lyanny Alessandra Mainaky']","['[TPE] ', '[TPE] ', '[INA] ', '[INA] ']","['21-19', '21-16']",XD - Qualification,20170404
7,"['Yogendran Khrishnan', 'Prajakta Sawant', 'Chirag Shetty', 'Mahima Aggarwal']","['[MAS] ', '[IND] ', '[IND] ', '[IND] ']","['21-12', '21-15']",XD - Qualification,20170404
8,"['Mia Mawarti', 'Zahra Mahria Rossedy Permata']","['[INA] ', '[INA] ']","['21-7', '21-5']",WS - Qualification,20170404
9,"['Jesica Muljati', 'Rusydina Antardayu Riodingin']","['[INA] ', '[INA] ']","['16-21', '21-19', '22-20']",WS - Qualification,20170404
10,"['P. C. Thulasi', 'Purwaningtyas Elyzabeth']","['[IND] ', '[INA] ']",['18-1'],WS - Qualification,20170404
11,"['Febby Angguni', 'Wan Yi Tang']","['[INA] ', '[TPE] ']","['16-21', '21-17', '21-15']",WS - Qualification,20170404
12,"['Daren Liew', 'Teck Zhi Soo']","['[MAS] ', '[MAS] ']","['21-15', '21-10']",MS - Qualification,20170404
13,"['Zhao Junpeng', 'Firman Abdul Kholik']","['[CHN] ', '[INA] ']","['14-21', '21-19', '21-10']",MS - Qualification,20170404
14,"['Wei Feng Chong', 'Chun Seang Tan']","['[MAS] ', '[MAS] ']","['11-21', '21-15', '21-16']",MS - Qualification,20170404
