,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Zhuge Lukai', 'Pan Beibei', 'Tran Ngoc Tuan Anh', 'Ho Thi Trang']","['[CHN] ', '[CHN] ', '[VIE] ', '[VIE] ']","['21-8', '21-7']",XD - Qualification,20170321
1,"['Pham Trung Luan', 'Pham Ngoc Bich', 'Zhao Jian', 'Jiang Yujing']","['[VIE] ', '[VIE] ', '[CHN] ', '[CHN] ']","['21-17', '22-20']",XD - Qualification,20170321
2,"['Nguyen Van Viet', 'Do Thi Hoai', 'Kuo Ching-Hung', 'Chen Hsiang Ting']","['[VIE] ', '[VIE] ', '[TPE] ', '[TPE] ']","['21-10', '21-17']",XD - Qualification,20170321
3,"['Nguyen Hoang Anh', 'Nguyen Thi Be Tram', 'Keerati Likitanurucks', 'Nipada Punjae']","['[VIE] ', '[VIE] ', '[THA] ', '[THA] ']","['18-21', '21-13', '21-11']",XD - Qualification,20170321
4,"['An Thanh Huy', 'Tran Thi Yen Chi', 'Nguyen Chi Duc', 'Nguyen Thi Thu Minh']","['[VIE] ', '[VIE] ', '[VIE] ', '[VIE] ']","['21-7', '21-8']",XD - Qualification,20170321
5,"['Koji Naito', 'Saran Jamsri']","['[JPN] ', '[THA] ']","['21-23', '21-19', '21-11']",MS - Qualification,20170321
6,"['Nguyen Xuan Manh', 'Yusriazmi Yusuf']","['[VIE] ', '[MAS] ']","['21-17', '21-12']",MS - Qualification,20170321
7,"['Bodhit Joshi [6]', 'Nguyen Van Duc']","['[IND] ', '[VIE] ']","['21-6', '21-12']",MS - Qualification,20170321
8,"['Fahmi Mubarok', 'Le Thanh Lam']","['[INA] ', '[VIE] ']","['23-21', '21-10']",MS - Qualification,20170321
9,"['Lishwan Mudukasan [7]', 'Luong Tuan Huy']","['[MAS] ', '[VIE] ']","['21-14', '21-7']",MS - Qualification,20170321
10,"['Chuang Jin Lei [8]', 'Nguyen Minh Hieu']","['[SGP] ', '[VIE] ']","['21-7', '21-6']",MS - Qualification,20170321
11,"['Tran Quoc Viet', 'Tan Li Bin']","['[VIE] ', '[MAS] ']","['21-17', '21-17']",MS - Qualification,20170321
12,"['Teh Jia Heng Jason', 'Nguyen Duc Giang [3]']","['[SGP] ', '[VIE] ']","['21-18', '21-11']",MS - Qualification,20170321
13,"['An Junchen', 'Nguyen Thien Loc']","['[CHN] ', '[VIE] ']","['21-8', '21-12']",MS - Qualification,20170321
14,"['Setthanan Piyawatcharavijit', 'Nguyen Dinh Tuan Kiet']","['[THA] ', '[VIE] ']","['21-13', '17-21', '21-17']",MS - Qualification,20170321
15,"['Koh Jia Wei Joel', 'Ros Leonard Pedrosa']","['[SGP] ', '[PHI] ']","['21-14', '21-12']",MS - Qualification,20170321
16,"['Liu Haichao', 'Truong Thanh Long [5]']","['[CHN] ', '[VIE] ']","['21-7', '21-15']",MS - Qualification,20170321
17,"['Tay Jimmy, Yu Lun', 'Le Duy Nam']","['[MAS] ', '[VIE] ']","['21-15', '21-10']",MS - Qualification,20170321
18,"['Phanuwat Srimanta [4]', 'Nguyen Thanh Son']","['[THA] ', '[VIE] ']","['21-12', '26-24']",MS - Qualification,20170321
19,"['Peeranat Boontun', 'Nguyen Hoang Nam']","['[THA] ', '[VIE] ']","['21-10', '21-14']",MS - Qualification,20170321
20,"['Tan Muhammad Elaf Wei', 'An Thanh Huy']","['[SGP] ', '[VIE] ']","['21-19', '21-14']",MS - Qualification,20170321
21,"['Isra Faradilla [3]', 'Nguyen Thi Nhu Y']","['[INA] ', '[VIE] ']","['21-8', '21-8']",WS - Qualification,20170321
22,"['Hooi Yue Yann Jaslyn', 'Dinh Thi Phuong Hong']","['[SGP] ', '[VIE] ']","['21-14', '22-20']",WS - Qualification,20170321
23,"['Nguyen Thi Sen [1]', 'Krittaporn Jiantanet']","['[VIE] ', '[THA] ']","['21-9', '21-16']",WS - Qualification,20170321
24,"['Manassanan Lerthattasin', 'Jiang Yujing']","['[THA] ', '[CHN] ']","['21-19', '22-24', '21-13']",WS - Qualification,20170321
25,"['Benyapa Aimsaard', 'Yang Lan']","['[THA] ', '[CHN] ']","['22-20', '21-18']",WS - Qualification,20170321
26,"['Nuntakarn Aimsaard [4]', 'Nguyen Thi Ngoc Thuy']","['[THA] ', '[VIE] ']","['21-10', '21-9']",WS - Qualification,20170321
27,"['Lim Ming Hui', 'Peng Li Ting']","['[SGP] ', '[TPE] ']","['21-11', '21-12']",WS - Qualification,20170321
28,"['Sarah Joy Barredo [2]', 'Atitaya Povanon']","['[PHI] ', '[THA] ']","['19-21', '21-16', '21-18']",WS - Qualification,20170321
29,"['Dao Manh Thang', 'Le Ha Anh', 'Wachirawit Sothon', 'Natthapat Trinkajee']","['[VIE] ', '[VIE] ', '[THA] ', '[THA] ']","['15-21', '26-24', '21-16']",MD - Qualification,20170321
30,"['Keiichiro Matsui', 'Masato Takano', 'Tanawat Topattanakul', 'Natchanon Tulamok']","['[JPN] ', '[JPN] ', '[THA] ', '[THA] ']","['21-8', '21-17']",MD - Qualification,20170321
31,"['Chen Sihang', 'Shi Longfei', 'Do Van Nhan', 'Nguyen Van Viet']","['[CHN] ', '[CHN] ', '[VIE] ', '[VIE] ']","['21-8', '21-9']",MD - Qualification,20170321
32,"['Le Van Tu', 'Luong Tuan Huy', 'Le Hoang Nhat Quang', 'Nguyen Phi Hung']","['[VIE] ', '[VIE] ', '[VIE] ', '[VIE] ']","['21-19', '21-17']",MD - Qualification,20170321
33,"['Nguyen Hoang Anh', 'Tran Quoc Viet', 'Chen Jia Huo', 'Kwek Yee Jian']","['[VIE] ', '[VIE] ', '[MAS] ', '[MAS] ']","['21-18', '22-20']",MD - Qualification,20170321
34,"['Lee Jian Liang', 'Wong Guang Liang Jason', 'Le Thanh Lam', 'Nguyen Xuan Manh']","['[SGP] ', '[SGP] ', '[VIE] ', '[VIE] ']","['21-15', '21-17']",MD - Qualification,20170321
35,"['Shia Chun Kang', 'Riky Widianto', 'Mohd Nazman Mohd Salleh', 'Yusriazmi Yusuf']","['[MAS] ', '[INA] ', '[MAS] ', '[MAS] ']","['21-9', '21-12']",MD - Qualification,20170321
36,"['Shao Jingjing', 'Xu Yingchao', 'Nguyen Thi Nhu Y', 'Vu Thi Lan']","['[CHN] ', '[CHN] ', '[VIE] ', '[VIE] ']","['21-4', '21-5']",WD - Qualification,20170321
37,"['Dinh Thi Phuong Hong', 'Do Thi Hoai', 'Lin Fangling', 'Zhu Tianyi']","['[VIE] ', '[VIE] ', '[CHN] ', '[CHN] ']","['21-16', '21-2']",WD - Qualification,20170321
38,"['An Thanh Huy', 'Pham Trung Luan', 'Nguyen Minh Hieu', 'Nguyen Van Duc']","['[VIE] ', '[VIE] ', '[VIE] ', '[VIE] ']","['21-11', '21-11']",MD - Qualification,20170321
39,"['Nguyen Tien Minh [1]', 'Reksy Aureza Megananda']","['[VIE] ', '[INA] ']","['21-18', '21-17']",MS,20170321
40,"['Koji Naito', 'Noppanai Singrueang']","['[JPN] ', '[THA] ']","['21-12', '21-6']",MS,20170321
41,"['Shesar Hiren Rhustavito [10]', 'Hin Shun Wong']","['[INA] ', '[ENG] ']","['21-7', '21-7']",MS,20170321
42,"['Bodhit Joshi', 'Timothy Chiu']","['[IND] ', '[CAN] ']","['21-14', '21-13']",MS,20170321
