,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Kazumasa Sakai', 'Anthony Joe']","['[JPN] ', '[AUS] ']","['21-12', '21-10']",MS - Qualification,20170620,"Sydney, Australia"
1,"['Parupalli Kashyap', 'Zhao Junpeng']","['[IND] ', '[CHN] ']","['21-15', '21-18']",MS - Qualification,20170620,"Sydney, Australia"
2,"['Shreyansh Jaiswal', 'Pit Seng Low']","['[IND] ', '[AUS] ']","['21-14', '21-11']",MS - Qualification,20170620,"Sydney, Australia"
3,"['Saputra Alvindo', 'Ferdinand Sinarta Surbakti', 'Lukas Defolky', 'Yang Shen']","['[INA] ', '[INA] ', '[AUS] ', '[AUS] ']","['21-18', '21-16']",MD - Qualification,20170620,"Sydney, Australia"
4,"['Siril Verma', 'Yehezkiel Fritz Mainaky']","['[IND] ', '[INA] ']","['21-9', '21-9']",MS - Qualification,20170620,"Sydney, Australia"
5,"['Chun-Wei Chen', 'Emil Holst']","['[TPE] ', '[DEN] ']","['21-14', '21-13']",MS - Qualification,20170620,"Sydney, Australia"
6,"['Kan Chao Yu', 'Jacob Schueler']","['[TPE] ', '[AUS] ']","['21-15', '21-8']",MS - Qualification,20170620,"Sydney, Australia"
7,"['Gadde Ruthvika Shivani', 'Sylvina Kurniawan']","['[IND] ', '[AUS] ']","['21-15', '21-15']",WS - Qualification,20170620,"Sydney, Australia"
8,"['Kenta Nishimoto', 'Kwang Hee Heo']","['[JPN] ', '[KOR] ']","['21-15', '21-12']",MS - Qualification,20170620,"Sydney, Australia"
9,"['Takuma Ueda', 'Nathan Tang']","['[JPN] ', '[AUS] ']","['21-9', '21-10']",MS - Qualification,20170620,"Sydney, Australia"
10,"['Subhash Aroliveettil', 'Jonathan Sun', 'Sagar Kumar', 'Hendra Tandjaya']","['[AUS] ', '[AUS] ', '[AUS] ', '[INA] ']","['21-14', '21-10']",MD - Qualification,20170620,"Sydney, Australia"
11,"['Yeo Jia Min [4]', 'Michelle Tam']","['[SGP] ', '[AUS] ']","['21-6', '21-6']",WS - Qualification,20170620,"Sydney, Australia"
12,"['Shuo Yun Sung', 'Tiffany Ho']","['[TPE] ', '[AUS] ']","['21-12', '21-17']",WS - Qualification,20170620,"Sydney, Australia"
13,"['Louisa Ma', 'Sekartaji Putri']","['[AUS] ', '[INA] ']","['21-17', '18-21', '21-12']",WS - Qualification,20170620,"Sydney, Australia"
14,"['Lauren Lim', 'Chloe Lee']","['[AUS] ', '[AUS] ']","['21-13', '21-16']",WS - Qualification,20170620,"Sydney, Australia"
15,"['Jennifer Tam', 'Zecily Fung']","['[AUS] ', '[AUS] ']","['21-17', '21-19']",WS - Qualification,20170620,"Sydney, Australia"
16,"['Hsuan-Yu Wendy Chen', 'Celeste Lee']","['[AUS] ', '[AUS] ']","['21-8', '21-12']",WS - Qualification,20170620,"Sydney, Australia"
17,"['Gadde Ruthvika Shivani', 'Ruwindi Serasinghe']","['[IND] ', '[AUS] ']","['21-9', '21-7']",WS - Qualification,20170620,"Sydney, Australia"
18,"['Parupalli Kashyap', 'Kazumasa Sakai']","['[IND] ', '[JPN] ']","['21-5', '21-16']",MS - Qualification,20170620,"Sydney, Australia"
19,"['Siril Verma', 'Shreyansh Jaiswal']","['[IND] ', '[IND] ']","['21-16', '21-14']",MS - Qualification,20170620,"Sydney, Australia"
20,"['Kan Chao Yu', 'Chun-Wei Chen']","['[TPE] ', '[TPE] ']","['21-15', '23-21']",MS - Qualification,20170620,"Sydney, Australia"
21,"['Takuma Ueda', 'Kenta Nishimoto']","['[JPN] ', '[JPN] ']","['21-16', '21-19']",MS - Qualification,20170620,"Sydney, Australia"
22,"['Yeo Jia Min [4]', 'Shuo Yun Sung']","['[SGP] ', '[TPE] ']","['21-10', '21-9']",WS - Qualification,20170620,"Sydney, Australia"
23,"['Louisa Ma', 'Lauren Lim']","['[AUS] ', '[AUS] ']","['21-9', '21-9']",WS - Qualification,20170620,"Sydney, Australia"
24,"['Hsuan-Yu Wendy Chen', 'Jennifer Tam']","['[AUS] ', '[AUS] ']","['21-11', '21-8']",WS - Qualification,20170620,"Sydney, Australia"
25,"['Takuro Hoki', 'Sayaka Hirota', 'Raymond Tam', 'Elena Yee-Man Kwok']","['[JPN] ', '[JPN] ', '[AUS] ', '[AUS] ']","['21-7', '21-12']",XD - Qualification,20170620,"Sydney, Australia"
26,"['Michael Fariman', 'Sylvina Kurniawan', 'William Hardjono', 'Chloe Lee']","['[AUS] ', '[AUS] ', '[INA] ', '[AUS] ']","['22-20', '21-12']",XD - Qualification,20170620,"Sydney, Australia"
27,"['Jacob Schueler', 'Celeste Lee', 'Subhash Aroliveettil', 'Michelle Tam']","['[AUS] ', '[AUS] ', '[AUS] ', '[AUS] ']","['21-19', '21-13']",XD - Qualification,20170620,"Sydney, Australia"
28,"['Kanta Tsuneyama', 'Tzu Wei Wang']","['[JPN] ', '[TPE] ']","['23-21', '21-19']",MS,20170620,"Sydney, Australia"
29,"['Ng Ka Long Angus [7]', 'Ajay Jayaram']","['[HKG] ', '[IND] ']","['14-21', '21-10', '21-9']",MS,20170620,"Sydney, Australia"
30,"['Zheng Siwei [1]', 'Chen Qingchen', 'Mathias Christiansen', 'Sara Thygesen']","['[CHN] ', '[CHN] ', '[DEN] ', '[DEN] ']","['21-18', '21-16']",XD,20170620,"Sydney, Australia"
31,"['Kidambi Srikanth', 'Kan Chao Yu']","['[IND] ', '[TPE] ']","['21-13', '21-16']",MS,20170620,"Sydney, Australia"
