,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Joel Angus', 'Brandon Graham']","['[JAM] ', '[TTO] ']","['21-5', '21-9']",MS - Qualification,20170821
1,"['Joshua Smith', 'Narayan Ramdhani']","['[TTO] ', '[GUY] ']","['21-19', '11-1']",MS - Qualification,20170821
2,"['Bradley Pilgrim', 'Jeremy Lewis']","['[BAR] ', '[TTO] ']","['21-16', '21-16']",MS - Qualification,20170821
3,"['Roger Moore', 'Delsang Lue Taim']","['[TTO] ', '[JAM] ']",[],MS - Qualification,20170821
4,"['Sabeel Foster', 'Mackenzie Legen']","['[BAR] ', '[TTO] ']","['21-6', '21-15']",MS - Qualification,20170821
5,"['Shane Wilson', 'Renaldo Sinanan [1]']","['[JAM] ', '[TTO] ']","['21-16', '21-10']",MS - Qualification,20170821
6,"['Jason Ramjass', 'Matthew Yee-Grant [2]']","['[TTO] ', '[JAM] ']","['19-21', '21-13', '21-8']",MS - Qualification,20170821
7,"['Joel Angus', 'Vikash Marajh']","['[JAM] ', '[TTO] ']","['21-9', '21-7']",MS - Qualification,20170821
8,"['Mitch, Aubrey Nai Chung Tong', 'Yonatan Linarez [4]']","['[SUR] ', '[DOM] ']",[],MS - Qualification,20170821
9,"['Shae Michael Martin', 'Joshua Smith']","['[BAR] ', '[TTO] ']","['12-21', '21-13', '21-14']",MS - Qualification,20170821
10,"['Bradley Pilgrim', 'Alviero Alvada']","['[BAR] ', '[TTO] ']","['21-19', '21-10']",MS - Qualification,20170821
11,"['Damien Howell [3]', 'Roger Moore']","['[BAR] ', '[TTO] ']","['21-15', '22-20']",MS - Qualification,20170821
12,"['Naim Mohammed', 'Sabeel Foster']","['[TTO] ', '[BAR] ']","['21-16', '21-12']",MS - Qualification,20170821
13,"['Karan Rajan Rajarajan [1]', 'Jason Ramjass']","['[IND] ', '[TTO] ']","['21-6', '21-9']",MS,20170821
14,"['Shane Wilson', 'Matthew Lee']","['[JAM] ', '[JAM] ']","['21-11', '21-16']",MS,20170821
15,"['Anthony Mcnee', 'Cory Fanus [7]']","['[JAM] ', '[BAR] ']","['21-16', '21-16']",MS,20170821
16,"['William Cabrera', 'Bradley Pilgrim']","['[DOM] ', '[BAR] ']","['21-9', '21-11']",MS,20170821
17,"['Giovanni Toti', 'Nicolas Macias']","['[ITA] ', '[PER] ']","['24-22', '21-15']",MS,20170821
18,"['Reimi Starling Cabrera Rosario', 'Naim Mohammed']","['[DOM] ', '[TTO] ']","['20-22', '21-13', '21-17']",MS,20170821
19,"['Daniel La Torre Regal [5]', 'Joel Angus']","['[PER] ', '[JAM] ']","['21-16', '21-7']",MS,20170821
20,"['Jose Guevara', 'Damien Howell']","['[PER] ', '[BAR] ']","['21-9', '21-11']",MS,20170821
21,"['Kenneth Anglin', 'Diego Mini [6]']","['[JAM] ', '[PER] ']","['21-18', '21-14']",MS,20170821
22,"['Soren Opti [3]', 'Diego Subauste Tokumura']","['[SUR] ', '[PER] ']","['21-10', '21-15']",MS,20170821
23,"['Samuel O’Brien Ricketts', 'Dakeil Jonathan Thorpe']","['[JAM] ', '[BAR] ']","['21-12', '21-8']",MS,20170821
24,"['Nelson Javier [4]', 'Shae Michael Martin']","['[DOM] ', '[BAR] ']","['21-8', '21-16']",MS,20170821
25,"['Bruno Barrueto Deza', 'Wilmer Daniel Brea Nuñez']","['[PER] ', '[DOM] ']","['21-18', '21-23', '21-9']",MS,20170821
26,"['Dennis Coke [8]', 'Mitch, Aubrey Nai Chung Tong']","['[JAM] ', '[SUR] ']","['21-18', '21-12']",MS,20170821
27,"['Monyata Riviera', 'Arielle Gomez']","['[BAR] ', '[TTO] ']","['21-14', '21-8']",WS,20170821
28,"['Kevin Cordon [2]', 'Cesar Adonis Brito Gonzalez']","['[GUA] ', '[DOM] ']","['21-23', '21-9', '21-2']",MS,20170821
29,"['Sabrina Scott', 'Mary - Ann Zhong']","['[BAR] ', '[SUR] ']","['21-16', '21-16']",WS,20170821
30,"['Ines Castillo', 'Leanna Castanada']","['[PER] ', '[TTO] ']","['21-5', '21-7']",WS,20170821
31,"['Licelott Sanchez', 'Katherine Wynter']","['[DOM] ', '[JAM] ']","['21-13', '21-15']",WS,20170821
32,"['Tamisha Williams', 'Avril Plaza Marcelle']","['[BAR] ', '[TTO] ']","['21-8', '21-12']",WS,20170821
33,"['Santusha Ramzan', 'Nekeisha Blake']","['[SUR] ', '[TTO] ']","['21-15', '21-16']",WS,20170821
34,"['Paula La Torre Regal', 'Alana Bailey']","['[PER] ', '[JAM] ']","['21-11', '21-7']",WS,20170821
35,"['Giovanni Toti', 'Kenneth Anglin']","['[ITA] ', '[JAM] ']","['21-15', '21-5']",MS,20170821
36,"['Brandon Graham', 'Cindy Ramroop', 'Narayan Ramdhani', 'Priyanna Ramdhani']","['[TTO] ', '[TTO] ', '[GUY] ', '[GUY] ']",[],XD,20170821
