,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Yuki Kaneko', 'Koharu Yonemoto', 'Yuki Yonemoto', 'Haruka Yonemoto']","['[JPN] ', '[JPN] ', '[JPN] ', '[JPN] ']","['17-21', '21-14', '21-18']",XD - Qualification,20170919
1,"['Vladimir Ivanov', 'Ekaterina Bolotova', 'Yoshinori Takeuchi', 'Natsumi Uratani']","['[RUS] ', '[RUS] ', '[JPN] ', '[JPN] ']","['21-10', '21-12']",XD - Qualification,20170919
2,"['Takuro Hoki', 'Sayaka Hirota', 'Yehezkiel Fritz Mainaky', 'Lyanny Alessandra Mainaky']","['[JPN] ', '[JPN] ', '[INA] ', '[INA] ']","['21-11', '21-8']",XD - Qualification,20170919
3,"['Hiroki Okamura', 'Naru Shinoya', 'Jones Ralfy Jansen', 'Eva Janssens']","['[JPN] ', '[JPN] ', '[GER] ', '[GER] ']","['21-15', '21-17']",XD - Qualification,20170919
4,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Hiroki Midorikawa', 'Natsu Saito']","['[IND] ', '[IND] ', '[JPN] ', '[JPN] ']","['21-13', '21-15']",XD - Qualification,20170919
5,"['Zhou Haodong', 'Xu Ya', 'Peter Kaesbauer', 'Olga Konon']","['[CHN] ', '[CHN] ', '[GER] ', '[GER] ']","['13-21', '21-10', '21-19']",XD - Qualification,20170919
6,"['Han Chengkai', 'Du Yue', 'Lee Jhe-Huei', 'Wu Ti Jung']","['[CHN] ', '[CHN] ', '[TPE] ', '[TPE] ']","['21-15', '21-14']",XD - Qualification,20170919
7,"['Riichi Takeshita', 'Kim Bruun']","['[JPN] ', '[DEN] ']","['12-21', '21-16', '21-16']",MS - Qualification,20170919
8,"['Kenta Nishimoto', 'Suppanyu Avihingsanon']","['[JPN] ', '[THA] ']","['21-14', '21-23', '21-14']",MS - Qualification,20170919
9,"['Mohamad Arif Abdul Latif', 'Rusydina Antardayu Riodingin', 'Takuma Obayashi', 'Rin Iwanaga']","['[MAS] ', '[INA] ', '[JPN] ', '[JPN] ']","['22-20', '14-21', '21-13']",XD - Qualification,20170919
10,"['Yu Igarashi', 'Pannawit Thongnuam']","['[JPN] ', '[THA] ']","['13-21', '21-18', '21-12']",MS - Qualification,20170919
11,"['Parupalli Kashyap', 'Emil Holst']","['[IND] ', '[DEN] ']","['21-15', '21-14']",MS - Qualification,20170919
12,"['Kazumasa Sakai', 'Lin Yu Hsien']","['[JPN] ', '[TPE] ']","['16-21', '22-20', '21-15']",MS - Qualification,20170919
13,"['Lee Dong Keun', 'Ygor Coelho [4]']","['[KOR] ', '[BRA] ']","['21-10', '21-14']",MS - Qualification,20170919
14,"['Koki Watanabe', 'Takuma Ueda']","['[JPN] ', '[JPN] ']","['21-19', '11-21', '21-14']",MS - Qualification,20170919
15,"['Khosit Phetpradab', 'Jeon Hyeok Jin [2]']","['[THA] ', '[KOR] ']","['21-17', '21-10']",MS - Qualification,20170919
16,"['Shiori Saito', 'Lyanny Alessandra Mainaky']","['[JPN] ', '[INA] ']","['21-23', '21-18', '21-17']",WS - Qualification,20170919
17,"['Mia Blichfeldt', 'Yui Hashimoto']","['[DEN] ', '[JPN] ']","['21-18', '23-21']",WS - Qualification,20170919
18,"['Kim Hyo Min [4]', 'Sofie Holmboe Dahl']","['[KOR] ', '[DEN] ']","['17-21', '21-12', '21-15']",WS - Qualification,20170919
19,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Hiroki Okamura', 'Naru Shinoya']","['[IND] ', '[IND] ', '[JPN] ', '[JPN] ']","['21-18', '21-9']",XD - Qualification,20170919
20,"['Michelle Li', 'Ayumi Mine']","['[CAN] ', '[JPN] ']","['21-7', '21-19']",WS - Qualification,20170919
21,"['Natsuki Nidaira', 'Natalia Koch Rohde [3]']","['[JPN] ', '[DEN] ']","['16-21', '22-20', '21-15']",WS - Qualification,20170919
22,"['Fabienne Deprez', 'Sung Shuo Yun']","['[GER] ', '[TPE] ']","['23-21', '21-13']",WS - Qualification,20170919
23,"['Haruko Suzuki', 'Yip Pui Yin [2]']","['[JPN] ', '[HKG] ']","['21-23', '21-9', '21-4']",WS - Qualification,20170919
24,"['Pai Yu Po', 'Gregoria Mariska Tunjung']","['[TPE] ', '[INA] ']","['21-17', '17-21', '21-19']",WS - Qualification,20170919
25,"['Kim Won Ho', 'Seung Jae Seo', 'Kohei Gondo', 'Tatsuya Watanabe']","['[KOR] ', '[KOR] ', '[JPN] ', '[JPN] ']","['21-18', '21-18']",MD - Qualification,20170919
26,"['Han Chengkai', 'Zhou Haodong', 'Kazuaki Oshima', 'Yuta Yamasaki']","['[CHN] ', '[CHN] ', '[JPN] ', '[JPN] ']","['21-15', '21-23', '21-12']",MD - Qualification,20170919
27,"['Lee Sheng Mu', 'Lin Chia Yu', 'Tinn Isriyanet', 'Kittisak Namdash']","['[TPE] ', '[TPE] ', '[THA] ', '[THA] ']","['21-12', '21-19']",MD - Qualification,20170919
28,"['Satwiksairaj Rankireddy', 'Chirag Shetty', 'Hirokatsu Hashimoto', 'Hiroyuki Saeki']","['[IND] ', '[IND] ', '[JPN] ', '[JPN] ']","['14-21', '22-20', '21-18']",MD - Qualification,20170919
29,"['Jian Yi Lee', 'Zhen Ting Lim', 'Peter Kaesbauer', 'Johannes Pistorius']","['[MAS] ', '[MAS] ', '[GER] ', '[GER] ']","['21-18', '14-21', '21-12']",MD - Qualification,20170919
30,"['Chung Eui Seok', 'Kim Dukyoung', 'Hiroki Okamura', 'Masayuki Onodera']","['[KOR] ', '[KOR] ', '[JPN] ', '[JPN] ']","['21-14', '21-13']",MD - Qualification,20170919
31,"['Supak Jomkoh', 'Pakin Kuna-Anuvit', 'Hsu Jen Hao', 'Lin Yu Hsien']","['[THA] ', '[THA] ', '[TPE] ', '[TPE] ']","['21-12', '27-25']",MD - Qualification,20170919
32,"['Asumi Kugo', 'Megumi Yokoyama', 'Isabel Herttrich', 'Olga Konon']","['[JPN] ', '[JPN] ', '[GER] ', '[GER] ']","['21-16', '13-21', '22-20']",WD - Qualification,20170919
33,"['Keiichiro Matsui', 'Yoshinori Takeuchi', 'Mahiro Kaneko', 'Yunosuke Kubota']","['[JPN] ', '[JPN] ', '[JPN] ', '[JPN] ']","['21-16', '22-20']",MD - Qualification,20170919
34,"['Miki Kashihara', 'Miyuki Kato', 'Savitree Amitrapai', 'Pacharapun Chochuwong']","['[JPN] ', '[JPN] ', '[THA] ', '[THA] ']","['21-8', '21-17']",WD - Qualification,20170919
35,"['Huang Yaqiong', 'Yu Xiaohan', 'Yui Suizu', 'Moe Yamaguchi']","['[CHN] ', '[CHN] ', '[JPN] ', '[JPN] ']","['21-14', '21-6']",WD - Qualification,20170919
36,"['Kim Ha Na', 'Hee Yong Kong', 'Akane Araki [4]', 'Aoi Matsuda']","['[KOR] ', '[KOR] ', '[JPN] ', '[JPN] ']","['21-15', '21-13']",WD - Qualification,20170919
37,"['Nami Matsuyama', 'Chiharu Shida', 'Linda Efler', 'Eva Janssens']","['[JPN] ', '[JPN] ', '[GER] ', '[GER] ']","['21-13', '21-8']",WD - Qualification,20170919
38,"['Takuro Hoki', 'Sayaka Hirota', 'Mohamad Arif Abdul Latif', 'Rusydina Antardayu Riodingin']","['[JPN] ', '[JPN] ', '[MAS] ', '[INA] ']","['21-13', '21-19']",XD - Qualification,20170919
39,"['Han Chengkai', 'Du Yue', 'Zhou Haodong', 'Xu Ya']","['[CHN] ', '[CHN] ', '[CHN] ', '[CHN] ']","['21-19', '21-14']",XD - Qualification,20170919
40,"['Lee Dong Keun', 'Kazumasa Sakai']","['[KOR] ', '[JPN] ']","['21-8', '21-10']",MS - Qualification,20170919
41,"['Kenta Nishimoto', 'Riichi Takeshita']","['[JPN] ', '[JPN] ']","['21-6', '21-12']",MS - Qualification,20170919
42,"['Kim Hyo Min [4]', 'Pai Yu Po']","['[KOR] ', '[TPE] ']","['21-18', '21-18']",WS - Qualification,20170919
