,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Scott Evans', 'Amanda Hogstrom', 'Lasse Mølhede', 'Line Nørgaard']","['[IRL] ', '[SWE] ', '[DEN] ', '[DEN] ']","['21-17', '17-21', '21-12']",XD - Qualification,20171017
1,"['Ivan Sozonov', 'Evgeniya Kosetskaya', 'Johannes Pistorius', 'Lara Kaepplein']","['[RUS] ', '[RUS] ', '[GER] ', '[GER] ']","['21-17', '21-10']",XD - Qualification,20171017
2,"['Mathias Thyrri', 'Emilie Aalestrup', 'Raphael Beck [1]', 'Carla Nelte']","['[DEN] ', '[DEN] ', '[GER] ', '[GER] ']","['21-17', '17-21', '22-20']",XD - Qualification,20171017
3,"['Jones Ralfy Jansen', 'Eva Janssens', 'Mikkel Stoffersen [4]', 'Susan Ekelund']","['[GER] ', '[GER] ', '[DEN] ', '[DEN] ']","['21-15', '22-20']",XD - Qualification,20171017
4,"['Takuro Hoki', 'Sayaka Hirota', 'Vladimir Ivanov', 'Ekaterina Bolotova']","['[JPN] ', '[JPN] ', '[RUS] ', '[RUS] ']","['16-21', '22-20', '21-6']",XD - Qualification,20171017
5,"['Niclas Nohr [3]', 'Sara Thygesen', 'Peter Kaesbauer', 'Olga Konon']","['[DEN] ', '[DEN] ', '[GER] ', '[GER] ']","['21-5', '21-17']",XD - Qualification,20171017
6,"['Jelle Maas [2]', 'Imke Van Der Aar', 'Nicklas Mathiasen', 'Gabriella Bøje']","['[NED] ', '[NED] ', '[DEN] ', '[DEN] ']","['21-17', '21-17']",XD - Qualification,20171017
7,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Kristoffer Knudsen', 'Isabella Nielsen']","['[IND] ', '[IND] ', '[DEN] ', '[DEN] ']","['21-17', '21-13']",XD - Qualification,20171017
8,"['Julie Dawall Jakobsen', 'Lyanny Alessandra Mainaky']","['[DEN] ', '[INA] ']","['16-21', '21-19', '24-22']",WS - Qualification,20171017
9,"['Chloe Birch', 'Lia Salehar']","['[ENG] ', '[SLO] ']","['21-10', '21-13']",WS - Qualification,20171017
10,"['Takuma Ueda', 'Erik Meijs']","['[JPN] ', '[NED] ']","['21-15', '21-15']",MS - Qualification,20171017
11,"['Raul Must', 'Mark Caljouw']","['[EST] ', '[NED] ']","['18-21', '21-15', '22-20']",MS - Qualification,20171017
12,"['Kalle Koljonen', 'Marius Myhre']","['[FIN] ', '[NOR] ']","['21-17', '21-15']",MS - Qualification,20171017
13,"['Parupalli Kashyap [4]', 'Victor Svendsen']","['[IND] ', '[DEN] ']","['21-13', '21-16']",MS - Qualification,20171017
14,"['Kenta Nishimoto', 'Lee Cheuk Yiu']","['[JPN] ', '[HKG] ']","['15-21', '21-15', '21-12']",MS - Qualification,20171017
15,"['Zvonimir Durkinjak', 'Maxime Moreels']","['[CRO] ', '[BEL] ']","['21-18', '21-14']",MS - Qualification,20171017
16,"['Rasmus Gemke', 'Scott Evans']","['[DEN] ', '[IRL] ']","['21-19', '21-12']",MS - Qualification,20171017
17,"['Subhankar Dey', 'Kim Bruun']","['[IND] ', '[DEN] ']","['21-12', '13-21', '21-15']",MS - Qualification,20171017
18,"['Linda Efler', 'Eva Janssens', 'Gabriella Bøje', 'Sara Lundgaard']","['[GER] ', '[GER] ', '[DEN] ', '[DEN] ']","['18-21', '25-23', '21-12']",WD - Qualification,20171017
19,"['Emilie Aalestrup', 'Susan Ekelund', 'Iza Salehar', 'Lia Salehar']","['[DEN] ', '[DEN] ', '[SLO] ', '[SLO] ']","['26-24', '21-16']",WD - Qualification,20171017
20,"['Jelle Maas [4]', 'Robin Tabeling', 'Hyuk Gyun Choi', 'Park Kyung Hoon']","['[NED] ', '[NED] ', '[KOR] ', '[KOR] ']","['22-20', '12-21', '21-14']",MD - Qualification,20171017
