,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Brandon Zhi Hao Yap', 'Omar Ezzat Abelrahim']",[],"['21-10', '21-6']",MS - Qualification,20171026
1,"['Murat Sen [12]', 'Ahmed Gomaa']",[],"['21-11', '21-11']",MS - Qualification,20171026
2,"['Sean Sze Jing Ng', 'Mohamed Toson']",[],"['21-11', '21-7']",MS - Qualification,20171026
3,"['Mattias Sonderskov', 'Hany Samy Ahmed']",[],"['23-21', '21-5']",MS - Qualification,20171026
4,"['Asser Akmal Ahmed Fouad', 'Ahmed Magdy Abdelfattah']",[],"['21-11', '21-15']",MS - Qualification,20171026
5,"['Alexander Kim', 'Ali Mohamed Saeed']",[],"['21-5', '21-18']",MS - Qualification,20171026
6,"['Juno Thomas', 'Aly Ashraf Mahmoud']",[],"['21-12', '21-9']",MS - Qualification,20171026
7,"['Sİnan Zorlu [10]', 'Abdelhamid Tamim Abdelhamid Mohamed']",[],"['21-8', '21-4']",MS - Qualification,20171026
8,"['Bassam Tahseen Abdelrahim', 'Mark Abela']",[],"['21-10', '21-7']",MS - Qualification,20171026
9,"['Aly Mahmoud Hashem', 'Omar Elsayegh']",[],"['21-13', '21-17']",MS - Qualification,20171026
10,"['Gergo Pytel [16]', 'Matthew Abela']",[],"['21-15', '21-9']",MS - Qualification,20171026
11,"['Mohamed Alaa Bakr Abdelgwad', 'Oleg Savatugin']",[],"['16-21', '21-19', '21-15']",MS - Qualification,20171026
12,"['Youssof Essam Bahnasy', 'Yaqoob Oleiwi']",[],"['21-8', '21-7']",MS - Qualification,20171026
13,"['Bence Pytel [9]', 'Abdelrahman Ashraf Hussien']",[],"['21-13', '21-8']",MS - Qualification,20171026
14,"['Samuel Cassar', 'Ahmed Ali Abdelmajeed Elbahnasawy']",[],"['21-14', '21-7']",MS - Qualification,20171026
15,"['Shady Mamdouh', 'Ayham Abd Eleddin']",[],"['21-16', '17-21', '21-11']",MS - Qualification,20171026
16,"['Amrullo Bakhshullaev [11]', 'Monier Fayez Botros']",[],"['21-19', '21-14']",MS - Qualification,20171026
17,"['Mohammad Bani Hani', 'Omar Emad']",[],"['14-21', '21-19', '21-19']",MS - Qualification,20171026
18,"['Mohamed Amine Guelmaoui', 'Kareem Mahmoud Ahmed']",[],"['21-9', '21-13']",MS - Qualification,20171026
19,"['Abdurasul Khadjaev', 'Mahmoud Montaser Mahmoud [15]']",[],"['14-21', '21-15', '21-10']",MS - Qualification,20171026
20,"['Luke Couture [8]', 'Marton Szerecz']",[],"['21-17', '21-14']",MS - Qualification,20171026
21,"['Vojtěch Lapáček', 'Mohamed Hesham Abdelsalam']",[],"['21-6', '21-3']",MS - Qualification,20171026
22,"['Farida Mostafa', 'Youmna Mohamed Shawki']",[],"['21-13', '21-15']",WS - Qualification,20171026
23,"['Esraa Mohamed Hany', 'Sama Wael Helmy']",[],"['21-18', '21-17']",WS - Qualification,20171026
24,"['Aya Ezzat Abdelrahim [7]', 'Eman Mostafa Mohamed']",[],"['21-17', '21-16']",WS - Qualification,20171026
25,"['Rahma Mohamed Saad Eladawy', 'Malak Basem Sobhy Ebrahim']",[],"['21-9', '21-14']",WS - Qualification,20171026
26,"['Mennatallah Ashraf Said Mohamed', 'Hania Shahin [4]']",[],"['15-21', '25-23', '21-14']",WS - Qualification,20171026
27,"['Ganna Tarek Mohamed Reda Elwazery', 'Yara ahmed Foad']",[],"['21-18', '21-14']",WS - Qualification,20171026
28,"['Salmeen Essam Elsaid Salem [6]', 'Nour Elhoda Tarek Mohamed']",[],"['21-11', '21-10']",WS - Qualification,20171026
29,"['Chloe Jennifer Whittington', 'Rowaida Abdallah Morsi']",[],"['21-5', '21-8']",WS - Qualification,20171026
30,"['Sevinch Sodikova', 'Salma Ahmed Fouad Mohamed']",[],"['21-15', '21-8']",WS - Qualification,20171026
31,"['Nour Ahmed Youssri [8]', 'Nada Abdelrahman Elsayed']",[],"['22-20', '21-9']",WS - Qualification,20171026
32,"['Salma Ashraf Mohamed', 'Sara Ayman Gamaleldin']",[],"['21-12', '21-14']",WS - Qualification,20171026
33,"['Jana Hesham Mohamed Abdelkader', 'Mercy Joseph']",[],"['25-23', '21-19']",WS - Qualification,20171026
34,"['Manali Sinha [5]', 'Toka Elwaziri']",[],"['21-13', '21-8']",WS - Qualification,20171026
35,"['Farah Abdelkarim Mostafa', 'Laila Khaled Abdelaziz']",[],"['21-19', '21-10']",WS - Qualification,20171026
36,"['Hania Mohamed Gamaleldin', 'Dina Essam Mohamed']",[],"['21-9', '21-8']",WS - Qualification,20171026
37,"['Brandon Zhi Hao Yap', 'Ismail Mohamed Elsaid']",[],"['21-8', '21-10']",MS - Qualification,20171026
38,"['Murat Sen [12]', 'Sean Sze Jing Ng']",[],"['21-13', '21-7']",MS - Qualification,20171026
39,"['Mattias Sonderskov', 'Basel Hesham Mohamed Ibrahim']",[],"['21-8', '21-10']",MS - Qualification,20171026
40,"['Asser Akmal Ahmed Fouad', 'Alexander Kim']",[],"['21-23', '21-16', '21-19']",MS - Qualification,20171026
41,"['Juno Thomas', 'Majed Yacine Balahoune']",[],"['21-11', '14-21', '21-17']",MS - Qualification,20171026
42,"['Sİnan Zorlu [10]', 'Bassam Tahseen Abdelrahim']",[],"['21-8', '21-13']",MS - Qualification,20171026
43,"['Aly Mahmoud Hashem', 'Tarek Ahmed Sayed']",[],"['21-14', '21-15']",MS - Qualification,20171026
44,"['Gergo Pytel [16]', 'Mohamed Alaa Bakr Abdelgwad']",[],"['21-6', '21-10']",MS - Qualification,20171026
45,"['Bence Pytel [9]', 'Youssof Essam Bahnasy']",[],"['21-12', '21-6']",MS - Qualification,20171026
46,['Samuel Cassar'],[],[],MS - Qualification,20171026
47,"['Amrullo Bakhshullaev [11]', 'Shady Mamdouh']",[],"['21-8', '21-16']",MS - Qualification,20171026
48,"['Mohammad Bani Hani', 'Nawar Gamal Abdelnaser']",[],"['21-3', '21-9']",MS - Qualification,20171026
