,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Leo Rossi [1]', 'Adam Lam']","['[FRA] ', '[ENG] ']","['21-16', '21-17']",MS - Qualification,20170814
1,"['Ahmetcan Oruc', 'Thomas Sibbald']","['[TUR] ', '[NED] ']","['17-21', '21-11', '21-15']",MS - Qualification,20170814
2,"['Enis Sesalan [12]', 'Johnnie Torjussen']","['[TUR] ', '[ENG] ']","['18-21', '22-20', '21-18']",MS - Qualification,20170814
3,"['Georgii Karpov', 'Vladyslav Volnyanskiy']","['[RUS] ', '[UKR] ']","['21-10', '21-12']",MS - Qualification,20170814
4,"['Zach Russ', 'Filip Spoljarec [7]']","['[ENG] ', '[CRO] ']","['21-13', '21-13']",MS - Qualification,20170814
5,"['Peyo Boichinov', 'Mehdi Ansari']","['[BUL] ', '[IRI] ']","['21-9', '21-12']",MS - Qualification,20170814
6,"['Sİnan Zorlu [10]', 'Valentin Singer']","['[TUR] ', '[FRA] ']","['17-21', '21-19', '21-16']",MS - Qualification,20170814
7,"['Danylo Bosniuk', 'Michael Giesinger']","['[UKR] ', '[AUT] ']","['21-15', '21-12']",MS - Qualification,20170814
8,"['Vincent Medina [4]', 'Petros Tentas']","['[FRA] ', '[GRE] ']","['21-8', '21-8']",MS - Qualification,20170814
9,"['Ondřej Král', 'Alexander Cook']","['[CZE] ', '[ENG] ']","['21-14', '21-13']",MS - Qualification,20170814
10,"['Martin Bundgaard', 'Dimitar Yanakiev']","['[DEN] ', '[BUL] ']","['21-17', '21-19']",MS - Qualification,20170814
11,"['Ruttanapak Oupthong [11]', 'Gergo Pytel']","['[THA] ', '[HUN] ']","['21-16', '21-13']",MS - Qualification,20170814
12,"['Kiran George [6]', 'Iliyan Stoynov']","['[IND] ', '[BUL] ']","['21-14', '21-17']",MS - Qualification,20170814
13,"['Ramazan Tekdemİr', 'Ethan Van Leeuwen']","['[TUR] ', '[ENG] ']","['21-18', '21-10']",MS - Qualification,20170814
14,"['Ivan Panev', 'Dragoslav Petrovic [9]']","['[BUL] ', '[SRB] ']","['21-7', '20-22', '21-16']",MS - Qualification,20170814
15,"['Josip Uglesic', 'Maxim Grinblat']","['[CRO] ', '[ISR] ']","['21-13', '21-6']",MS - Qualification,20170814
16,"['Mathias Thyrri', 'May Bar Netzer']","['[DEN] ', '[ISR] ']","['21-16', '21-15']",MS - Qualification,20170814
17,"['Haktan Doğan [13]', 'Oliver Lee Nowak']","['[TUR] ', '[DEN] ']","['21-13', '21-13']",MS - Qualification,20170814
18,"['Valeriy Atrashchenkov', 'Mads Thøgersen']","['[UKR] ', '[DEN] ']","['21-17', '21-11']",MS - Qualification,20170814
19,"['Andraz Krapez [8]', 'Lukas Resch']","['[SLO] ', '[GER] ']","['26-28', '21-17', '21-15']",MS - Qualification,20170814
20,"['Miha Ivanic', 'Salim Ben Boudinar']","['[SLO] ', '[SCO] ']","['21-8', '21-8']",MS - Qualification,20170814
21,"['Julien Carraggi', 'Bence Pytel [15]']","['[BEL] ', '[HUN] ']","['19-21', '21-19', '22-20']",MS - Qualification,20170814
22,"['Sebastiaan Li', 'Lilian Mihaylov']","['[NED] ', '[BUL] ']","['21-18', '21-15']",MS - Qualification,20170814
23,"['Yusuf Ramazan Bay', 'Ilias Xanthou [3]']","['[TUR] ', '[GRE] ']","['21-17', '21-13']",MS - Qualification,20170814
24,"['Alexander Morari', 'Viknesh Rajendran']","['[MDA] ', '[ENG] ']","['14-21', '21-15', '21-13']",MS - Qualification,20170814
25,"['Miha Ivancic', 'Amir Jabbari [14]']","['[SLO] ', '[IRI] ']","['14-21', '21-19', '21-13']",MS - Qualification,20170814
26,"['Leon Seiwald', 'Gergin Nedyalkov']","['[AUT] ', '[BUL] ']","['21-12', '21-9']",MS - Qualification,20170814
27,"['Muhammed Ali Kurt [5]', 'Stamatis Tsigirdakis']","['[TUR] ', '[GRE] ']","['21-10', '21-13']",MS - Qualification,20170814
28,"['Rasmus Kæseler', 'Kit Clement-Dawson']","['[DEN] ', '[ENG] ']","['21-10', '17-21', '21-10']",MS - Qualification,20170814
29,"['Elias Bracke [16]', 'Seyed Armin Zaki Zadeh']","['[BEL] ', '[IRI] ']","['21-16', '21-19']",MS - Qualification,20170814
30,"['Murat Sen', 'Matthias Kicklitz']","['[TUR] ', '[GER] ']","['21-12', '19-21', '21-10']",MS - Qualification,20170814
31,"['Arnaud Merkle [2]', 'Soroush Eskandari Vatannejad']","['[FRA] ', '[IRI] ']","['21-14', '21-16']",MS - Qualification,20170814
32,"['Maria Delcheva', 'Anastasiya Prozorova [1]']","['[BUL] ', '[UKR] ']","['21-15', '21-13']",WS - Qualification,20170814
33,"['Margot Lambert', 'Irini Tenta']","['[FRA] ', '[GRE] ']","['21-10', '21-10']",WS - Qualification,20170814
34,"['Busra Unlu [5]', 'Grammatoula Sotiriou']","['[TUR] ', '[GRE] ']","['22-20', '21-16']",WS - Qualification,20170814
35,"['Stine Susan Küspert', 'Julie Ferrier']","['[GER] ', '[FRA] ']","['21-15', '22-20']",WS - Qualification,20170814
36,"['Artemis Anastasiou', 'Elena-Alexandra Diordiev']","['[GRE] ', '[MDA] ']","['21-12', '21-19']",WS - Qualification,20170814
37,"['Joke De Langhe', 'Natasha Lado']","['[BEL] ', '[ENG] ']","['21-14', '21-15']",WS - Qualification,20170814
38,"['Ashwathi Pillai [6]', 'Iza Salehar']","['[SWE] ', '[SLO] ']","['21-17', '21-9']",WS - Qualification,20170814
39,"['Anastasia Osiyanenko', 'Ann-Kathrin Spöri']","['[RUS] ', '[GER] ']","['14-21', '21-6', '21-18']",WS - Qualification,20170814
40,"['Vlada Gynga', 'Marie Christensen']","['[MDA] ', '[NOR] ']","['21-15', '21-12']",WS - Qualification,20170814
41,"['Anastasiia Pustinskaia', 'Lia Salehar [7]']","['[RUS] ', '[SLO] ']","['21-18', '21-7']",WS - Qualification,20170814
42,"['Freya Patel-Redfearn', 'Daniella Gonda']","['[ENG] ', '[HUN] ']","['21-17', '21-18']",WS - Qualification,20170814
43,"['Bianka Bukoviczki [4]', 'Léonice Huet']","['[HUN] ', '[FRA] ']","['21-16', '21-19']",WS - Qualification,20170814
44,"['Anastasiia Shapovalova', 'Samin Abedkhojasteh']","['[RUS] ', '[IRI] ']","['21-6', '21-15']",WS - Qualification,20170814
