,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Roman Konstantinov', 'Sander Merits']","['[UKR] ', '[EST] ']","['21-16', '21-16']",MS - Qualification,20170907
1,"['Adrian George', 'Artem Tkachuk']","['[IND] ', '[UKR] ']","['21-13', '21-11']",MS - Qualification,20170907
2,"['Glib Beketov', 'Valyeriya Masaylo', 'Oleksii Titov', 'Mariia Kholodna']","['[UKR] ', '[UKR] ', '[UKR] ', '[UKR] ']","['21-2', '21-3']",XD - Qualification,20170907
3,"['Danylo Skrynnik', 'Anna Kaliakina', 'Yevhenii Stolovoi', 'Sofiia Demydenko']","['[UKR] ', '[UKR] ', '[UKR] ', '[UKR] ']","['21-10', '21-16']",XD - Qualification,20170907
4,"['Oleksandr Kolesnik', 'Khaitmurat Kulmatov']","['[UKR] ', '[KAZ] ']","['11-21', '21-12', '21-18']",MS - Qualification,20170907
5,"['Valeriy Atrashchenkov', 'Mykhaylo Makhnovskiy']","['[UKR] ', '[UKR] ']","['21-10', '21-6']",MS - Qualification,20170907
6,"['Swarnaraj Bora', 'Yevhen Kobzar']","['[IND] ', '[UKR] ']","['21-13', '21-11']",MS - Qualification,20170907
7,"['Mykola Dmitrishin', 'Kyrylo Shchur']","['[UKR] ', '[UKR] ']","['17-21', '21-17', '21-16']",MS - Qualification,20170907
8,"['Oleksandr Chakalov', 'Murad Bayramov']","['[UKR] ', '[AZE] ']","['21-16', '21-17']",MS - Qualification,20170907
9,"['Danylo Bosniuk', 'Kanan Rzayev']","['[UKR] ', '[AZE] ']","['21-7', '21-16']",MS - Qualification,20170907
10,"['Vitaly Konov', 'Yonathan Levit']","['[UKR] ', '[ISR] ']","['16-21', '21-18', '21-11']",MS - Qualification,20170907
11,"['Katsiaryna Zablotskaya', 'Polina Buhrova']","['[BLR] ', '[UKR] ']","['21-17', '20-22', '21-13']",WS - Qualification,20170907
12,"['Darya Samarchants', 'Maryana Viarbitskaya']","['[UKR] ', '[BLR] ']","['21-15', '21-14']",WS - Qualification,20170907
13,"['Dimitar Yanakiev', 'Vladyslav Volnyanskiy']","['[BUL] ', '[UKR] ']","['21-10', '21-11']",MS - Qualification,20170907
14,"['Ruhi Raju', 'Varvara Frolova']","['[USA] ', '[UKR] ']","['22-20', '21-11']",WS - Qualification,20170907
15,"['Maja Pavlinic', 'Yevheniia Kantemyr']","['[CRO] ', '[UKR] ']","['21-3', '21-5']",WS - Qualification,20170907
16,"['Dmytro Zavadsky', 'Filip Spoljarec [8]']","['[UKR] ', '[CRO] ']","['21-13', '21-15']",MS - Qualification,20170907
17,"['Bodhit Joshi [4]', 'Sergey Don']","['[IND] ', '[UKR] ']","['21-18', '21-11']",MS - Qualification,20170907
