,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Shiau Cheng Chen', 'Chiang Yi-Hsuan', 'Bernardo Atilano', 'Mariana Chang']","['[TPE] ', '[TPE] ', '[POR] ', '[POR] ']","['21-17', '21-15']",XD - Qualification,20170511
1,"['Patrick Scheiel', 'Annika Schreiber', 'Steve Olesen', 'Josephine Van Zaane']","['[GER] ', '[GER] ', '[DEN] ', '[DEN] ']",[],XD - Qualification,20170511
2,"['Jakob Sorger [2]', 'Serena Au Yeong', 'Filip Jagar', 'Lucija Buchberger']","['[AUT] ', '[AUT] ', '[CRO] ', '[CRO] ']","['21-16', '11-21', '21-16']",XD - Qualification,20170511
3,"['Isabella Nielsen', 'Claudia Paredes', 'Katarina Galenic', 'Maja Pavlinic']","['[DEN] ', '[DEN] ', '[CRO] ', '[CRO] ']","['16-21', '21-14', '22-20']",WD - Qualification,20170511
4,"['Iza Salehar', 'Lia Salehar', 'Daniella Gonda', 'Orsolya Varga']","['[SLO] ', '[SLO] ', '[HUN] ', '[HUN] ']","['21-16', '21-18']",WD - Qualification,20170511
5,"['Christine Busch', 'Amalie Schulz Terp-Nielsen', 'Maryna Ilyinskaya', 'Anna Mikhalkova']","['[DEN] ', '[DEN] ', '[UKR] ', '[UKR] ']","['21-11', '21-19']",WD - Qualification,20170511
6,"['Enis Sesalan', 'Ramazan Tekdemİr', 'Dani Klancar', 'Klemen Lesničar']","['[TUR] ', '[TUR] ', '[SLO] ', '[SLO] ']","['21-12', '21-16']",MD - Qualification,20170511
7,"['Daniel Lundgaard', 'Karl Thor Søndergaard', 'Miha Ivancic', 'Rok Jercinovic']","['[DEN] ', '[DEN] ', '[SLO] ', '[SLO] ']","['21-14', '21-15']",MD - Qualification,20170511
8,"['Martin Cerkovnik', 'Urban Herman', 'Silvan Furrer', 'Tobias Kuenzi']","['[SLO] ', '[SLO] ', '[SUI] ', '[SUI] ']","['21-18', '21-17']",MD - Qualification,20170511
9,"['Martin Bundgaard', 'Michael Spencer-Smith [1]']","['[DEN] ', '[ENG] ']","['18-21', '21-11', '21-16']",MS - Qualification,20170511
