,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Philip Birker', 'Sonja Langthaler', ""Brian O'Mahony"", 'Niamh Gannon']","['[AUT] ', '[AUT] ', '[IRL] ', '[IRL] ']",[],XD - Qualification ,20171205
1,"['Jonathan Dolan', 'Krzysztof Jakowczuk']","['[IRL] ', '[POL] ']","['21-11', '19-21', '21-11']",MS - Qualification ,20171205
2,"['Leo Rossi', 'Victor Zuhr']","['[FRA] ', '[SWE] ']","['21-9', '21-12']",MS - Qualification ,20171205
3,"['Hauke Graalmann', 'Stine Susan Küspert', 'Luke Hill', 'Rosemary Allen']","['[GER] ', '[GER] ', '[ENG] ', '[ENG] ']","['21-13', '21-12']",XD - Qualification ,20171205
4,"['Michael Giesinger', 'David Kramer']","['[AUT] ', '[GER] ']","['21-11', '23-21']",MS - Qualification ,20171205
5,"['Mateusz Swierczynski', 'Lu Chen']","['[POL] ', '[TPE] ']","['21-16', '21-18']",MS - Qualification ,20171205
6,"['Jeppe Bruun', 'Luke Pearce']","['[DEN] ', '[ENG] ']","['21-12', '21-12']",MS - Qualification ,20171205
7,"['Søren Hald', 'Hannes Gerberich']","['[DEN] ', '[GER] ']","['21-13', '21-12']",MS - Qualification ,20171205
8,"['Abigail Holden', 'Sia Emilie Berg']","['[ENG] ', '[DEN] ']","['21-13', '22-20']",WS - Qualification ,20171205
9,"['Yong Sheng Lin', 'Jonathan Dolan']","['[TPE] ', '[IRL] ']","['15-21', '21-19', '21-15']",MS - Qualification ,20171205
10,"['Alex Alcala Dominguez', 'Brandon Zhi Hao Yap']","['[ESP] ', '[ENG] ']","['21-18', '15-21', '21-14']",MS - Qualification ,20171205
11,"['Frederik Aalestrup', 'Torjus Flaatten']","['[DEN] ', '[NOR] ']","['11-21', '21-8', '21-10']",MS - Qualification ,20171205
12,"['Moya Ryan', 'Sophie Males']","['[IRL] ', '[ENG] ']","['21-13', '21-12']",WS - Qualification ,20171205
13,"['Søren Hald', 'Richard Kuhl']","['[DEN] ', '[SWE] ']","['21-13', '21-12']",MS - Qualification ,20171205
14,"['Frederik Aalestrup', 'Alex Alcala Dominguez']","['[DEN] ', '[ESP] ']","['21-16', '21-12']",MS - Qualification ,20171205
15,"['Matthew Carder', 'Danny Leinster', 'Philip Birker', 'Dominik Stipsits']","['[SCO] ', '[SCO] ', '[AUT] ', '[AUT] ']",[],MD - Qualification ,20171205
16,"['Søren Hald', 'Jesper Toft']","['[DEN] ', '[DEN] ']","['14-21', '21-19', '21-14']",MS - Qualification ,20171205
17,"['Alvaro Vazquez', 'Yong Sheng Lin']","['[ESP] ', '[TPE] ']","['22-20', '19-21', '21-15']",MS - Qualification ,20171205
18,"['Sara Penalver Pereira', 'Freja Ravn']","['[ESP] ', '[DEN] ']","['21-14', '21-19']",WS - Qualification ,20171205
19,"['Andreas Søndergaard', 'Malene Kæseler', 'Paul Reynolds', 'Rachael Darragh']","['[DEN] ', '[DEN] ', '[IRL] ', '[IRL] ']","['9-21', '21-9', '21-10']",XD - Qualification ,20171205
20,"['Heng Lin Ngan', 'Filip Budzel']","['[ENG] ', '[CZE] ']","['21-23', '21-19', '21-12']",MS - Qualification ,20171205
21,"['Peter Correl', 'Marcin Nowak']","['[DEN] ', '[POL] ']","['21-15', '21-7']",MS - Qualification ,20171205
22,"['Michael Roe', 'Jessica Hopton', 'Mads Marum', 'Vilde Espeseth']","['[ENG] ', '[ENG] ', '[NOR] ', '[NOR] ']","['21-10', '21-11']",XD - Qualification ,20171205
23,"['Rasmus Kæseler', 'Lukas Zevl']","['[DEN] ', '[CZE] ']","['19-21', '21-19', '11-10']",MS - Qualification ,20171205
24,"['David Jones', 'Ondřej Král']","['[ENG] ', '[CZE] ']","['10-21', '23-21', '21-18']",MS - Qualification ,20171205
25,"[""Brian O'Mahony"", 'Elias Bracke']","['[IRL] ', '[BEL] ']",['13-3'],MS - Qualification ,20171205
26,"['Peter Correl', 'Leon Seiwald']","['[DEN] ', '[AUT] ']","['21-17', '13-21', '21-12']",MS - Qualification ,20171205
27,"['Vincent Medina', ""Brian O'Mahony""]","['[FRA] ', '[IRL] ']","['21-10', '21-9']",MS - Qualification ,20171205
28,"['Adrian Dziolko', 'David Jones']","['[POL] ', '[ENG] ']","['21-9', '17-21', '21-8']",MS - Qualification ,20171205
29,"['Sara Boyle', 'Justine Villegas']","['[IRL] ', '[NZL] ']","['21-17', '21-7']",WS - Qualification ,20171205
