,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Luís Enrique Peñalver', 'Jeppe Bruun Christensen']","['[ESP] ', '[DEN] ']","['21-14', '18-21', '21-13']",MS - Qualification,20170406,"Vantaa, Finland"
1,"['Kasper Lehikoinen [5]', 'Kai Ho Tang']","['[FIN] ', '[ENG] ']","['21-11', '21-10']",MS - Qualification,20170406,"Vantaa, Finland"
2,"['Pawel Pradzinski', 'Victor Zuhr']","['[POL] ', '[SWE] ']","['17-21', '21-19', '21-9']",MS - Qualification,20170406,"Vantaa, Finland"
3,"['Mikkel Mikkelsen', 'Daniel S. Farid']","['[DEN] ', '[IND] ']",[],MS - Qualification,20170406,"Vantaa, Finland"
4,"['Luis Ramon Garrido', 'Lakhanee Sarang']","['[MEX] ', '[IND] ']",[],MS - Qualification,20170406,"Vantaa, Finland"
5,"['Yu Jen Chi', 'Jason Anthony Ho-Shue']","['[TPE] ', '[CAN] ']",[],MS - Qualification,20170406,"Vantaa, Finland"
6,"['Hermansyah .', 'Andy Tsai']","['[INA] ', '[SWE] ']","['21-8', '21-14']",MS - Qualification,20170406,"Vantaa, Finland"
7,"['Ditlev Jaeger Holm', 'Joonas Korhonen']","['[DEN] ', '[FIN] ']","['21-13', '21-12']",MS - Qualification,20170406,"Vantaa, Finland"
8,"['Mattias Wigardt', 'Mikk Järveoja']","['[SWE] ', '[EST] ']","['21-13', '21-10']",MS - Qualification,20170406,"Vantaa, Finland"
9,"['Mikkel Enghøj', 'Vilson Vattanirappel [3]']","['[DEN] ', '[AUT] ']","['21-8', '21-13']",MS - Qualification,20170406,"Vantaa, Finland"
10,"['Burak Furkan Demir', 'Raymond Webster']","['[TUR] ', '[ENG] ']","['21-4', '21-12']",MS - Qualification,20170406,"Vantaa, Finland"
11,"['Koki Watanabe [4]', 'Pauli Saarinen']","['[JPN] ', '[FIN] ']","['21-12', '21-5']",MS - Qualification,20170406,"Vantaa, Finland"
12,"['Duc Phat Le', 'Dmitrii Riabov']","['[VIE] ', '[RUS] ']","['21-17', '21-9']",MS - Qualification,20170406,"Vantaa, Finland"
13,"['Mads Christophersen', 'Kevin Strobl']","['[DEN] ', '[ITA] ']","['21-13', '21-12']",MS - Qualification,20170406,"Vantaa, Finland"
14,"['Heiko Zoober', 'Daniel Ojaaar']","['[EST] ', '[SWE] ']","['21-12', '21-9']",MS - Qualification,20170406,"Vantaa, Finland"
15,"['Simon Wang', 'Mads Kjærgaard']","['[GER] ', '[DEN] ']","['21-14', '21-7']",MS - Qualification,20170406,"Vantaa, Finland"
16,"['Wei Chi Liu', 'Iiro Kokko']","['[TPE] ', '[FIN] ']","['21-11', '21-14']",MS - Qualification,20170406,"Vantaa, Finland"
17,"['Rasmus Messerschmidt [7]', 'Arto Lahtinen']","['[DEN] ', '[FIN] ']","['21-9', '21-18']",MS - Qualification,20170406,"Vantaa, Finland"
18,"['Morgan Lidman', 'Andrey Parakhodin']","['[SWE] ', '[RUS] ']","['21-19', '21-6']",MS - Qualification,20170406,"Vantaa, Finland"
19,"['Julius Von Pfaler', 'Peder Sovndal']","['[FIN] ', '[DEN] ']","['17-21', '22-20', '22-20']",MS - Qualification,20170406,"Vantaa, Finland"
20,"['Heming Lin', 'Mert Tunco']","['[FIN] ', '[TUR] ']","['21-17', '17-21', '21-16']",MS - Qualification,20170406,"Vantaa, Finland"
21,"['Milan Dratva', 'Sami Pajunen']","['[SVK] ', '[FIN] ']","['21-7', '21-15']",MS - Qualification,20170406,"Vantaa, Finland"
22,"['Anton Kaisti [6]', 'Filip Budzel']","['[FIN] ', '[CZE] ']","['21-14', '21-14']",MS - Qualification,20170406,"Vantaa, Finland"
23,"['Manuel Vazquez', 'Mihkel Laanes']","['[ESP] ', '[EST] ']","['21-13', '21-17']",MS - Qualification,20170406,"Vantaa, Finland"
24,"['Jacob Nilsson', 'Karan Rajan Rajarajan']","['[SWE] ', '[IND] ']",[],MS - Qualification,20170406,"Vantaa, Finland"
25,"['Michael Spencer-Smith', 'Eemi Seppala']","['[ENG] ', '[FIN] ']","['21-18', '21-19']",MS - Qualification,20170406,"Vantaa, Finland"
26,"['Kodai Naraoka', 'Richard Kuhl']","['[JPN] ', '[SWE] ']","['21-12', '21-9']",MS - Qualification,20170406,"Vantaa, Finland"
27,"['Giovanni Greco', 'Douglas Lidman']","['[ITA] ', '[SWE] ']","['21-18', '21-15']",MS - Qualification,20170406,"Vantaa, Finland"
28,"['Yu Igarashi [8]', 'Mika Kongas']","['[JPN] ', '[FIN] ']","['21-9', '21-13']",MS - Qualification,20170406,"Vantaa, Finland"
29,"['Naoki Yamazawa', 'Lukas Osele']","['[JPN] ', '[ITA] ']","['21-14', '21-8']",MS - Qualification,20170406,"Vantaa, Finland"
30,"['Luís Enrique Peñalver', 'Kasper Lehikoinen [5]']","['[ESP] ', '[FIN] ']","['21-16', '19-21', '21-19']",MS - Qualification,20170406,"Vantaa, Finland"
31,"['Mikkel Mikkelsen', 'Pawel Pradzinski']","['[DEN] ', '[POL] ']","['21-18', '21-14']",MS - Qualification,20170406,"Vantaa, Finland"
32,"['Mattias Wigardt', 'Felix Burestedt [1]']","['[SWE] ', '[SWE] ']","['22-20', '12-21', '21-12']",MS - Qualification,20170406,"Vantaa, Finland"
33,"['Luis Ramon Garrido', 'Yu Jen Chi']","['[MEX] ', '[TPE] ']","['19-21', '21-11', '21-13']",MS - Qualification,20170406,"Vantaa, Finland"
34,"['Mikkel Enghøj', 'Burak Furkan Demir']","['[DEN] ', '[TUR] ']","['21-8', '21-12']",MS - Qualification,20170406,"Vantaa, Finland"
35,"['Mads Christophersen', 'Koki Watanabe [4]']","['[DEN] ', '[JPN] ']","['21-15', '10-21', '21-14']",MS - Qualification,20170406,"Vantaa, Finland"
36,"['Ditlev Jaeger Holm', 'Hermansyah .']","['[DEN] ', '[INA] ']","['21-19', '21-19']",MS - Qualification,20170406,"Vantaa, Finland"
37,"['Rasmus Messerschmidt [7]', 'Julius Von Pfaler']","['[DEN] ', '[FIN] ']","['21-14', '21-11']",MS - Qualification,20170406,"Vantaa, Finland"
38,"['Morgan Lidman', 'Heming Lin']","['[SWE] ', '[FIN] ']","['21-11', '21-7']",MS - Qualification,20170406,"Vantaa, Finland"
39,"['Duc Phat Le', 'Heiko Zoober']","['[VIE] ', '[EST] ']","['21-17', '21-13']",MS - Qualification,20170406,"Vantaa, Finland"
40,"['Anton Kaisti [6]', 'Manuel Vazquez']","['[FIN] ', '[ESP] ']","['21-19', '19-21', '21-19']",MS - Qualification,20170406,"Vantaa, Finland"
41,"['Wei Chi Liu', 'Simon Wang']","['[TPE] ', '[GER] ']","['21-19', '15-21', '21-11']",MS - Qualification,20170406,"Vantaa, Finland"
42,"['Milan Dratva', 'Michael Spencer-Smith']","['[SVK] ', '[ENG] ']","['21-7', '21-17']",MS - Qualification,20170406,"Vantaa, Finland"
43,"['Yu Igarashi [8]', 'Kodai Naraoka']","['[JPN] ', '[JPN] ']","['21-18', '21-9']",MS - Qualification,20170406,"Vantaa, Finland"
44,"['Jacob Nilsson', 'Giovanni Greco']","['[SWE] ', '[ITA] ']","['21-18', '21-17']",MS - Qualification,20170406,"Vantaa, Finland"
45,"['Gergely Krausz [2]', 'Naoki Yamazawa']","['[HUN] ', '[JPN] ']","['21-17', '17-21', '21-13']",MS - Qualification,20170406,"Vantaa, Finland"
46,"['Riikka Sinkko', 'Olga Rogova']","['[FIN] ', '[RUS] ']","['21-9', '21-11']",WS - Qualification,20170406,"Vantaa, Finland"
47,"['Sonja Pekkola', 'Elina Niiranen']","['[FIN] ', '[FIN] ']","['21-11', '21-8']",WS - Qualification,20170406,"Vantaa, Finland"
48,"['Ebru Yazgan', 'Viola Lindberg']","['[TUR] ', '[FIN] ']","['21-15', '21-13']",WS - Qualification,20170406,"Vantaa, Finland"
49,"['Tuuli Harkonen', 'Wiktoria Rudzinska']","['[FIN] ', '[POL] ']","['21-14', '21-3']",WS - Qualification,20170406,"Vantaa, Finland"
50,"['Yee Yap', 'Jessica Jäntti']","['[MAS] ', '[FIN] ']","['21-8', '21-10']",WS - Qualification,20170406,"Vantaa, Finland"
