,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Lee Ji Hye', 'Chung Yu Feng']","['[KOR] ', '[TPE] ']","['21-16', '21-13']",WS - Qualification,20171128
1,"['Kim Dong Joo', 'Choi Hye In', 'Chen Xin-Yuan', 'Yu Chien Hui']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['21-14', '21-14']",XD - Qualification,20171128
2,"['Yang Ming-Tse [3]', 'Sung Shuo Yun', 'Choi Hyuk Gyun', 'Lee Yu Rim']","['[TPE] ', '[TPE] ', '[KOR] ', '[KOR] ']","['19-21', '21-16', '21-18']",XD - Qualification,20171128
3,"['Chen Sihang', 'Xia Yuting', 'Park Mu Hyun', 'Yoon Min Ah']","['[CHN] ', '[CHN] ', '[KOR] ', '[KOR] ']","['21-15', '21-16']",XD - Qualification,20171128
4,"['Kim Hwi Tae', 'Kim So Yeong', 'Lee Jhe-Huei', 'Wu Ti Jung']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['21-11', '23-21']",XD - Qualification,20171128
5,"['Kim Dukyoung [4]', 'Kim Hye Rin', 'Fan Qiuyue', 'Liu Xuanxuan']","['[KOR] ', '[KOR] ', '[CHN] ', '[CHN] ']","['21-16', '13-21', '21-18']",XD - Qualification,20171128
6,"['Lee Ju Won', 'Heo In']","['[KOR] ', '[KOR] ']","['21-18', '21-18']",MS - Qualification,20171128
7,"['Choi Hyun Beom', 'Park Hyun Sik']","['[KOR] ', '[KOR] ']","['21-19', '21-18']",MS - Qualification,20171128
8,"['Jung Woo Jin', 'Lee Sang Hyun']","['[KOR] ', '[KOR] ']","['19-21', '21-18', '21-18']",MS - Qualification,20171128
9,"['Lee Yoon Kyu', 'Kang Min Woo']","['[KOR] ', '[KOR] ']","['21-15', '22-20']",MS - Qualification,20171128
10,"['Hong Su Ho', 'Kim Kyung Hoon']","['[KOR] ', '[KOR] ']","['9-21', '21-17', '21-19']",MS - Qualification,20171128
11,"['Hong Ji Hoon', 'Kim Dong Hun']","['[KOR] ', '[KOR] ']","['21-12', '21-12']",MS - Qualification,20171128
12,"['Jang Hyun Seok', 'Yang Jae Wook']","['[KOR] ', '[KOR] ']","['21-15', '21-12']",MS - Qualification,20171128
13,"['Kim Yong Hyun', 'Han Sueng Hun']","['[KOR] ', '[KOR] ']","['21-8', '19-21', '21-14']",MS - Qualification,20171128
14,"['Park Byeong Hun', 'Yoo Seok Joo', 'Kim Gyu Min', 'Lee In Kyu']","['[KOR] ', '[KOR] ', '[KOR] ', '[KOR] ']","['21-18', '18-21', '21-9']",MD - Qualification,20171128
15,"['Kim Dong Joo', 'Yim Jong Keun', 'Jang Ho Sang', 'Ra Min Young']","['[KOR] ', '[KOR] ', '[KOR] ', '[KOR] ']","['21-17', '21-23', '21-10']",MD - Qualification,20171128
16,"['Jung Tae In', 'Kim Young Hyuk', 'Lau Yu Leong, Alfred', 'Lau Yu Ming, Adam']","['[KOR] ', '[KOR] ', '[MAS] ', '[MAS] ']","['18-21', '21-16', '21-7']",MD - Qualification,20171128
17,"['Ahn Jin Ha', 'Park Moon Sun', 'Liu Wei Chi', 'Lu Chia Hung']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['15-21', '21-12', '21-10']",MD - Qualification,20171128
18,"['Choi Ho Jin', 'Lee Soon Chul', 'Baek Dae Hyun', 'Ko Seok Gun']","['[KOR] ', '[KOR] ', '[KOR] ', '[KOR] ']","['21-19', '21-17']",MD - Qualification,20171128
