,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Daniel Esteban Dieguez Escobar', 'Jorge Rodriguez']","['[GUA] ', '[MEX] ']","['21-23', '22-20', '21-13']",MS - Qualification,20170926
1,"['Antonio Emanuel Ortiz', 'Manuel Mejia']","['[GUA] ', '[ESA] ']","['21-18', '21-13']",MS - Qualification,20170926
2,"['Jonathan Matias', 'Zichong Alejandro Zheng Chen']","['[BRA] ', '[CRC] ']","['21-11', '11-21', '21-11']",MS - Qualification,20170926
3,"['Mitch, Aubrey Nai Chung Tong', 'Greglory Nathanael Gunawan']","['[SUR] ', '[USA] ']","['21-10', '21-9']",MS - Qualification,20170926
4,"['Donnians Oliveira', 'Brandon Samayoa']","['[BRA] ', '[GUA] ']","['21-12', '21-9']",MS - Qualification,20170926
5,"['Mario Rene Umaña Asencio', 'Guardado Jassiel']","['[GUA] ', '[ESA] ']","['21-18', '21-11']",MS - Qualification,20170926
6,"['Jesus Arturo Barajas Lopez', 'Esteban Hurtado Rojas']","['[MEX] ', '[CRC] ']","['21-15', '21-13']",MS - Qualification,20170926
7,"['Yonatan Linarez', 'Ricardo Estrada']","['[DOM] ', '[GUA] ']","['21-3', '21-5']",MS - Qualification,20170926
8,"['Daniel Esteban Dieguez Escobar', 'Brandon Alavardo [1]']","['[GUA] ', '[GUA] ']","['11-21', '21-16', '21-15']",MS - Qualification,20170926
9,"['Antonio Emanuel Ortiz', 'Pedro Aguilar Gonzalez']","['[GUA] ', '[PAN] ']","['21-9', '23-21']",MS - Qualification,20170926
10,"['Jonathan Matias', 'Yeison Esleiter Del Cid Alvarez [4]']","['[BRA] ', '[GUA] ']","['19-21', '21-12', '21-3']",MS - Qualification,20170926
11,"['Jose Luis Granados Morales', 'Mitch, Aubrey Nai Chung Tong']","['[GUA] ', '[SUR] ']","['21-19', '17-21', '21-15']",MS - Qualification,20170926
12,"['Donnians Oliveira', 'Mario Rene Umaña Asencio']","['[BRA] ', '[GUA] ']","['21-16', '21-15']",MS - Qualification,20170926
13,"['Carlos Daniel Albanes Cordon [3]', 'Sebastian Andres Cabrera Boror']","['[GUA] ', '[GUA] ']","['11-21', '21-10', '21-14']",MS - Qualification,20170926
14,"['Yonatan Linarez', 'Gianpiero Cavallotti [2]']","['[DOM] ', '[CRC] ']","['21-9', '21-11']",MS - Qualification,20170926
15,"['Cesar Adonis Brito Gonzalez', 'Kyle Alexander Munoz Seixas']","['[DOM] ', '[PAN] ']","['21-14', '21-12']",MS,20170926
16,"['Jose Guevara [7]', 'Reimi Starling Cabrera Rosario']","['[PER] ', '[DOM] ']","['21-11', '21-5']",MS,20170926
17,"['Christopher Alexander Martinez Salvador', 'Soren Opti']","['[GUA] ', '[SUR] ']","['21-17', '21-13']",MS,20170926
18,"['Yonatan Linarez', 'Adier Aldeano']","['[DOM] ', '[PAN] ']","['21-10', '21-13']",MS,20170926
19,"['Osleni Guerrero [4]', 'Humblers Heymard']","['[CUB] ', '[GUA] ']","['21-18', '21-15']",MS,20170926
20,"['Luis Armando Montoya Navarro', 'William Cabrera']","['[MEX] ', '[DOM] ']","['29-27', '21-18']",MS,20170926
21,"['Timothy Chiu', 'Sahil Sipani [5]']","['[CAN] ', '[IND] ']",[],MS,20170926
22,"['Wilmer Daniel Brea Nuñez', 'Grimaldy Navirio Gunawan']","['[DOM] ', '[USA] ']","['16-21', '21-12', '21-19']",MS,20170926
23,"['Uriel Francisco Canjura Artiga', 'Donnians Oliveira']","['[ESA] ', '[BRA] ']","['21-15', '10-21', '21-18']",MS,20170926
24,"['Leodannis Martinez [8]', 'Jonathan Matias']","['[CUB] ', '[BRA] ']","['13-21', '21-18', '22-20']",MS,20170926
25,"['Carlos Daniel Albanes Cordon', 'Anthony Murillo']","['[GUA] ', '[PAN] ']","['21-9', '21-11']",MS,20170926
26,"['Artur Silva Pomoceno', 'Anibal Marroquin [3]']","['[BRA] ', '[GUA] ']","['21-13', '21-11']",MS,20170926
27,"['Nelson Javier', 'Antonio Emanuel Ortiz']","['[DOM] ', '[GUA] ']","['21-12', '21-9']",MS,20170926
28,"['Daniel La Torre Regal [6]', 'Daniel Esteban Dieguez Escobar']","['[PER] ', '[GUA] ']","['21-14', '21-8']",MS,20170926
29,"['Duarte Nuno Anjo [2]', 'Jesus Arturo Barajas Lopez']","['[POR] ', '[MEX] ']","['21-11', '21-11']",MS,20170926
30,"['Katherine Sarai Lara Guzman', 'Barrios Heidy Dallana']","['[ESA] ', '[GUA] ']","['21-14', '21-17']",WS,20170926
31,"['Ines Castillo', 'Daniela Hernandez']","['[PER] ', '[ESA] ']","['21-2', '21-6']",WS,20170926
32,"['Ana Laura Martinez Vega', 'Michelle Hernandez Adames']","['[CRC] ', '[PAN] ']","['21-13', '21-15']",WS,20170926
33,"['Ariel Lee', 'Ana Lucia Albanes Cordon']","['[USA] ', '[GUA] ']","['21-11', '14-21', '21-17']",WS,20170926
34,"['Diana Corleto Soto', 'Urrutia Cecilia']","['[GUA] ', '[ESA] ']","['21-1', '21-11']",WS,20170926
35,"['Jennie Gai', 'Bermary Altagracia Polanco Munoz']","['[USA] ', '[DOM] ']","['21-7', '21-13']",WS,20170926
36,"['Noemi Almonte', 'Andrea Maria Morales Guirola']","['[DOM] ', '[GUA] ']","['21-8', '21-9']",WS,20170926
37,"['Graceline Gunawan', 'Fatima Beatriz Centeno Fuentes']","['[USA] ', '[ESA] ']","['16-21', '21-15', '23-21']",WS,20170926
38,"['Tahimara Oropeza', 'Camila Navas']","['[CUB] ', '[ESA] ']","['21-7', '21-3']",WS,20170926
39,"['Mariana Isabel Paiz Quan', 'Kelly Yau']","['[GUA] ', '[PAN] ']","['21-2', '21-3']",WS,20170926
40,"['Paula La Torre Regal [4]', 'Diana Judith Monterroso Ortiz']","['[PER] ', '[GUA] ']","['21-5', '21-17']",WS,20170926
41,"['Sara Michele Barrios Chiong', 'Licelott Sanchez']","['[GUA] ', '[DOM] ']","['21-17', '21-19']",WS,20170926
42,"['Kevin Cordon [1]', 'Jose Luis Granados Morales']","['[GUA] ', '[GUA] ']","['21-6', '21-17']",MS,20170926
43,"['Yaqueline Duarte', 'Lauren Villalobos']","['[MEX] ', '[CRC] ']","['21-6', '21-12']",WS,20170926
44,"['Axel Flores Barrondo', 'Andrea Maria Morales Guirola', 'Manuel Mejia', 'Urrutia Cecilia']","['[GUA] ', '[GUA] ', '[ESA] ', '[ESA] ']","['21-8', '21-10']",XD,20170926
45,"['Nelson Javier', 'Noemi Almonte', 'Anthony Murillo', 'Michelle Hernandez Adames']","['[DOM] ', '[DOM] ', '[PAN] ', '[PAN] ']","['21-5', '21-8']",XD,20170926
46,"['Anibal Marroquin', 'Mariana Isabel Paiz Quan', 'Guardado Jassiel', 'Katherine Sarai Lara Guzman']","['[GUA] ', '[GUA] ', '[ESA] ', '[ESA] ']","['21-5', '21-6']",XD,20170926
47,"['Christopher Alexander Martinez Salvador', 'Diana Corleto Soto', 'Ryan Chew', 'Sydney Lee']","['[GUA] ', '[GUA] ', '[USA] ', '[USA] ']","['21-13', '21-19']",XD,20170926
48,"['Daniel Esteban Dieguez Escobar', 'Sara Michele Barrios Chiong', 'Esteban Hurtado Rojas', 'Ana Laura Martinez Vega']","['[GUA] ', '[GUA] ', '[CRC] ', '[CRC] ']","['21-13', '21-12']",XD,20170926
49,"['Reimi Starling Cabrera Rosario', 'Bermary Altagracia Polanco Munoz', 'Grimaldy Navirio Gunawan', 'Graceline Gunawan']","['[DOM] ', '[DOM] ', '[USA] ', '[USA] ']","['18-21', '21-8', '21-10']",XD,20170926
