,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Marios Michail Boulios', 'Nikolaos Kalaitzoglou']","['[GRE] ', '[GRE] ']","['21-5', '21-5']",MS - Qualification,20170831
1,"['Thomas Rouglios', 'Dimitris Orlis']","['[GRE] ', '[GRE] ']","['21-11', '21-18']",MS - Qualification,20170831
2,"['Georgios Ktenas', 'Vasileios Vasilopoulos']","['[GRE] ', '[GRE] ']","['21-9', '21-11']",MS - Qualification,20170831
3,"['Panagiotis Skarlatos', 'Andreas Bittner']","['[GRE] ', '[GRE] ']","['21-12', '21-16']",MS - Qualification,20170831
4,"['Oskar Johansson', 'Konstantinos Athanasopoulos']","['[SWE] ', '[GRE] ']","['21-4', '21-7']",MS - Qualification,20170831
5,"['Ivan Panev', 'Georgios Orfeas Tsamousiadis']","['[BUL] ', '[GRE] ']","['21-18', '21-12']",MS - Qualification,20170831
6,"['Swarnaraj Bora', 'Kiriakos Moutevelidis']","['[IND] ', '[GRE] ']","['21-5', '21-5']",MS - Qualification,20170831
7,"['Georgios Tsiolis', 'Christos Kaniouras']","['[GRE] ', '[GRE] ']","['21-15', '21-15']",MS - Qualification,20170831
8,"['Johan Azelius', 'George Galvas']","['[SWE] ', '[GRE] ']","['21-10', '21-6']",MS - Qualification,20170831
9,"['Nikolaos Lakakis', 'Panagiotis Tortorelis']","['[GRE] ', '[GRE] ']","['21-12', '21-10']",MS - Qualification,20170831
10,"['Mihail Rami Panagiotou', 'Maximos Paloukas']","['[GRE] ', '[GRE] ']","['21-6', '21-9']",MS - Qualification,20170831
11,"['Grammatoula Sotiriou', 'Betty Anna Strati']","['[GRE] ', '[GRE] ']","['21-13', '21-9']",WS - Qualification,20170831
12,"['Gorkem Esra Ergincan', 'Christina Delivoria']","['[TUR] ', '[GRE] ']","['21-7', '21-11']",WS - Qualification,20170831
13,"['Dimitar Yanakiev [1]', 'Marios Michail Boulios']","['[BUL] ', '[GRE] ']","['21-8', '21-7']",MS - Qualification,20170831
14,"['Thomas Rouglios', 'Nikiforos Stratis']","['[GRE] ', '[GRE] ']","['21-9', '21-15']",MS - Qualification,20170831
15,"['Petros Tentas [4]', 'Georgios Ktenas']","['[GRE] ', '[GRE] ']","['21-16', '21-15']",MS - Qualification,20170831
16,"['Oskar Johansson', 'Panagiotis Skarlatos']","['[SWE] ', '[GRE] ']","['21-16', '21-19']",MS - Qualification,20170831
17,"['Georgios Tsiolis', 'Gurusaidutt R. M. V. [3]']","['[GRE] ', '[IND] ']",[],MS - Qualification,20170831
