,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Dennis Coke', 'Christopher Beecher']","['[JAM] ', '[JAM] ']","['21-11', '21-8']",MS,20170302
1,"['Craig Allison', 'Kirk Francis']","['[JAM] ', '[JAM] ']","['21-13', '21-16']",MS,20170302
2,"['Luke Couture', 'Garron Palmer']","['[CAN] ', '[JAM] ']","['21-8', '21-16']",MS,20170302
3,"['Kemar Valentine', 'Jemarey Gordon']","['[JAM] ', '[JAM] ']",[],MS,20170302
4,"['Matthew Lee', 'Anthony Murillo']","['[JAM] ', '[PAN] ']","['21-10', '21-7']",MS,20170302
5,"['Bradley Graham', 'Adier Aldeano']","['[JAM] ', '[PAN] ']","['21-6', '21-8']",MS,20170302
6,"['Anthony Mcnee', 'Kyle Alexander Munoz Seixas']","['[JAM] ', '[PAN] ']","['21-11', '21-12']",MS,20170302
7,"['Kenneth Anglin', 'Dwayne Watson']","['[JAM] ', '[JAM] ']","['21-14', '21-18']",MS,20170302
8,"['Shaquille Palmer', 'Che Alexander Beckford']","['[JAM] ', '[JAM] ']","['22-20', '21-15']",MS,20170302
9,"['Milan Dratva', 'Matthew Yee-Grant']","['[SVK] ', '[JAM] ']","['21-13', '21-19']",MS,20170302
10,"['Gareth Henry', 'Albert Myles']","['[JAM] ', '[JAM] ']","['21-11', '21-11']",MS,20170302
11,"['Nicardo Reid', 'Cory Fanus']","['[JAM] ', '[BAR] ']","['17-21', '21-17', '21-19']",MS,20170302
12,"['Katherine Wynter', 'Alana Bailey']","['[JAM] ', '[JAM] ']","['21-12', '21-8']",WS,20170302
13,"['Taina Dailey', 'Stefani Brown']","['[JAM] ', '[JAM] ']","['21-11', '21-10']",WS,20170302
14,"['Mikaylia Haldane', 'Esther Christina Reynolds']","['[JAM] ', '[JAM] ']","['14-21', '21-15', '21-15']",WS,20170302
15,"['Leanne Choo', 'Tahlia Richardson']","['[AUS] ', '[JAM] ']","['21-7', '21-9']",WS,20170302
16,"['Adam Mendrek [1]', 'Dennis Coke']","['[CZE] ', '[JAM] ']","['21-8', '21-13']",MS,20170302
17,"['Luke Couture', 'Craig Allison']","['[CAN] ', '[JAM] ']","['21-18', '21-13']",MS,20170302
18,"['Matej Hlinican [3]', 'Kemar Valentine']","['[SVK] ', '[JAM] ']","['21-17', '21-16']",MS,20170302
