,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Manish Gupta', 'Aruni Chauhan', 'Ayan Khan', 'Rupal Anand']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-18', '22-20']",XD - Qualification,20171123
1,"['Sai Rohit Bomboji', 'Nila Valluvan', 'Jairaj Singh Shaktawat', 'Rohini Bilawar']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-13', '21-10']",XD - Qualification,20171123
2,"['Muthyal Shiva Kumar', 'Varsha V Belawadi', 'Narasimha Reddy Ramavathu', 'Sai Tejaswi Pasupulaty']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-7', '21-5']",XD - Qualification,20171123
3,"['Singh Vinay Kumar', 'Revati Devasthale', 'Qadeer Moinuddin Mohammed', 'Varshini Viswanath Sri']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-16', '21-13']",XD - Qualification,20171123
4,"['Saihul Islam', 'Austin Cindy Pratiwi', 'Saharsh Mohan', 'Anusha Goel']","['[INA] ', '[INA] ', '[IND] ', '[IND] ']","['21-14', '21-8']",XD - Qualification,20171123
5,"['Akash Kumar', 'Pinky Karki', 'Santhosh Justieen Saravanan', 'Vidhu Nair']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['22-20', '21-19']",XD - Qualification,20171123
6,"['Singh Kunwar Ishan', 'Deepali Gupta', 'Kirtesh Dhindhwal', 'Anubha Kaushik']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-16', '21-15']",XD - Qualification,20171123
7,"['Siddharth .', 'Manali Sinha', 'Tarun Reddy Katam', 'Kaivalya Lakshmi Yadavalli']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['22-20', '21-15']",XD - Qualification,20171123
8,"['Nishant Dua', 'Anamika Kashyap', 'Mohit Tiwari', 'Saruni Sharma']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['19-21', '22-20', '22-20']",XD - Qualification,20171123
9,"['Kartik Jindal', 'Ameya Oak']","['[IND] ', '[IND] ']","['21-13', '21-7']",MS - Qualification,20171123
10,"['Balraj Kajla', 'Aneeth Kumar Repudi']","['[IND] ', '[IND] ']",['12-2'],MS - Qualification,20171123
11,"['Abhyansh Singh', 'Abhishek Kulkarni']","['[IND] ', '[IND] ']","['21-18', '17-21', '21-12']",MS - Qualification,20171123
12,"['Ashish Sharma', 'Minhaz Mohammad']","['[IND] ', '[BAN] ']","['21-10', '18-21', '21-15']",MS - Qualification,20171123
13,"['Alap Mishra', 'Swarnaraj Bora']","['[IND] ', '[IND] ']","['21-11', '21-18']",MS - Qualification,20171123
14,"['Dhruv Kumar', 'Lishwan Mudukasan']","['[IND] ', '[MAS] ']","['21-16', '21-13']",MS - Qualification,20171123
15,"['Vishal Thakran', 'Tushar Krishna Roy']","['[IND] ', '[BAN] ']","['21-9', '24-22']",MS - Qualification,20171123
16,"['Arintap Das Gupta', 'Sarath Dunna [7]']","['[IND] ', '[IND] ']","['21-6', '21-11']",MS - Qualification,20171123
17,"['Mayank Ahuja', 'Sai Naga Koteswararao Adapa']","['[IND] ', '[IND] ']","['15-21', '21-15', '21-18']",MS - Qualification,20171123
18,"['Gopal Krishna Reddy Dundi', 'Bhaskar Chakraborty']","['[IND] ', '[IND] ']","['21-11', '21-11']",MS - Qualification,20171123
19,"['Ketan Chahal', 'Shubham Prajapati']","['[IND] ', '[IND] ']",[],MS - Qualification,20171123
20,"['Muhammad Elaf Wei Tan [8]', 'Satinder Malik']","['[SGP] ', '[IND] ']","['21-15', '21-16']",MS - Qualification,20171123
21,"['Abhinav Manota', 'Abdul Bari Ansari']","['[NZL] ', '[IND] ']","['21-7', '21-11']",MS - Qualification,20171123
22,"['Sai Charan Koya', 'Amit Sharma']","['[IND] ', '[IND] ']","['21-16', '21-15']",MS - Qualification,20171123
23,"['Ananya Goel', 'Bhavya Rishi']","['[IND] ', '[IND] ']","['14-21', '21-17', '21-18']",WS - Qualification,20171123
