,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Toma Junior Popov', 'Oleksandar Shmundyak']","['[FRA] ', '[UKR] ']","['21-12', '21-7']",MS - Qualification ,20170927
1,"['Harshit Aggarwal', 'Pierrick Cajot [15]']","['[IND] ', '[FRA] ']","['25-23', '21-11']",MS - Qualification ,20170927
2,"['Rasmus Messerschmidt', 'Andy Tsai']","['[DEN] ', '[SWE] ']","['21-7', '21-9']",MS - Qualification ,20170927
3,"['Jan Louda', 'Andraz Krapez']","['[CZE] ', '[SLO] ']","['21-19', '21-10']",MS - Qualification ,20170927
4,"['Wolfgang Gnedt', 'Manuel Vazquez']","['[AUT] ', '[ESP] ']","['21-11', '21-10']",MS - Qualification ,20170927
5,"['Robert Cybulski', 'Wiktoria Dabczynska', 'Alexandr Kozyrev', 'Anastasiia Pustinskaia']","['[POL] ', '[POL] ', '[RUS] ', '[RUS] ']","['9-21', '21-18', '21-18']",XD - Qualification ,20170927
6,"['Adi Pratama', 'Maciej Poulakowski']","['[INA] ', '[POL] ']","['19-21', '21-14', '21-11']",MS - Qualification ,20170927
7,"['Kaho Funahashi', 'Veronika Koldová']","['[JPN] ', '[CZE] ']","['21-12', '21-8']",WS - Qualification ,20170927
8,"['Cristen Elizabeth Marritt', 'Lucia Vojtekova']","['[ENG] ', '[SVK] ']","['21-7', '21-6']",WS - Qualification ,20170927
9,"['Gergely Krausz [5]', 'Christopher Grimley']","['[HUN] ', '[SCO] ']","['21-12', '21-11']",MS - Qualification ,20170927
10,"['Rasmus Messerschmidt', 'Bjorn Seguin [6]']","['[DEN] ', '[USA] ']","['21-14', '21-19']",MS - Qualification ,20170927
11,"['Adi Pratama', 'Mateusz Dubowski [12]']","['[INA] ', '[POL] ']","['21-9', '14-21', '21-13']",MS - Qualification ,20170927
12,"['Ozge Bayrak', 'Soraya De Visch Eijbergen [6]']","['[TUR] ', '[NED] ']","['12-21', '21-13', '21-19']",WS - Qualification ,20170927
13,"['Veronika Kubeckova', 'Anura Prabhudesai [1]']","['[CZE] ', '[IND] ']",[],WS - Qualification ,20170927
14,"['Emma Karlsson', 'Wiktoria Dabczynska']","['[SWE] ', '[POL] ']","['21-7', '21-9']",WS - Qualification ,20170927
15,"['Vaishnavi Reddy Jakka', 'Aliye Demirbag [5]']","['[IND] ', '[TUR] ']","['21-19', '18-21', '21-13']",WS - Qualification ,20170927
16,"['Pawel Smilowski', 'Przemyslaw Szydlowski', 'Javier Suarez', 'Alberto Zapico']","['[POL] ', '[POL] ', '[ESP] ', '[ESP] ']","['21-17', '12-21', '21-13']",MD - Qualification ,20170927
17,"['Matěj Hubáček', 'Michal Hubáček', 'Robert Cybulski', 'Tymoteusz Malik']","['[CZE] ', '[CZE] ', '[POL] ', '[POL] ']","['22-20', '21-16']",MD - Qualification ,20170927
18,"['Mai Surrow', 'Josephine Van Zaane', 'Lyddia Yi Yu Cheah [3]', 'Li Lian Yang']","['[DEN] ', '[DEN] ', '[MAS] ', '[MAS] ']","['21-17', '24-22']",WD - Qualification ,20170927
