,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Muhammad Izzuddin Shamsul Muzli', 'Johnny Pit Kng Low']","['[MAS] ', '[AUS] ']","['21-6', '21-3']",MS,20170907
1,"['Lin Chun-Yi', 'Rio Agustino']","['[TPE] ', '[AUS] ']","['21-6', '21-6']",MS,20170907
2,"['Kai Ho Tang', 'Pascal Souksavat']","['[ENG] ', '[AUS] ']","['21-12', '21-15']",MS,20170907
3,"['Sachin Dias', 'William Ponsonby']","['[SRI] ', '[AUS] ']","['21-8', '21-4']",MS,20170907
4,"['Nathan Tang', 'Hussein Zayan Shaheed']","['[AUS] ', '[MDV] ']","['21-9', '21-16']",MS,20170907
5,"['Trung Hieu', 'Ethan Chen']","['[AUS] ', '[AUS] ']","['21-13', '23-21']",MS,20170907
6,"['Yang Shen', 'Lin Bing-Wei']","['[AUS] ', '[TPE] ']","['22-20', '21-16']",MS,20170907
7,"['Buwaneka Goonethilleka', 'Edward Liu']","['[SRI] ', '[AUS] ']","['21-5', '21-4']",MS,20170907
8,"['Chet Vin Wong', 'Stephen Kim']","['[MAS] ', '[AUS] ']","['21-11', '21-13']",MS,20170907
9,"['Shiau Cheng Chen', 'Tristan Michael Edison']","['[TPE] ', '[AUS] ']","['21-6', '21-13']",MS,20170907
10,"['Joel Findlay', 'Yuki Liu']","['[AUS] ', '[AUS] ']","['21-13', '14-21', '21-10']",MS,20170907
11,"['Hin Shun Wong', 'Zhao Jie Stanley Chiong']","['[ENG] ', '[AUS] ']","['21-14', '21-19']",MS,20170907
12,"['Chin Yong Chian', 'Peter Yan']","['[MAS] ', '[AUS] ']","['21-12', '21-18']",MS,20170907
13,"['Chia Hao Lee', 'Michael Fariman']","['[TPE] ', '[AUS] ']","['21-9', '21-16']",MS,20170907
14,"['Raymond Sing', 'Sarim Mohamed']","['[AUS] ', '[MDV] ']","['21-12', '22-20']",MS,20170907
15,"['Ranthushka Sasindu', 'Jacob Schueler']","['[SRI] ', '[AUS] ']","['21-16', '18-21', '21-13']",MS,20170907
16,"['Su Li Yang', 'Francis Joey Wong']","['[TPE] ', '[AUS] ']","['21-1', '21-7']",MS,20170907
17,"['Wu Cheng-En', 'Kai Chen Teoh']","['[TPE] ', '[AUS] ']","['21-11', '21-7']",MS,20170907
18,"['Pin Chun Chao', 'Patrick Hii']","['[TPE] ', '[AUS] ']","['21-12', '21-19']",MS,20170907
19,"['Lin Sih Yun', 'Michelle Tam']","['[TPE] ', '[AUS] ']","['21-9', '21-3']",WS,20170907
20,"['Amelia Lowe', 'Sara Mohmand']","['[AUS] ', '[PAK] ']","['14-21', '21-12', '21-15']",WS,20170907
21,"['Hsieh Yu Ying', 'Claudia Lam']","['[TPE] ', '[AUS] ']","['21-10', '21-10']",WS,20170907
22,"['Sin Er Ng', 'Majan Almazan']","['[MAS] ', '[AUS] ']","['21-13', '21-7']",WS,20170907
23,"['Lin Jhih Yun', 'Zecily Fung']","['[TPE] ', '[AUS] ']","['21-14', '21-11']",WS,20170907
24,"['Stephanie Fan', 'Kelly Stern']","['[AUS] ', '[NZL] ']","['21-6', '21-8']",WS,20170907
25,"['Huang Yin Hsuan', 'Kelly Xu']","['[TPE] ', '[AUS] ']","['21-12', '21-11']",WS,20170907
26,"['Lekha Shehani', 'Isabelle Tian Yi Zhang']","['[SRI] ', '[AUS] ']","['21-5', '21-1']",WS,20170907
27,"['Lin Hsiang Ti', 'Yingzi Jiang']","['[TPE] ', '[AUS] ']","['21-7', '21-5']",WS,20170907
28,"['Muhammad Izzuddin Shamsul Muzli', 'Daniel Fan']","['[MAS] ', '[AUS] ']","['21-15', '21-12']",MS,20170907
29,"['Sachin Dias', 'Pit Seng Low [5]']","['[SRI] ', '[AUS] ']","['21-6', '21-10']",MS,20170907
30,"['Lin Chun-Yi', 'Nathan Tang']","['[TPE] ', '[AUS] ']","['21-5', '21-12']",MS,20170907
31,"['Cham Chen', 'Kai Ho Tang']","['[AUS] ', '[ENG] ']","['18-21', '21-14', '21-17']",MS,20170907
32,"['Wang Yuehang [4]', 'Trung Hieu']","['[ENG] ', '[AUS] ']","['21-13', '21-13']",MS,20170907
33,"['Yang Shen', 'Janson Trinh']","['[AUS] ', '[AUS] ']","['21-13', '21-13']",MS,20170907
34,"['Buwaneka Goonethilleka', 'Chen Chi Ting [8]']","['[SRI] ', '[TPE] ']","['21-18', '24-22']",MS,20170907
35,"['Keith Mark Edison', 'Chet Vin Wong']","['[AUS] ', '[MAS] ']","['21-17', '17-21', '23-21']",MS,20170907
36,"['Shiau Cheng Chen', 'Joel Findlay']","['[TPE] ', '[AUS] ']","['21-8', '21-10']",MS,20170907
37,"['Dinuka Karunaratna [6]', 'Hin Shun Wong']","['[SRI] ', '[ENG] ']","['21-14', '21-8']",MS,20170907
38,"['Chia Hao Lee', 'Chin Yong Chian']","['[TPE] ', '[MAS] ']","['21-14', '21-14']",MS,20170907
39,"['Anthony Joe [3]', 'Raymond Sing']","['[AUS] ', '[AUS] ']","['21-15', '21-8']",MS,20170907
40,"['Ranthushka Sasindu', 'Dimitri Han']","['[SRI] ', '[AUS] ']","['21-13', '21-14']",MS,20170907
41,"['Su Li Yang', 'Ashwant Gobinathan [7]']","['[TPE] ', '[AUS] ']","['21-5', '21-15']",MS,20170907
42,"['Lin Hsiang Ti', 'Jennifer Tam [3]']","['[TPE] ', '[AUS] ']","['21-8', '21-14']",WS,20170907
43,"['Lin Sih Yun', 'Hsuan-Yu Wendy Chen [1]']","['[TPE] ', '[AUS] ']","['11-21', '21-10', '21-15']",WS,20170907
44,"['Lin Chun-Yi', 'Sachin Dias']","['[TPE] ', '[SRI] ']","['21-13', '23-21']",MS,20170907
45,"['Shiau Cheng Chen', 'Dinuka Karunaratna [6]']","['[TPE] ', '[SRI] ']","['21-15', '21-15']",MS,20170907
46,"['Muhammad Izzuddin Shamsul Muzli', 'Pin Chun Chao']","['[MAS] ', '[TPE] ']","['21-17', '21-18']",MS,20170907
47,"['Chia Hao Lee', 'Anthony Joe [3]']","['[TPE] ', '[AUS] ']","['21-10', '21-14']",MS,20170907
48,"['Su Li Yang', 'Ranthushka Sasindu']","['[TPE] ', '[SRI] ']","['21-15', '20-22', '21-8']",MS,20170907
49,"['Wu Cheng-En', 'Cham Chen']","['[TPE] ', '[AUS] ']","['21-6', '21-10']",MS,20170907
