,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Odunayo Sunday Olawale', 'Tobi Owolabi']","['[NGR] ', '[NGR] ']","['21-17', '21-18']",MS - Qualification,20170726,"LAGOS, Nigeria"
1,"['Anuoluwapo Juwon Opeyori', 'Ebenezer Andrews']","['[NGR] ', '[GHA] ']","['21-8', '21-19']",MS - Qualification,20170726,"LAGOS, Nigeria"
2,"['Abraham Ayittey', 'Ganiyu Sulyman']","['[GHA] ', '[NGR] ']","['22-20', '21-9']",MS - Qualification,20170726,"LAGOS, Nigeria"
3,"['Michael Opoku Baah', 'Gbenoukpo Sebastiano Degbe']","['[GHA] ', '[BEN] ']","['21-8', '21-5']",MS - Qualification,20170726,"LAGOS, Nigeria"
4,"['Isaac Minaphee', 'Olanrewaju Adeyemi Oshinubi']","['[NGR] ', '[NGR] ']","['21-16', '21-10']",MS - Qualification,20170726,"LAGOS, Nigeria"
5,"['Godwin Olofua', 'Carin Toudonou Rojuel Assogba']","['[NGR] ', '[BEN] ']","['21-3', '21-6']",MS - Qualification,20170726,"LAGOS, Nigeria"
6,"['Ahmad Balarabe Umar', 'Ben Noah Ayim']","['[NGR] ', '[GHA] ']","['21-16', '21-14']",MS - Qualification,20170726,"LAGOS, Nigeria"
7,"['Julius Olukotun', 'George Ayittey']","['[NGR] ', '[GHA] ']","['21-15', '21-17']",MS - Qualification,20170726,"LAGOS, Nigeria"
8,"['Jafar Salihu Umar', 'Joseph Gordon']","['[NGR] ', '[GHA] ']","['21-12', '18-21', '21-12']",MS - Qualification,20170726,"LAGOS, Nigeria"
9,"['Emmanuel Yaw Donkor', 'Damilola Olawumi']","['[GHA] ', '[NGR] ']","['21-7', '21-10']",MS - Qualification,20170726,"LAGOS, Nigeria"
10,"['Kayode Samuel Oyeniran', 'Olatunji Fadipe']","['[NGR] ', '[NGR] ']","['21-6', '21-10']",MS - Qualification,20170726,"LAGOS, Nigeria"
11,"['Aaron Tamakloe', 'Daniel Doe']","['[GHA] ', '[GHA] ']","['21-16', '12-21', '21-18']",MS - Qualification,20170726,"LAGOS, Nigeria"
12,"['Tobiloba Oyewole', 'Segun Obasanjo Idowu']","['[BEN] ', '[NGR] ']","['21-19', '19-21', '21-13']",MS - Qualification,20170726,"LAGOS, Nigeria"
13,"['Emmanuel Botwe', 'Paul Henri Assembe Bloch']","['[GHA] ', '[CMR] ']","['21-9', '21-6']",MS - Qualification,20170726,"LAGOS, Nigeria"
14,"['Mujittapha Umar', 'Ogundokun Sodiq Adewale']","['[NGR] ', '[NGR] ']","['22-20', '21-10']",MS - Qualification,20170726,"LAGOS, Nigeria"
15,"['Folorunsho Ilesanmi Opeyori', 'Daniel Philip']","['[NGR] ', '[NGR] ']","['21-16', '14-21', '21-11']",MS - Qualification,20170726,"LAGOS, Nigeria"
16,"['Anuoluwapo Juwon Opeyori', 'Odunayo Sunday Olawale']","['[NGR] ', '[NGR] ']","['21-8', '21-11']",MS - Qualification,20170726,"LAGOS, Nigeria"
17,"['Michael Opoku Baah', 'Abraham Ayittey']","['[GHA] ', '[GHA] ']","['17-21', '21-19', '21-12']",MS - Qualification,20170726,"LAGOS, Nigeria"
18,"['Isaac Minaphee', 'Godwin Olofua']","['[NGR] ', '[NGR] ']","['13-21', '21-13', '21-19']",MS - Qualification,20170726,"LAGOS, Nigeria"
19,"['Ahmad Balarabe Umar', 'Julius Olukotun']","['[NGR] ', '[NGR] ']","['21-18', '21-18']",MS - Qualification,20170726,"LAGOS, Nigeria"
20,"['Emmanuel Yaw Donkor', 'Jafar Salihu Umar']","['[GHA] ', '[NGR] ']","['21-12', '21-18']",MS - Qualification,20170726,"LAGOS, Nigeria"
21,"['Kayode Samuel Oyeniran', 'Aaron Tamakloe']","['[NGR] ', '[GHA] ']","['21-10', '21-8']",MS - Qualification,20170726,"LAGOS, Nigeria"
22,"['Tobiloba Oyewole', 'Emmanuel Botwe']","['[BEN] ', '[GHA] ']","['21-19', '22-20']",MS - Qualification,20170726,"LAGOS, Nigeria"
23,"['Mujittapha Umar', 'Folorunsho Ilesanmi Opeyori']","['[NGR] ', '[NGR] ']","['25-23', '21-15']",MS - Qualification,20170726,"LAGOS, Nigeria"
24,"['Grace ANNABEL Atipaka', 'Xena Arisa']","['[GHA] ', '[BEN] ']","['21-13', '21-0']",WS - Qualification,20170726,"LAGOS, Nigeria"
25,"['Stella Koteikai Amasah', 'Stella Joel Ngadjui']","['[GHA] ', '[CMR] ']","['21-18', '21-14']",WS - Qualification,20170726,"LAGOS, Nigeria"
26,"['Eunice ABENA Arthur', 'Adjele Joeline Degbey']","['[GHA] ', '[BEN] ']","['21-16', '21-10']",WS - Qualification,20170726,"LAGOS, Nigeria"
27,"['Ramatu Yakubu', 'Eyram YAA Migbodzi']","['[NGR] ', '[GHA] ']","['21-6', '21-8']",WS - Qualification,20170726,"LAGOS, Nigeria"
28,"['Joseph Gordon', 'Paulin Nguele Biya']","['[GHA] ', '[CMR] ']",[],MS - Qualification,20170726,"LAGOS, Nigeria"
29,"['Misha Zilberman [1]', 'Herbert Ebayo']","['[ISR] ', '[UGA] ']","['21-8', '21-7']",MS,20170726,"LAGOS, Nigeria"
30,"['Michael Opoku Baah', 'Moses Adeola Babatunde']","['[GHA] ', '[NGR] ']","['21-15', '21-14']",MS,20170726,"LAGOS, Nigeria"
31,"['Abdelrahman Abdelhakim [6]', 'Kayode Abubakar Mope']","['[EGY] ', '[NGR] ']","['21-14', '22-20']",MS,20170726,"LAGOS, Nigeria"
32,"['Sola Abiodun', 'Isaac Minaphee']","['[NGR] ', '[NGR] ']","['21-19', '21-19']",MS,20170726,"LAGOS, Nigeria"
33,"['Rahul Yadav Chittaboina [4]', 'Yunusa Momoh']","['[IND] ', '[NGR] ']","['21-18', '21-18']",MS,20170726,"LAGOS, Nigeria"
34,"['Joshua Adeyemi Odelabi', 'Tobiloba Oyewole']","['[NGR] ', '[BEN] ']","['18-21', '21-13', '21-12']",MS,20170726,"LAGOS, Nigeria"
35,"['Habeeb Temitope Bello [8]', 'Kayode Samuel Oyeniran']","['[NGR] ', '[NGR] ']","['21-15', '21-15']",MS,20170726,"LAGOS, Nigeria"
36,"['Anuoluwapo Juwon Opeyori', 'Olamide Adebayo']","['[NGR] ', '[NGR] ']","['21-8', '21-5']",MS,20170726,"LAGOS, Nigeria"
37,"['Usman , Ayo Isiaq', 'Jacob Musisi']","['[NGR] ', '[UGA] ']","['21-19', '21-15']",MS,20170726,"LAGOS, Nigeria"
