,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Randriamalala Julio Keman', 'Kamlesh Bhoyroo']","['[MAD] ', '[MRI] ']","['21-16', '21-15']",MS - Qualification,20170615
1,"['Mohamed Ajfan Rasheed', 'Abdul Zaheer Beebeejaun']","['[MDV] ', '[MRI] ']","['21-2', '21-3']",MS - Qualification,20170615
2,"['Hemraj Shibchurn', 'Narasimha Reddy Ramavathu']","['[MRI] ', '[IND] ']","['21-7', '21-9']",MS - Qualification,20170615
3,"['Giovanni Toti', 'Ved Callychurn']","['[ITA] ', '[MRI] ']","['21-2', '21-4']",MS - Qualification,20170615
4,"['Mevan Dewoo [1]', 'Helvin Arnachellum']","['[MRI] ', '[MRI] ']","['15-21', '21-13', '21-8']",MS - Qualification,20170615
5,"['David Lo Yuen Cheong', 'Sulaiman Essackjee']","['[MRI] ', '[MRI] ']","['21-15', '21-18']",MS - Qualification,20170615
6,"['Ahmed Nibal', 'Faadil Sayed [6]']","['[MDV] ', '[MRI] ']","['23-21', '21-19']",MS - Qualification,20170615
7,"['Nevin Lufor [3]', 'Suhaib Khodabocus']","['[MRI] ', '[MRI] ']","['21-4', '21-5']",MS - Qualification,20170615
8,"['Soobhan Ajmeer', 'Sadashayanand Dumree']","['[MRI] ', '[MRI] ']","['21-8', '21-13']",MS - Qualification,20170615
9,"['Soogun Z [8]', 'Mohamed Arsalaan Ali']","['[MRI] ', '[MDV] ']","['21-17', '21-17']",MS - Qualification,20170615
10,"['Eric Renel [5]', 'Janess Rujkoomar']","['[MRI] ', '[MRI] ']","['21-13', '21-14']",MS - Qualification,20170615
11,"['Andrew Seeruthun', 'Kesaven Veerapen']","['[MRI] ', '[MRI] ']","['21-10', '21-8']",MS - Qualification,20170615
12,"['Adrian George', 'Giresh Kumar Rampersand [4]']","['[IND] ', '[MRI] ']","['21-12', '21-19']",MS - Qualification,20170615
13,"['Terry Sebastien Amedee', 'Ranbir Choolun [7]']","['[REU] ', '[MRI] ']","['21-17', '21-8']",MS - Qualification,20170615
14,"['Daren Pachee', 'Kooshal Pursun']","['[MRI] ', '[MRI] ']","['21-7', '21-6']",MS - Qualification,20170615
15,"['Tamesh Dookhee [2]', 'Ravin Anthi-Iya']","['[MRI] ', '[MRI] ']","['21-19', '21-16']",MS - Qualification,20170615
16,"['Randriamalala Julio Keman', 'Robin Armoet']","['[MAD] ', '[REU] ']","['21-14', '21-16']",MS - Qualification,20170615
17,"['Mohamed Ajfan Rasheed', 'Dany Carver']","['[MDV] ', '[MRI] ']","['21-6', '21-8']",MS - Qualification,20170615
18,"['Hemraj Shibchurn', 'Abdul Zeeshan Beebeejaun']","['[MRI] ', '[MRI] ']","['21-7', '21-14']",MS - Qualification,20170615
19,"['Giovanni Toti', 'Kailash Choolun']","['[ITA] ', '[MRI] ']","['21-11', '21-9']",MS - Qualification,20170615
20,"['Daren Pachee', 'Tamesh Dookhee [2]']","['[MRI] ', '[MRI] ']","['21-18', '14-21', '21-14']",MS - Qualification,20170615
21,"['Adrian George', 'Andrew Seeruthun']","['[IND] ', '[MRI] ']","['21-11', '21-16']",MS - Qualification,20170615
22,"['Mevan Dewoo [1]', 'David Lo Yuen Cheong']","['[MRI] ', '[MRI] ']","['21-14', '21-16']",MS - Qualification,20170615
23,"['Soobhan Ajmeer', 'Nevin Lufor [3]']","['[MRI] ', '[MRI] ']","['21-15', '21-11']",MS - Qualification,20170615
24,"['Mohamed Ajfan Rasheed', 'Soogun Z [8]']","['[MDV] ', '[MRI] ']","['21-12', '21-9']",MS - Qualification,20170615
25,"['Ahmed Nibal', 'Randriamalala Julio Keman']","['[MDV] ', '[MAD] ']","['21-17', '21-19']",MS - Qualification,20170615
26,"['Eric Renel [5]', 'Hemraj Shibchurn']","['[MRI] ', '[MRI] ']","['21-14', '21-13']",MS - Qualification,20170615
27,"['Giovanni Toti', 'Terry Sebastien Amedee']","['[ITA] ', '[REU] ']","['21-10', '21-13']",MS - Qualification,20170615
28,"['Misha Zilberman [1]', 'Jean Bernard Bongout']","['[ISR] ', '[MRI] ']","['21-17', '21-6']",MS,20170615
29,"['Aljallad Ahmad [6]', 'Gilles Allet']","['[SYR] ', '[MRI] ']","['21-14', '21-18']",MS,20170615
30,"['Fabio Caponio', 'Georges Julien Paul [4]']","['[ITA] ', '[MRI] ']","['13-21', '21-17', '21-17']",MS,20170615
31,"['K. Ajay Kumar', 'Melvin Appiah']","['[IND] ', '[MRI] ']","['21-12', '21-14']",MS,20170615
32,"['Robert Mann [7]', 'Clifford Domingue']","['[LUX] ', '[MRI] ']","['21-10', '21-4']",MS,20170615
33,"['Giap Chin Goh [3]', 'Jatoonah Ashley']","['[MAS] ', '[MRI] ']","['21-2', '21-4']",MS,20170615
34,"['Jonathan Persson', 'Christopher Paul [8]']","['[GER] ', '[MRI] ']","['21-9', '21-15']",MS,20170615
35,"['Rosario Maddaloni [2]', 'Hussein Zayan Shaheed']","['[ITA] ', '[MDV] ']","['21-8', '21-8']",MS,20170615
36,"['Terry Sebastien Amedee', 'Isabelle Lai-Cheung Kit', 'Shailen Chuttoor', 'Luvyna Chuttoor']","['[REU] ', '[REU] ', '[MRI] ', '[MRI] ']","['21-9', '21-6']",XD,20170615
37,"['Stephan Beeharry', 'Mevan Dewoo']","['[MRI] ', '[MRI] ']","['21-13', '21-16']",MS,20170615
38,"['Tejraj Pultoo', 'Eric Renel']","['[MRI] ', '[MRI] ']","['21-19', '21-14']",MS,20170615
39,"['Mohamed Ajfan Rasheed', 'Thierry Bellepeau']","['[MDV] ', '[MRI] ']","['21-19', '21-9']",MS,20170615
40,"['Mayank Ahuja', 'Daren Pachee']","['[IND] ', '[MRI] ']","['21-5', '21-11']",MS,20170615
41,"['Adrian George', 'Aatish Lubah [5]']","['[IND] ', '[MRI] ']","['21-9', '17-21', '21-13']",MS,20170615
42,"['Khabir Teeluck', 'Soobhan Ajmeer']","['[MRI] ', '[MRI] ']","['22-20', '21-9']",MS,20170615
43,"['Giovanni Toti', 'Vishal Sawaram']","['[ITA] ', '[MRI] ']","['21-5', '21-12']",MS,20170615
44,"['Ahmed Nibal', 'Huzair Asraaf Ali Bhuttoo']","['[MDV] ', '[MRI] ']","['27-25', '21-13']",MS,20170615
45,"['Aminath Nabeeha Abdul Razzaq', 'Jemimah Leug For Sang']","['[MDV] ', '[MRI] ']","['22-20', '21-10']",WS,20170615
46,"['Aisha Nakiyemba', 'Jeisha Chiniah']","['[UGA] ', '[MRI] ']","['21-11', '21-8']",WS,20170615
47,"['Shikha Gautam', 'Bhavishasingh Canaye']","['[IND] ', '[MRI] ']","['21-6', '21-3']",WS,20170615
48,"['Hannah Pohl', 'Neela Najeeb']","['[GER] ', '[MDV] ']","['21-11', '21-18']",WS,20170615
49,"['Ganesha Mungrah', 'Marthe Guichard']","['[MRI] ', '[REU] ']","['23-21', '18-21', '21-8']",WS,20170615
50,"['Moosa Aminath Shahurunaz', 'Sendila Mourat']","['[MDV] ', '[MRI] ']","['21-18', '18-21', '22-20']",WS,20170615
51,"['Fathimath Nabaaha Abdul Razzaq', 'Shania Leung']","['[MDV] ', '[MRI] ']","['21-17', '22-24', '21-12']",WS,20170615
52,"['Kritisha Mungrah', 'Loise Law Kwai']","['[MRI] ', '[REU] ']","['19-21', '21-11', '21-17']",WS,20170615
53,"['Isabelle Lai-Cheung Kit', 'Vilina Appiah']","['[REU] ', '[MRI] ']","['21-5', '21-13']",WS,20170615
54,"['Nafha Nasrullah', 'Nawsheen Bahemia']","['[MDV] ', '[MRI] ']","['21-10', '21-6']",WS,20170615
55,"['Giresh Kumar Rampersand', 'Andrew Seeruthun', 'Kamlesh Bhoyroo', 'Kailash Choolun']","['[MRI] ', '[MRI] ', '[MRI] ', '[MRI] ']","['21-15', '21-12']",MD,20170615
