,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Amrullo Bakhshullaev', 'Gunzorig Enkhjargal']","['[UZB] ', '[MGL] ']","['21-7', '21-14']",MS,20170621
1,"['Gu Mu Yeong', 'Purevsuren Enkhmandakh']","['[KOR] ', '[MGL] ']","['21-5', '21-5']",MS,20170621
2,"['Batdavaa Munkhbat', 'Alexander Kim']","['[MGL] ', '[UZB] ']","['21-12', '21-10']",MS,20170621
3,"['Cao Cuong Pham [1]', 'Gerelsukh Jargalsaikhan']","['[VIE] ', '[MGL] ']","['21-12', '21-4']",MS,20170621
4,"['Khuvituguldur Byambajav', 'Sherzod Zokhidov']","['[MGL] ', '[UZB] ']","['18-21', '21-17', '21-10']",MS,20170621
5,"['Park Sung Min', 'Amrullo Bakhshullaev']","['[KOR] ', '[UZB] ']","['21-12', '21-15']",MS,20170621
6,"['Gu Mu Yeong', 'Battur Davaasuren']","['[KOR] ', '[MGL] ']","['21-6', '21-13']",MS,20170621
7,"['Artyom Savatyugin [4]', 'Tuguldur Boldbaatar']","['[UZB] ', '[MGL] ']","['21-18', '21-13']",MS,20170621
8,"['Batdavaa Munkhbat', 'Sungwook Hyun']","['[MGL] ', '[KOR] ']","['18-21', '21-16', '21-15']",MS,20170621
9,"['Jan Frohlich [2]', 'Erdenebayar Enkhbold']","['[CZE] ', '[MGL] ']","['21-10', '21-16']",MS,20170621
10,"['Itgelbayar Galbadrakh', 'Davaasuren Jargalsaikhan']","['[MGL] ', '[MGL] ']","['21-15', '21-13']",WS,20170621
11,"['Saikhantuul Banzragch', 'Uurtsaikh Erkhembayar']","['[MGL] ', '[MGL] ']","['16-21', '21-12', '21-18']",WS,20170621
12,"['Ho Yeon Kim', 'Uuriintsolmon Sansarbaatar']","['[KOR] ', '[MGL] ']","['21-3', '21-2']",WS,20170621
13,"['Tegshzaya Choinkhor', 'Khaliun Erkhemzaya']","['[MGL] ', '[MGL] ']","['21-12', '21-14']",WS,20170621
14,"['Narantsetseg Bayarsaikhan', 'Khaliunaa Byambaa']","['[MGL] ', '[MGL] ']","['21-16', '21-8']",WS,20170621
15,"['So Yeon Han', 'Dashdondov Bulgamaa']","['[KOR] ', '[MGL] ']","['21-5', '21-8']",WS,20170621
16,"['Olzvoi Janchiv', 'Davkharbayar Dulamragchaa']","['[MGL] ', '[MGL] ']","['21-19', '21-10']",WS,20170621
17,"['Olonbayar Enkhbat', 'Erdenebayar Enkhbold', 'Tuguldur Boldbaatar', 'Gunzorig Enkhjargal']","['[MGL] ', '[MGL] ', '[MGL] ', '[MGL] ']","['21-18', '21-13']",MD,20170621
18,"['Jung Jung Young', 'Shin Hee Kwang', 'Alexander Kim', 'Sherzod Zokhidov']","['[KOR] ', '[KOR] ', '[UZB] ', '[UZB] ']","['21-12', '21-10']",MD,20170621
19,"['Olonbayar Enkhbat', 'Dashdondov Bulgamaa', 'Gunzorig Enkhjargal', 'Uurtsaikh Erkhembayar']","['[MGL] ', '[MGL] ', '[MGL] ', '[MGL] ']","['21-8', '21-12']",XD,20170621
20,"['Gerelsukh Jargalsaikhan', 'Tegshzaya Choinkhor', 'Khuvituguldur Byambajav', 'Olzvoi Janchiv']","['[MGL] ', '[MGL] ', '[MGL] ', '[MGL] ']","['12-21', '21-15', '21-14']",XD,20170621
