,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Juno Thomas', 'Ahmed Amine Ksikes']","['[LUX] ', '[MAR] ']","['21-2', '21-1']",MS - Qualification,20171109
1,"['Corentin Falh', 'Samir Smael Azizi']","['[FRA] ', '[MAR] ']","['21-2', '21-1']",MS - Qualification,20171109
2,"['Peder Søvndal', 'Omar Abdel Wahid']","['[DEN] ', '[MAR] ']","['21-3', '21-3']",MS - Qualification,20171109
3,"['Samson Gradt-Urban', 'Mehdi Erraihani']","['[FRA] ', '[MAR] ']","['21-11', '21-9']",MS - Qualification,20171109
4,"['Phillipe Charron', 'Roman Razaki']","['[CAN] ', '[BEN] ']","['21-12', '21-14']",MS - Qualification,20171109
5,"['Vincent Espen', 'Mohamed Ksikes']","['[FRA] ', '[MAR] ']","['21-3', '21-3']",MS - Qualification,20171109
6,"['Ernesto Velazquez', 'Maxime Tétreault']","['[ESP] ', '[CAN] ']","['21-17', '21-16']",MS - Qualification,20171109
7,"['Ayham Abd Eleddin', 'Imrane Bellamou']","['[JOR] ', '[MAR] ']","['21-6', '21-8']",MS - Qualification,20171109
8,"['Romain Frank', 'Adam El Mernissi']","['[FRA] ', '[MAR] ']","['21-11', '21-11']",MS - Qualification,20171109
9,"['Kari Gunnarsson [4]', 'Souhaib El *Anani']","['[ISL] ', '[MAR] ']","['21-4', '21-3']",MS - Qualification,20171109
10,"['Bilal Elharab', 'Alex Patrick Zolobe']","['[MAR] ', '[CIV] ']","['21-13', '21-12']",MS - Qualification,20171109
11,"['Miguel Rocha', 'Hugo Claerbout']","['[POR] ', '[FRA] ']","['21-5', '21-12']",MS - Qualification,20171109
12,"['Eric Jr Timmerman', 'Ahmad Bachir El Merghadi']","['[BEL] ', '[MAR] ']","['21-12', '21-8']",MS - Qualification,20171109
13,"['Rowan Scheurkogel [1]', 'Juno Thomas']","['[BEL] ', '[LUX] ']","['21-9', '11-3']",MS - Qualification,20171109
14,"['Peder Søvndal', 'Corentin Falh']","['[DEN] ', '[FRA] ']","['21-18', '21-15']",MS - Qualification,20171109
