,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Mickey Lykkegren', 'Ikmal Hussain Jaafar']","['[DEN] ', '[MAS] ']","['21-13', '21-16']",MS - Qualification,20171116
1,"['Felix Nandin', 'Tobias Krømke']","['[SWE] ', '[NOR] ']","['21-12', '21-14']",MS - Qualification,20171116
2,"['Peter Correl [11]', 'Martin Forssberg']","['[DEN] ', '[SWE] ']","['21-11', '21-7']",MS - Qualification,20171116
3,"['Oskar Westerlund', 'Karl Ødegård']","['[SWE] ', '[NOR] ']","['21-14', '21-10']",MS - Qualification,20171116
4,"['Andy Tsai [5]', 'Mitchell Maynard']","['[SWE] ', '[ENG] ']","['21-15', '21-17']",MS - Qualification,20171116
5,"['Daniel Gholiof', 'Jorgen Rosenlund']","['[SWE] ', '[NOR] ']","['21-15', '21-11']",MS - Qualification,20171116
6,"['Oskar Johansson', 'Tovannakasem Samatcha [16]']","['[SWE] ', '[THA] ']","['21-11', '21-19']",MS - Qualification,20171116
7,"['Jesper Toft', 'Talar Laa']","['[DEN] ', '[IND] ']","['21-11', '21-23', '21-16']",MS - Qualification,20171116
8,"['Elias Nicolaou [3]', 'Kristofer Darri Finnsson']","['[CYP] ', '[ISL] ']","['21-16', '21-19']",MS - Qualification,20171116
9,"['Julien Scheiwiller', 'Jesper De Waal']","['[SUI] ', '[SWE] ']","['21-17', '21-14']",MS - Qualification,20171116
10,"['Torjus Flaatten', 'Max Gotfredsen']","['[NOR] ', '[SWE] ']","['21-8', '21-8']",MS - Qualification,20171116
11,"['Joshua Eipe', 'Ole Herman Imset']","['[DEN] ', '[NOR] ']","['21-7', '21-14']",MS - Qualification,20171116
12,"['Adrian Dziolko', 'Jeppe Bruun [8]']","['[POL] ', '[DEN] ']","['21-13', '21-16']",MS - Qualification,20171116
13,"['Karel Eriksson', 'Carl Christian Møller']","['[SWE] ', '[NOR] ']","['21-14', '21-16']",MS - Qualification,20171116
14,"['Leon Seiwald [13]', 'Rik Hermans']","['[AUT] ', '[NED] ']","['21-12', '21-8']",MS - Qualification,20171116
15,"['Kevin Arokia Walter', 'Patrick Mørkøv Petersen']","['[IND] ', '[DEN] ']","['21-9', '21-8']",MS - Qualification,20171116
16,"['Alvaro Vazquez', 'Julian Edhofer']","['[ESP] ', '[GER] ']","['21-12', '21-8']",MS - Qualification,20171116
17,"['David Kim [10]', 'Christoffer Hamnes']","['[DEN] ', '[NOR] ']","['21-7', '21-6']",MS - Qualification,20171116
18,"['Emil Hasselberg', 'Alan Ostrowski']","['[SWE] ', '[POL] ']","['10-21', '21-14', '21-8']",MS - Qualification,20171116
19,"['Krzysztof Jakowczuk [6]', 'Benjamin Norden']","['[POL] ', '[NOR] ']","['21-9', '21-15']",MS - Qualification,20171116
20,"['Markus Barth', 'David Bjarni Bjornsson']","['[NOR] ', '[ISL] ']","['21-5', '21-6']",MS - Qualification,20171116
21,"['Mattias Wigardt [9]', 'Mattias Xu']","['[SWE] ', '[NOR] ']","['21-7', '21-8']",MS - Qualification,20171116
22,"['Mateusz Swierczynski', 'Nils Ihse']","['[POL] ', '[SWE] ']","['21-14', '21-13']",MS - Qualification,20171116
23,"['Joonas Korhonen [4]', 'Johannes Orri Olafsson']","['[FIN] ', '[ISL] ']","['21-8', '21-6']",MS - Qualification,20171116
24,"['Marton Szerecz', 'Patryk Kopec']","['[HUN] ', '[POL] ']","['21-3', '21-6']",MS - Qualification,20171116
25,"['Mateusz Danielak [15]', 'Quentin Filliettaz']","['[POL] ', '[SUI] ']","['16-21', '21-11', '21-9']",MS - Qualification,20171116
26,"['Karl Thor Søndergaard', 'Martin Grøtterud']","['[DEN] ', '[NOR] ']","['21-3', '21-5']",MS - Qualification,20171116
27,"['Viktor Aglinder', 'Michael Giesinger [7]']","['[SWE] ', '[AUT] ']","['22-20', '21-12']",MS - Qualification,20171116
28,"['Alex Alcala Dominguez', 'Mads Marum']","['[ESP] ', '[NOR] ']","['20-22', '21-11', '21-16']",MS - Qualification,20171116
29,"['Emil Johansson', 'Jiawen Shi']","['[SWE] ', '[NOR] ']","['21-14', '21-15']",MS - Qualification,20171116
30,"['Miguel Barbado', 'Thomas Sibbald']","['[ESP] ', '[NED] ']","['21-12', '21-15']",MS - Qualification,20171116
31,"['Rüdiger Gnedt [2]', 'Toheed Ahmad Saeed']","['[AUT] ', '[NOR] ']","['21-4', '21-11']",MS - Qualification,20171116
32,"['Johanna Magnusson', 'Liana Lencevica']","['[SWE] ', '[LAT] ']","['21-8', '21-8']",WS - Qualification,20171116
33,"['Alda Karen Jonsdottir', 'Anne Klyve']","['[ISL] ', '[NOR] ']","['21-14', '19-21', '24-22']",WS - Qualification,20171116
34,"['Malin Anderson', 'Anna Thea Madsen']","['[SWE] ', '[DEN] ']",[],WS - Qualification,20171116
35,"['Oliwia Socha', 'Bianka Bukoviczki']","['[POL] ', '[HUN] ']",[],WS - Qualification,20171116
36,"['Vera Ellingsen', 'Salisa Chayruksa']","['[NOR] ', '[SWE] ']","['21-17', '21-13']",WS - Qualification,20171116
37,"['Katrin Neudolt', 'Madeleine Persson']","['[AUT] ', '[SWE] ']","['21-16', '21-18']",WS - Qualification,20171116
38,"['Thea Kristina Johansen', 'Emelie Borgstedt']","['[NOR] ', '[SWE] ']","['17-21', '21-17', '21-10']",WS - Qualification,20171116
39,"['Marie Christensen', 'Michelle Skødstrup']","['[NOR] ', '[DEN] ']",[],WS - Qualification,20171116
40,"['Frida Lindstrom', 'Emilia Petersen Norberg']","['[SWE] ', '[NOR] ']","['21-6', '21-13']",WS - Qualification,20171116
41,"['Arna Karen Johannsdottir', 'Stine Andersen']","['[ISL] ', '[NOR] ']","['22-20', '21-11']",WS - Qualification,20171116
42,"['Nathalie Wang', 'Emma Wåland']","['[SWE] ', '[NOR] ']","['21-12', '21-17']",WS - Qualification,20171116
43,"['Torjus Flaatten', 'Peter Roenn Stensaeth', 'Viktor Aglinder [1]', 'Emil Johansson']","['[NOR] ', '[NOR] ', '[SWE] ', '[SWE] ']",[],MD - Qualification,20171116
