,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Muhammad Nuraidil Adha Azman', 'Peiy Zhean Lim', 'Muhammad Fachrikar Adma Parlindungan Man', 'Zarra Faza Azka']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['19-21', '21-18', '21-18']",XD - Qualification,20170919
1,"['Zhe Ming Nigel Yap', 'Shun Tian Lim']","['[SGP] ', '[SGP] ']","['21-8', '21-9']",MS - Qualification,20170919
2,"['Yik Fong Lim', 'Colin Hammarberg']","['[MAS] ', '[SWE] ']","['16-21', '21-12', '21-14']",MS - Qualification,20170919
3,"['Nyoman Tryadnya Arya Kurniawan [11]', 'Abhimanyu Singh']","['[INA] ', '[IND] ']","['21-12', '21-13']",MS - Qualification,20170919
4,"['Ruisheng Jethro Tan', 'Iqmal Syakirin Kamaluddin']","['[SGP] ', '[MAS] ']","['21-14', '21-14']",MS - Qualification,20170919
5,"['Sean Sze Jing Ng', 'Aneeth Kumar Repudi [5]']","['[MAS] ', '[IND] ']","['21-11', '13-21', '21-13']",MS - Qualification,20170919
6,"['James Jun Hong', 'Junsuke Kubo']","['[MAS] ', '[SGP] ']","['21-12', '20-22', '21-10']",MS - Qualification,20170919
7,"['Gatjra Piliang Fiqihila Cupu', 'Muhammad Aiman Abd Malek [12]']","['[INA] ', '[MAS] ']","['21-12', '21-16']",MS - Qualification,20170919
8,"['Thammasin Sitthikom', 'Bao Thien Vo']","['[THA] ', '[CAN] ']",[],MS - Qualification,20170919
9,"['Jia Wei Joel Koh [4]', 'Muhammad Naim Ahmad Fairuzly']","['[SGP] ', '[MAS] ']","['16-21', '21-12', '21-4']",MS - Qualification,20170919
10,"['Shahzan Shah Misfahul', 'Ameya Oak']","['[MAS] ', '[IND] ']","['21-14', '21-13']",MS - Qualification,20170919
11,"['Jia Heng Jason Teh [10]', 'Ue Tteum Jeon']","['[SGP] ', '[KOR] ']","['21-17', '21-15']",MS - Qualification,20170919
12,"['Seng Zoe Yeoh', 'Yu Sheng Po']","['[MAS] ', '[TPE] ']","['21-14', '24-22']",MS - Qualification,20170919
13,"['Muhammad Ziyad Md Tah [8]', 'Sahil Bordiya']","['[MAS] ', '[IND] ']","['21-10', '21-13']",MS - Qualification,20170919
14,"['Muhammad Syafiq A Sanusi', 'Mikael Dwi Putra']","['[MAS] ', '[INA] ']","['21-12', '21-14']",MS - Qualification,20170919
15,"['Ridzwan Rahmat [15]', 'Muhammad Imran Khan']","['[MAS] ', '[SGP] ']","['21-18', '18-21', '21-13']",MS - Qualification,20170919
16,"['Satish Naidu Jagata', 'Ahmad Mahyuddin Haji Abas']","['[IND] ', '[BRU] ']","['21-14', '21-9']",MS - Qualification,20170919
17,"['Muhammad Sufiyuddin Mohamed Shafei', 'Yihui Benjamin Lee']","['[MAS] ', '[SGP] ']","['21-18', '21-17']",MS - Qualification,20170919
18,"['Labieb Muhzafar Lakamagi', 'Thien Loc Nguyen [14]']","['[MAS] ', '[VIE] ']","['21-12', '17-21', '21-18']",MS - Qualification,20170919
19,"['Sandeep Perumalla', 'Mohamad Fairie Syah Ruslan']","['[IND] ', '[BRU] ']","['21-17', '21-12']",MS - Qualification,20170919
20,"['Muhammad Syafiq Iqbal Mohd Nadzri', 'Ming Hong Lim']","['[MAS] ', '[SGP] ']","['21-10', '21-14']",MS - Qualification,20170919
21,"['Rajat Rathore', 'Qar Siong Yap']","['[IND] ', '[MAS] ']","['21-15', '21-23', '21-11']",MS - Qualification,20170919
22,"['Wei Hong Lee [16]', 'Choong Yen Tan']","['[SGP] ', '[MAS] ']","['21-19', '21-16']",MS - Qualification,20170919
23,"['Zhiyuan Lee', 'Mohd Nazman Mohd Salleh']","['[SGP] ', '[MAS] ']","['21-9', '21-6']",MS - Qualification,20170919
24,"['Aidil Sholeh Ali Sadikin', 'Yik Shen Lim']","['[MAS] ', '[MAS] ']","['21-9', '19-21', '21-13']",MS - Qualification,20170919
25,"['Muhammad Syauqi Mohd Puzi', 'Sarim Mohamed']","['[MAS] ', '[MDV] ']","['21-14', '21-12']",MS - Qualification,20170919
26,"['Chin Yong Chian', 'Thanh Son Nguyen [13]']","['[MAS] ', '[VIE] ']","['21-18', '21-17']",MS - Qualification,20170919
27,"['Weng Soong Darrion Michae Ng', 'Ajay Meena']","['[SGP] ', '[IND] ']","['19-21', '21-18', '21-14']",MS - Qualification,20170919
28,"['Abdul Karim Hidayat', 'Mitthren Raj Veerappen [7]']","['[INA] ', '[MAS] ']","['21-14', '21-19']",MS - Qualification,20170919
29,"['Andi Fadel Muhammad', 'Hock Yu Ting']","['[INA] ', '[SGP] ']","['21-13', '21-14']",MS - Qualification,20170919
30,"['Yen Chun Chen', 'Muhammad Izzuddin Shamsul Muzli [9]']","['[TPE] ', '[MAS] ']","['21-15', '21-15']",MS - Qualification,20170919
31,"['Kok Xian Tan', 'Bharghava Reddy Sura']","['[MAS] ', '[IND] ']","['21-16', '21-15']",MS - Qualification,20170919
32,"['Faiz Rozain', 'Yi Ming Justyn Sim']","['[MAS] ', '[SGP] ']","['21-6', '21-12']",MS - Qualification,20170919
33,"['Huang Yin Hsuan', 'Xi Qing Ong']","['[TPE] ', '[SGP] ']","['21-3', '21-10']",WS - Qualification,20170919
34,"['Hsieh Yu Ying', 'Putri Ayu Desiderianti']","['[TPE] ', '[INA] ']","['19-21', '21-11', '21-18']",WS - Qualification,20170919
35,"['Vaishnavi Kaari', 'Peiy Zhean Lim']","['[IND] ', '[MAS] ']","['21-10', '21-16']",WS - Qualification,20170919
36,"['Saranya Navaratnajah', 'Wen Jun Cheah']","['[MAS] ', '[SGP] ']","['21-16', '21-8']",WS - Qualification,20170919
37,"['Ni Made Pranita Sulistya Devi', 'Meghana Anil Kulkarni']","['[INA] ', '[IND] ']","['21-8', '21-6']",WS - Qualification,20170919
38,"['Yen Chi Kuo', 'Jia Rong Sito']","['[TPE] ', '[SGP] ']","['21-15', '21-12']",WS - Qualification,20170919
39,"['Ming Hui Lim', 'Zuelaikha Idris']","['[SGP] ', '[MAS] ']","['24-22', '21-17']",WS - Qualification,20170919
40,"['Chow King Ling', 'Yi Jin Kong']","['[HKG] ', '[MAS] ']",['11-4'],WS - Qualification,20170919
