,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Satwiksairaj Rankireddy', 'Maneesha K', 'Androw Yunanto', 'Rofahadah Supriadi Putri']","['[IND] ', '[IND] ', '[INA] ', '[INA] ']","['21-9', '21-12']",XD - Qualification,20170411
1,"['Jae Hwan Kim', 'Yoo Yeon Seong', 'Nathaniel Ernestan Sulistyo', 'Zachariah Joshiano Sumanti']","['[KOR] ', '[KOR] ', '[INA] ', '[INA] ']","['21-8', '21-7']",MD - Qualification,20170411
2,"['Mohamad Arif Abdul Latif', 'Rusydina Antardayu Riodingin', 'Yang Po Han', 'Hung Shih Han']","['[MAS] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-14', '19-21', '21-11']",XD - Qualification,20170411
3,"['Yugo Kobayashi', 'Misaki Matsutomo', 'Hiski Rumengan', 'Cynthia Shara Ayunidha']","['[JPN] ', '[JPN] ', '[INA] ', '[INA] ']","['21-8', '21-8']",XD - Qualification,20170411
4,"['K. Nandagopal', 'Mahima Aggarwal', 'Afiat Yuris Wirawan', 'Nadya Melati']","['[IND] ', '[IND] ', '[INA] ', '[INA] ']","['21-13', '16-21', '21-18']",XD - Qualification,20170411
5,"['Peiy Yee, Payee Lim', 'Peiy Zhean Lim', 'Sekartaji Putri', 'Ganis Nur Rahmadani']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['16-21', '21-13', '21-12']",WD - Qualification,20170411
6,"['Nur Mohd Azriyn Ayub', 'Jagdish Singh', 'Alwi Mahardika', 'Angger Sudrajat']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-15', '21-14']",MD - Qualification,20170411
7,"['Hendra Setiawan', 'Boon Heong Tan', 'Chee Tean Tan', 'Wee Gieen Tan']","['[INA] ', '[MAS] ', '[MAS] ', '[MAS] ']","['22-24', '21-11', '21-13']",MD - Qualification,20170411
8,"['Bimo Adi Prakoso', 'Yujia Jin', 'Trikusuma Wardhana', 'Dian Fitriani']","['[SGP] ', '[SGP] ', '[INA] ', '[INA] ']","['21-15', '21-18']",XD - Qualification,20170411
9,"['Arjun M.R. [4]', 'Ramchandran Shlok', 'Altof Barriq', 'Reinard Dhanriano']","['[IND] ', '[IND] ', '[INA] ', '[INA] ']",[],MD - Qualification,20170411
10,"['Lukhi Apri Nugroho', 'Ririn Amelia', 'Guang Liang Jason Wong', 'Putri Sari Dewi Citra']","['[INA] ', '[INA] ', '[SGP] ', '[SGP] ']","['18-21', '21-14', '21-10']",XD - Qualification,20170411
