,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Kazuteru Kozai', 'Yi-Hsiang Yang']","['[JPN] ', '[TPE] ']","['21-10', '21-9']",MS - Qualification,20170329,"Osaka, Japan"
1,"['Kenya Mitsuhashi', 'Mahbub Thomi Azizan']","['[JPN] ', '[INA] ']","['21-16', '11-21', '21-18']",MS - Qualification,20170329,"Osaka, Japan"
2,"['Hikaru Minegishi', 'Huang Yu-Yu']","['[JPN] ', '[TPE] ']","['17-21', '21-19', '21-15']",MS - Qualification,20170329,"Osaka, Japan"
3,"['Koji Naito', 'Chen Wet Lim']","['[JPN] ', '[MAS] ']","['21-6', '21-6']",MS - Qualification,20170329,"Osaka, Japan"
4,"['Daisuke Omoto', 'Hung Jin-Yi']","['[JPN] ', '[TPE] ']","['21-6', '21-6']",MS - Qualification,20170329,"Osaka, Japan"
5,"['Minoru Koga', 'Chun Chung Hung']","['[JPN] ', '[TPE] ']","['21-18', '21-9']",MS - Qualification,20170329,"Osaka, Japan"
6,"['Hiroki Midorikawa', 'Timothy Chiu']","['[JPN] ', '[CAN] ']","['21-10', '21-8']",MS - Qualification,20170329,"Osaka, Japan"
7,"['Seung Jae Seo', 'Fahmi Mubarok']","['[KOR] ', '[INA] ']","['21-14', '21-14']",MS - Qualification,20170329,"Osaka, Japan"
8,"['Naoki Yamazawa', 'Korakrit Laotrakul']","['[JPN] ', '[THA] ']","['21-19', '21-18']",MS - Qualification,20170329,"Osaka, Japan"
9,"['Takuma Obayashi', 'Seung Hoon Woo']","['[JPN] ', '[KOR] ']","['25-23', '21-15']",MS - Qualification,20170329,"Osaka, Japan"
10,"['Hiroki Nakayama', 'Batdavaa Munkhbat']","['[JPN] ', '[MGL] ']","['21-15', '21-9']",MS - Qualification,20170329,"Osaka, Japan"
11,"['Chi-Hung Liao', 'Yong Sheng Lin', 'Ryoma Muramoto', 'Shun Nikko']","['[TPE] ', '[TPE] ', '[JPN] ', '[JPN] ']","['21-11', '21-13']",MD - Qualification,20170329,"Osaka, Japan"
12,"['Yujiro Nishikawa', 'Takumi Nomura', 'Noboru Miura', 'Tadayuki Urai']","['[JPN] ', '[JPN] ', '[JPN] ', '[JPN] ']","['21-18', '14-21', '21-16']",MD - Qualification,20170329,"Osaka, Japan"
13,"['Kazuaki Oshima', 'Yuta Yamasaki', 'Hikaru Minegishi', 'Rikuto Tomokane']","['[JPN] ', '[JPN] ', '[JPN] ', '[JPN] ']","['21-18', '21-14']",MD - Qualification,20170329,"Osaka, Japan"
14,"['Katsunori Ito', 'Akira Kobayashi', 'Hung Ju Chien', 'Hsu Chen-Yang']","['[JPN] ', '[JPN] ', '[TPE] ', '[TPE] ']","['21-18', '21-12']",MD - Qualification,20170329,"Osaka, Japan"
15,"['Sho Kawabata', 'Shuhei Ozeki', 'Yong Yuan Haw', 'Chen Wet Lim']","['[JPN] ', '[JPN] ', '[MAS] ', '[MAS] ']","['21-12', '21-12']",MD - Qualification,20170329,"Osaka, Japan"
16,"['Kazuteru Kozai', 'Kantawat Leelavechabutr [1]']","['[JPN] ', '[THA] ']","['21-15', '21-7']",MS - Qualification,20170329,"Osaka, Japan"
17,"['Kenya Mitsuhashi', 'Wang Yuehang']","['[JPN] ', '[ENG] ']","['21-15', '21-18']",MS - Qualification,20170329,"Osaka, Japan"
18,"['Seung Jae Seo', 'Ryotaro Maruo [4]']","['[KOR] ', '[JPN] ']","['21-13', '26-24']",MS - Qualification,20170329,"Osaka, Japan"
19,"['Daisuke Omoto', 'Hiroki Nakayama']","['[JPN] ', '[JPN] ']","['21-17', '21-17']",MS - Qualification,20170329,"Osaka, Japan"
