,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Sukrit Maunglai', 'Natchpapha Chatupornkarnchana', 'Piyapat Wannalee', 'Thanapim Kaweenuntavong']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-17', '21-10']",XD - Qualification,20170207,"Bangkok, Thailand"
1,"['Kittithat Cheiklinthes', 'Thunyathorn Thamnopakao', 'Tanawat Topattanakul', 'Supisara Paewsampran']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['14-21', '21-19', '21-18']",XD - Qualification,20170207,"Bangkok, Thailand"
2,"['Weeraphat Phakjarung [4]', 'Natthakorn Jaiareree', 'Tanakrit Chokthanakunchai', 'Walaiphan Patimon']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-11', '21-13']",XD - Qualification,20170207,"Bangkok, Thailand"
3,"['Sutichon Pol-Gul', 'Sararat Chueboca', 'Ath Chiengwong', 'Suchanya Kanchanasaka']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['18-21', '21-9', '21-17']",XD - Qualification,20170207,"Bangkok, Thailand"
4,"['Warit Sarapat', 'Fareeda Loog', 'Kumpon Srihong', 'Suphapich Silprakob']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['24-22', '21-18']",XD - Qualification,20170207,"Bangkok, Thailand"
5,"['Mek Narongrit', 'Supanida Katethong', 'Ramadhani Akbar Gusti', 'Rofahadah Supriadi Putri']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-9', '21-11']",XD - Qualification,20170207,"Bangkok, Thailand"
6,"['Natchanon Tulamok', 'Sanicha Chumnibannakarn', 'Kaninpong Yokard', 'Nootprawee Promdej']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-14', '21-18']",XD - Qualification,20170207,"Bangkok, Thailand"
7,"['Pongsakorn Thongkham', 'Kornkamon Sukklad', 'Ragawa Tamasuta Ayodya', 'Aghisna Fathkul Laili']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-13', '21-9']",XD - Qualification,20170207,"Bangkok, Thailand"
8,"['Pattaranan Chamnaktan [2]', 'Kittipak Dubthuk', 'Maytinee Kunaanuvit', 'Pichamon Phatcharaphisutsin']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['16-21', '21-8', '21-11']",WD - Qualification,20170207,"Bangkok, Thailand"
9,"['Jericho See Dartagnan', 'Androw Yunanto', 'Supakit Jandara', 'Peeranut Sangsomporn']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['21-18', '21-17']",MD - Qualification,20170207,"Bangkok, Thailand"
10,"['Napatarawong Sawasdivanichakorn', 'Kunanon Promchienrut']","['[THA] ', '[THA] ']","['21-17', '21-13']",MS - Qualification,20170207,"Bangkok, Thailand"
11,"['Muhammad Naim Ahmad Fairuzly', 'Setthawut Jiantanet']","['[MAS] ', '[THA] ']","['21-14', '21-9']",MS - Qualification,20170207,"Bangkok, Thailand"
12,"['Naoki Yamazawa', 'Peeranat Boontun']","['[JPN] ', '[THA] ']","['21-18', '21-19']",MS - Qualification,20170207,"Bangkok, Thailand"
13,"['Erina Honda', 'Nozomi Shimizu', 'Benyapa Aimsaard', 'Nuntakarn Aimsaard']","['[JPN] ', '[JPN] ', '[THA] ', '[THA] ']","['18-21', '21-16', '21-11']",WD - Qualification,20170207,"Bangkok, Thailand"
14,"['Sukrit Maunglai', 'Natdanai Uakoolwarawat', 'Phakorn Chotphinit', 'Teerapat Keawan']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-6', '21-13']",MD - Qualification,20170207,"Bangkok, Thailand"
15,"['Supisara Paewsampran', 'Kwanchanok Sudjaipraparat', 'Pitchyapa Phuyadao', 'Nichapat Traiyasut']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-13', '21-13']",WD - Qualification,20170207,"Bangkok, Thailand"
16,"['Chaloempon Charoenkitamorn', 'Sutichon Pol-Gul', 'Woratat Jianpipatgun', 'Apichasit Teerawiwat']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-12', '21-7']",MD - Qualification,20170207,"Bangkok, Thailand"
17,"['Mahiro Kaneko', 'Yunosuke Kubota', 'Warit Sarapat', 'Panachai Worasaktayanan']","['[JPN] ', '[JPN] ', '[THA] ', '[THA] ']","['21-14', '21-13']",MD - Qualification,20170207,"Bangkok, Thailand"
18,"['Charongrat Nobsamrong', 'Kumpon Srihong', 'Ramadhani Akbar Gusti', 'Hendra Tandjaya']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-12', '19-21', '21-16']",MD - Qualification,20170207,"Bangkok, Thailand"
19,"['Thaptimdong Arkornnit', 'Weeraphat Phakjarung', 'Nathaniel Ernestan Sulistyo', 'Jaspar Woon Chai Yu']","['[THA] ', '[THA] ', '[INA] ', '[BRU] ']","['20-22', '21-16', '21-14']",MD - Qualification,20170207,"Bangkok, Thailand"
20,"['Tanawat Topattanakul', 'Natchanon Tulamok', 'Gabriel Sambouw [4]', 'Gusti Ahmad Ali Saputra']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-6', '21-18']",MD - Qualification,20170207,"Bangkok, Thailand"
21,"['Watchara Buranakuea [3]', 'Pongsakorn Thongkham', 'M Sulton Al Hakim', 'Ragawa Tamasuta Ayodya']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-18', '21-18']",MD - Qualification,20170207,"Bangkok, Thailand"
22,"['Androw Yunanto', 'Puchit Anothaisatporn']","['[INA] ', '[THA] ']","['21-11', '21-15']",MS - Qualification,20170207,"Bangkok, Thailand"
23,"['Ruttanapak Oupthong', 'Jericho See Dartagnan']","['[THA] ', '[INA] ']","['21-7', '21-8']",MS - Qualification,20170207,"Bangkok, Thailand"
24,"['Kunjira Khongdee [2]', 'Atitaya Povanon']","['[THA] ', '[THA] ']","['21-16', '21-16']",WS - Qualification,20170207,"Bangkok, Thailand"
25,"['Krittaporn Jiantanet', 'Azisah Syafitri Nur [4]']","['[THA] ', '[INA] ']","['21-13', '21-13']",WS - Qualification,20170207,"Bangkok, Thailand"
26,"['Supakit Jandara', 'Anthony Ratchanon Jongjuckkrapun']","['[THA] ', '[THA] ']","['21-16', '21-8']",MS - Qualification,20170207,"Bangkok, Thailand"
27,"['Phakorn Chotphinit', 'Skypet Saingthong']","['[THA] ', '[THA] ']","['20-22', '21-15', '21-16']",MS - Qualification,20170207,"Bangkok, Thailand"
28,"['Teerapat Keawan', 'Tirawat Intajak']","['[THA] ', '[THA] ']","['21-12', '21-10']",MS - Qualification,20170207,"Bangkok, Thailand"
29,"['Thamolwan Poopradubsil', 'Nuntakarn Aimsaard [1]']","['[THA] ', '[THA] ']","['22-20', '21-19']",WS - Qualification,20170207,"Bangkok, Thailand"
30,"['Banthita Khamsaitong', 'Benyapa Aimsaard']","['[THA] ', '[THA] ']","['21-13', '21-13']",WS - Qualification,20170207,"Bangkok, Thailand"
31,"['Yee Yap', 'Nootprawee Promdej']","['[MAS] ', '[THA] ']","['21-19', '21-9']",WS - Qualification,20170207,"Bangkok, Thailand"
32,"['Natsumi Shimoda', 'Thunyathorn Thamnopakao']","['[JPN] ', '[THA] ']","['21-15', '21-15']",WS - Qualification,20170207,"Bangkok, Thailand"
33,"['Supachai Chaisin', 'Ramadhani Akbar Gusti']","['[THA] ', '[INA] ']","['21-8', '21-12']",MS - Qualification,20170207,"Bangkok, Thailand"
34,"['Nattcha Chatputtarin [3]', 'Sararat Chueboca']","['[THA] ', '[THA] ']","['23-21', '21-13']",WS - Qualification,20170207,"Bangkok, Thailand"
35,"['Suphapich Silprakob', 'Nozomi Shimizu']","['[THA] ', '[JPN] ']","['21-16', '21-14']",WS - Qualification,20170207,"Bangkok, Thailand"
36,"['M Sulton Al Hakim', 'Apinop Arayacharoen']","['[INA] ', '[THA] ']","['21-14', '21-17']",MS - Qualification,20170207,"Bangkok, Thailand"
37,"['Napatarawong Sawasdivanichakorn', 'Muhammad Naim Ahmad Fairuzly']","['[THA] ', '[MAS] ']","['18-21', '21-8', '21-16']",MS - Qualification,20170207,"Bangkok, Thailand"
38,"['Ruttanapak Oupthong', 'Phakorn Chotphinit']","['[THA] ', '[THA] ']","['21-12', '21-12']",MS - Qualification,20170207,"Bangkok, Thailand"
39,"['Androw Yunanto', 'Thanapat Rungrattanapon']","['[INA] ', '[THA] ']","['21-16', '21-13']",MS - Qualification,20170207,"Bangkok, Thailand"
40,"['Naoki Yamazawa', 'Vichayapong Kanjanakeereewong']","['[JPN] ', '[THA] ']","['21-10', '21-10']",MS - Qualification,20170207,"Bangkok, Thailand"
41,"['Sukrit Maunglai', 'Natchpapha Chatupornkarnchana', 'Kittithat Cheiklinthes', 'Thunyathorn Thamnopakao']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-13', '20-22', '21-17']",XD - Qualification,20170207,"Bangkok, Thailand"
42,"['Mek Narongrit', 'Supanida Katethong', 'Weeraphat Phakjarung [4]', 'Natthakorn Jaiareree']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-18', '21-13']",XD - Qualification,20170207,"Bangkok, Thailand"
43,"['Pongsakorn Thongkham', 'Kornkamon Sukklad', 'Sutichon Pol-Gul', 'Sararat Chueboca']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['23-21', '21-19']",XD - Qualification,20170207,"Bangkok, Thailand"
44,"['Warit Sarapat', 'Fareeda Loog', 'Natchanon Tulamok', 'Sanicha Chumnibannakarn']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-13', '21-18']",XD - Qualification,20170207,"Bangkok, Thailand"
45,"['Teerapat Keawan', 'Praranat Praputtham']","['[THA] ', '[THA] ']","['13-21', '21-17', '21-11']",MS - Qualification,20170207,"Bangkok, Thailand"
46,"['Supakit Jandara', 'Krisda Kolum']","['[THA] ', '[THA] ']","['21-19', '21-17']",MS - Qualification,20170207,"Bangkok, Thailand"
47,"['Thamolwan Poopradubsil', 'Banthita Khamsaitong']","['[THA] ', '[THA] ']","['21-8', '21-18']",WS - Qualification,20170207,"Bangkok, Thailand"
48,"['Tanawat Topattanakul', 'Natchanon Tulamok', 'Charongrat Nobsamrong', 'Kumpon Srihong']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['21-15', '21-16']",MD - Qualification,20170207,"Bangkok, Thailand"
49,"['Watchara Buranakuea [3]', 'Pongsakorn Thongkham', 'Thaptimdong Arkornnit', 'Weeraphat Phakjarung']","['[THA] ', '[THA] ', '[THA] ', '[THA] ']","['24-22', '21-19']",MD - Qualification,20170207,"Bangkok, Thailand"
50,"['Yee Yap', 'Nattcha Chatputtarin [3]']","['[MAS] ', '[THA] ']","['21-10', '19-21', '21-10']",WS - Qualification,20170207,"Bangkok, Thailand"
51,"['Chaloempon Charoenkitamorn', 'Sutichon Pol-Gul', 'Mahiro Kaneko', 'Yunosuke Kubota']","['[THA] ', '[THA] ', '[JPN] ', '[JPN] ']","['25-27', '21-15', '21-19']",MD - Qualification,20170207,"Bangkok, Thailand"
52,"['Suphapich Silprakob', 'Kunjira Khongdee [2]']","['[THA] ', '[THA] ']","['22-20', '21-14']",WS - Qualification,20170207,"Bangkok, Thailand"
53,"['Natsumi Shimoda', 'Krittaporn Jiantanet']","['[JPN] ', '[THA] ']","['21-14', '21-7']",WS - Qualification,20170207,"Bangkok, Thailand"
54,"['Sukrit Maunglai', 'Natdanai Uakoolwarawat', 'Jericho See Dartagnan', 'Androw Yunanto']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-13', '22-20']",MD - Qualification,20170207,"Bangkok, Thailand"
55,"['Kittithat Cheiklinthes', 'M Sulton Al Hakim']","['[THA] ', '[INA] ']","['21-14', '21-18']",MS - Qualification,20170207,"Bangkok, Thailand"
56,"['Supachai Chaisin', 'Aekyuth Paijit']","['[THA] ', '[THA] ']","['21-12', '17-21', '21-19']",MS - Qualification,20170207,"Bangkok, Thailand"
57,"['Tanongsak Saensomboonsuk [1]', 'Andre Marteen']","['[THA] ', '[INA] ']","['21-15', '21-17']",MS,20170207,"Bangkok, Thailand"
58,"['Kunlavut Vitidsarn', 'Hemanth M.Gowda']","['[THA] ', '[IND] ']","['21-9', '21-7']",MS,20170207,"Bangkok, Thailand"
59,"['Zii Jia Lee', 'Kachain Buarung']","['[MAS] ', '[THA] ']","['21-15', '21-6']",MS,20170207,"Bangkok, Thailand"
60,"['Kittipong Imnark', 'Chaiyasit Sukasem']","['[THA] ', '[THA] ']","['21-11', '24-22']",MS,20170207,"Bangkok, Thailand"
61,"['Pratul Joshi', 'Pachaarapol Nipornram']","['[IND] ', '[THA] ']","['21-12', '21-10']",MS,20170207,"Bangkok, Thailand"
62,"['Ihsan Maulana Mustofa [9]', 'Noppanai Singrueang']","['[INA] ', '[THA] ']","['21-11', '21-3']",MS,20170207,"Bangkok, Thailand"
63,"['Fikri Ihsandi Hadmadi', 'Phanuwat Srimanta']","['[INA] ', '[THA] ']","['22-20', '21-15']",MS,20170207,"Bangkok, Thailand"
64,"['Kantaphon Wangcharoen', 'Setthanan Piyawatcharavijit']","['[THA] ', '[THA] ']","['21-5', '21-11']",MS,20170207,"Bangkok, Thailand"
65,"['Kantawat Leelavechabutr', 'Yulianto Ilham Sri']","['[THA] ', '[INA] ']","['21-12', '21-11']",MS,20170207,"Bangkok, Thailand"
66,"['Firman Abdul Kholik [16]', 'Suppanyu Avihingsanon']","['[INA] ', '[THA] ']","['21-13', '19-21', '23-21']",MS,20170207,"Bangkok, Thailand"
67,"['Evert Sukamta', 'Tawan Huansuriya']","['[INA] ', '[THA] ']","['21-6', '21-10']",MS,20170207,"Bangkok, Thailand"
68,"['Koki Watanabe', 'Arun Kumar Ashok Kumar']","['[JPN] ', '[IND] ']","['18-21', '21-8', '21-5']",MS,20170207,"Bangkok, Thailand"
69,"['Muhammad Bayu Pangisthu', 'Saran Jamsri']","['[INA] ', '[THA] ']","['21-16', '21-16']",MS,20170207,"Bangkok, Thailand"
70,"['Tommy Sugiarto [3]', 'Satheishtharan R.']","['[INA] ', '[MAS] ']","['21-19', '21-15']",MS,20170207,"Bangkok, Thailand"
71,"['Aditya Joshi', 'Weeraphat Phakjarung']","['[IND] ', '[THA] ']","['21-12', '21-19']",MS,20170207,"Bangkok, Thailand"
72,"['Chayanin Mekmusik', 'Nathaniel Ernestan Sulistyo']","['[THA] ', '[INA] ']","['15-21', '21-19', '21-5']",MS,20170207,"Bangkok, Thailand"
73,"['Mek Narongrit', 'Vi Hen Tan']","['[THA] ', '[MAS] ']","['11-21', '21-17', '21-16']",MS,20170207,"Bangkok, Thailand"
74,"['Karnphop Atthaviroj', 'Peeranut Sangsomporn']","['[THA] ', '[THA] ']","['21-17', '21-17']",MS,20170207,"Bangkok, Thailand"
75,"['Zhao Junpeng [13]', 'Kandis Wanaroon']","['[CHN] ', '[THA] ']","['21-15', '21-15']",MS,20170207,"Bangkok, Thailand"
76,"['Pannawit Thongnuam', 'Yan Tuck Chan']","['[THA] ', '[USA] ']","['21-12', '21-11']",MS,20170207,"Bangkok, Thailand"
77,"['Anthony Sinisuka Ginting [10]', 'Yodsakorn Nualnooplong']","['[INA] ', '[THA] ']","['21-13', '21-7']",MS,20170207,"Bangkok, Thailand"
78,"['Huang Yuxiang [2]', 'Adulrach Namkul']","['[CHN] ', '[THA] ']","['21-17', '21-8']",MS,20170207,"Bangkok, Thailand"
79,"['Hsu Jen Hao [7]', 'Korakrit Laotrakul']","['[TPE] ', '[THA] ']","['21-14', '20-22', '21-14']",MS,20170207,"Bangkok, Thailand"
80,"['Saputra Vicky Angga', 'Abhishek Yelegar']","['[INA] ', '[IND] ']","['21-8', '21-14']",MS,20170207,"Bangkok, Thailand"
81,"['Ruttanapak Oupthong', 'Eetu Heino']","['[THA] ', '[FIN] ']","['21-17', '14-21', '21-13']",MS,20170207,"Bangkok, Thailand"
82,"['Androw Yunanto', 'Sourabh Varma [11]']","['[INA] ', '[IND] ']",[],MS,20170207,"Bangkok, Thailand"
83,"['Khosit Phetpradab [15]', 'Kittithat Cheiklinthes']","['[THA] ', '[THA] ']","['21-4', '21-13']",MS,20170207,"Bangkok, Thailand"
84,"['Kaninpong Yokard', 'Supakit Jandara']","['[THA] ', '[THA] ']","['21-15', '21-12']",MS,20170207,"Bangkok, Thailand"
85,"['Jonatan Christie [4]', 'Naoki Yamazawa']","['[INA] ', '[JPN] ']","['21-12', '21-13']",MS,20170207,"Bangkok, Thailand"
86,"['Teerapat Keawan', 'Sameer Verma [8]']","['[THA] ', '[IND] ']",[],MS,20170207,"Bangkok, Thailand"
87,"['Henrikho Kho Wibowo', 'Supachai Chaisin']","['[INA] ', '[THA] ']","['21-7', '21-10']",MS,20170207,"Bangkok, Thailand"
88,"['Jaspar Woon Chai Yu', 'Napatarawong Sawasdivanichakorn']","['[BRU] ', '[THA] ']","['21-14', '21-16']",MS,20170207,"Bangkok, Thailand"
89,"['Natchpapha Chatupornkarnchana', 'Sanicha Chumnibannakarn', 'Su Yu Chen', 'Wan Yi Tang']","['[THA] ', '[THA] ', '[TPE] ', '[TPE] ']","['20-22', '21-18', '21-14']",WD,20170207,"Bangkok, Thailand"
90,"['Chaloempon Charoenkitamorn', 'Chasinee Korepap', 'Jericho See Dartagnan', 'Ade Magnifiro Khasanah']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-12', '21-7']",XD,20170207,"Bangkok, Thailand"
91,"['Greysia Polii [6]', 'Rosyita Eka Putri Sari', 'Chaladchalam Chayanit', 'Phataimas Muenwong']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['21-14', '23-21']",WD,20170207,"Bangkok, Thailand"
92,"['Afiat Yuris Wirawan', 'Nadya Melati', 'Hendra Tandjaya', 'Cynthia Shara Ayunidha']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-10', '21-11']",XD,20170207,"Bangkok, Thailand"
93,"['Zhang Nan [5]', 'Li Yinhui', 'Panachai Worasaktayanan', 'Ruethaichanok Laisuan']","['[CHN] ', '[CHN] ', '[THA] ', '[THA] ']","['21-14', '21-13']",XD,20170207,"Bangkok, Thailand"
94,"['Viriyangkura Tanupat', 'Alisa Sapniti', 'Yohanes Rendy Sugiarto', 'Dian Fitriani']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-18', '15-21', '21-16']",XD,20170207,"Bangkok, Thailand"
95,"['Supak Jomkoh', 'Puttita Supajirakul', 'Didit Juang', 'Keshya Nurvita Hanadia']","['[THA] ', '[THA] ', '[INA] ', '[INA] ']","['21-11', '21-8']",XD,20170207,"Bangkok, Thailand"
96,"['Anggia Shitta Awanda [4]', 'Mahadewi Istirani Ni Ketut', 'Xiao Min Lin', 'Wu Fang Chien']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-18', '18-21', '21-12']",WD,20170207,"Bangkok, Thailand"
97,"['Ronald Alexander [3]', 'Melati Daeva Oktavianti', 'Tinn Isriyanet', 'Pacharapun Chochuwong']","['[INA] ', '[INA] ', '[THA] ', '[THA] ']","['21-18', '21-19']",XD,20170207,"Bangkok, Thailand"
