,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Marina Dremina', 'Inga Budarina']","['[RUS] ', '[RUS] ']","['12-10', '11-7', '11-5']",WS - Qualification,20170718,"Vladivostok, Russia"
1,"['Vitaliya Chigintseva', 'Ekaterina Khmelj']","['[RUS] ', '[RUS] ']","['11-8', '11-7', '3-11', '11-9']",WS - Qualification,20170718,"Vladivostok, Russia"
2,"['Minami Kawashima', 'Alisa Korzhinskaia']","['[JPN] ', '[RUS] ']","['11-1', '11-1', '11-1']",WS - Qualification,20170718,"Vladivostok, Russia"
3,"['Viktoriia Vorobeva', 'Alina Romanko [1]']","['[RUS] ', '[RUS] ']",[],WS - Qualification,20170718,"Vladivostok, Russia"
4,"['Ekaterina Nesterenko', 'Marina Dremina']","['[RUS] ', '[RUS] ']","['11-8', '11-9', '11-13', '11-6']",WS - Qualification,20170718,"Vladivostok, Russia"
5,"['Polina Makkoveeva', 'Vitaliya Chigintseva']","['[RUS] ', '[RUS] ']","['13-11', '11-6', '11-13', '11-4']",WS - Qualification,20170718,"Vladivostok, Russia"
6,"['Minami Kawashima', 'Anastasiia Onasenko']","['[JPN] ', '[RUS] ']","['11-4', '11-0', '11-2']",WS - Qualification,20170718,"Vladivostok, Russia"
7,"['Hin Shun Wong', 'Kirill Timofeev']","['[ENG] ', '[RUS] ']","['11-5', '11-2', '11-2']",MS,20170718,"Vladivostok, Russia"
8,"['Orkhan Galandarov', 'Anton Derbenev']","['[AZE] ', '[RUS] ']","['11-6', '11-2', '11-6']",MS,20170718,"Vladivostok, Russia"
9,"['Siddharath Thakur', 'Anton Kokarev']","['[IND] ', '[RUS] ']","['11-1', '11-7', '11-8']",MS,20170718,"Vladivostok, Russia"
10,"['Siril Verma', 'Andrey Parakhodin']","['[IND] ', '[RUS] ']","['14-12', '11-4', '11-3']",MS,20170718,"Vladivostok, Russia"
11,"['Aditya Joshi', 'Alexey Panov']","['[IND] ', '[RUS] ']","['11-0', '11-0', '11-5']",MS,20170718,"Vladivostok, Russia"
12,"['Haruki Fukuda', 'Alexander Butovetstkiy']","['[JPN] ', '[RUS] ']","['11-7', '11-6', '11-4']",MS,20170718,"Vladivostok, Russia"
13,"['Kentaro Hoshino', 'Vladimir Shipilenko']","['[JPN] ', '[RUS] ']","['11-4', '11-5', '11-6']",MS,20170718,"Vladivostok, Russia"
14,"['Wang Yuehang', 'Harshit Aggarwal']","['[ENG] ', '[IND] ']","['11-9', '8-11', '7-11', '11-7', '11-2']",MS,20170718,"Vladivostok, Russia"
15,"['Rahul Yadav Chittaboina', 'Koji Naito']","['[IND] ', '[JPN] ']","['11-5', '11-8', '11-5']",MS,20170718,"Vladivostok, Russia"
16,"['Lim Chi Wing', 'Pavel Kotsarenko']","['[MAS] ', '[RUS] ']","['11-4', '11-4', '11-4']",MS,20170718,"Vladivostok, Russia"
17,"['Heng Lin Ngan', 'Amir Khamidulin']","['[ENG] ', '[RUS] ']","['6-11', '10-12', '11-7', '11-8', '11-6']",MS,20170718,"Vladivostok, Russia"
18,"['Alexandr Kozyrev', 'Kanan Rzayev']","['[RUS] ', '[AZE] ']","['11-7', '7-11', '11-8', '11-8']",MS,20170718,"Vladivostok, Russia"
19,"['Artem Pochtarov', 'Olga Arkhangelskaya', 'Anton Derbenev', 'Vitaliya Chigintseva']","['[UKR] ', '[RUS] ', '[RUS] ', '[RUS] ']","['11-3', '11-1', '11-2']",XD,20170718,"Vladivostok, Russia"
20,"['Vladimir Malkov', 'Julia Zapolskaya', 'Yuriy Ismogilov', 'Sofia Tsirulnikova']","['[RUS] ', '[RUS] ', '[RUS] ', '[RUS] ']","['8-11', '11-7', '11-4', '11-2']",XD,20170718,"Vladivostok, Russia"
21,"['Andrey Parakhodin', 'Natalia Rogova', 'Artyom Savatyugin', 'Olga Ivashchenko']","['[RUS] ', '[RUS] ', '[UZB] ', '[RUS] ']","['11-7', '11-6', '11-6']",XD,20170718,"Vladivostok, Russia"
22,"['Rodion Kargaev', 'Kristina Vyrvich', 'Orkhan Galandarov', 'Zulfiyya Huseynova']","['[RUS] ', '[RUS] ', '[AZE] ', '[AZE] ']","['11-4', '11-5', '11-6']",XD,20170718,"Vladivostok, Russia"
23,"['Keiichiro Matsui', 'Akane Araki', 'Alexey Panov', 'Polina Makkoveeva']","['[JPN] ', '[JPN] ', '[RUS] ', '[RUS] ']","['11-3', '11-4', '11-5']",XD,20170718,"Vladivostok, Russia"
24,"['Vitalij Durkin', 'Nina Vislova', 'Vladimir Nikulov', 'Ekaterina Kut']","['[RUS] ', '[RUS] ', '[RUS] ', '[RUS] ']","['11-2', '11-8', '11-7']",XD,20170718,"Vladivostok, Russia"
25,"['Vladimir Ivanov', 'Ekaterina Bolotova', 'Masato Takano', 'Aoi Matsuda']","['[RUS] ', '[RUS] ', '[JPN] ', '[JPN] ']","['11-9', '11-9', '11-6']",XD,20170718,"Vladivostok, Russia"
26,"['Saurabh Sharma', 'Anoushka Parikh', 'Alexander Butovetstkiy', 'Anastasia Nazarchuk']","['[IND] ', '[IND] ', '[RUS] ', '[RUS] ']","['11-8', '11-6', '11-7']",XD,20170718,"Vladivostok, Russia"
27,"['Artem Serpionov', 'Viktoriia Vorobeva', 'Kanan Rzayev', 'Adila Mehdiyeva']","['[RUS] ', '[RUS] ', '[AZE] ', '[AZE] ']","['11-2', '11-2', '7-11', '11-7']",XD,20170718,"Vladivostok, Russia"
28,"['Chan Peng Soon', 'Cheah Yee See', 'Pavel Kotsarenko', 'Tatjana Bibik']","['[MAS] ', '[MAS] ', '[RUS] ', '[RUS] ']","['11-7', '11-7', '11-9']",XD,20170718,"Vladivostok, Russia"
29,"['Soniia Cheah [1]', 'Alina Romanko']","['[MAS] ', '[RUS] ']","['11-3', '11-2', '11-2']",WS,20170718,"Vladivostok, Russia"
30,"['Anura Prabhudesai', 'Anastasiia Semenova']","['[IND] ', '[RUS] ']","['11-8', '11-5', '11-6']",WS,20170718,"Vladivostok, Russia"
31,"['Shiori Saito [5]', 'Mariya Malygina']","['[JPN] ', '[RUS] ']","['11-6', '11-2', '11-4']",WS,20170718,"Vladivostok, Russia"
32,"['Natalia Perminova [3]', 'Yaelle Hoyaux']","['[RUS] ', '[FRA] ']","['11-8', '11-7', '11-8']",WS,20170718,"Vladivostok, Russia"
33,"['Shikha Gautam', 'Ekaterina Kut']","['[IND] ', '[RUS] ']","['11-6', '11-5', '9-11', '11-5']",WS,20170718,"Vladivostok, Russia"
34,"['Minami Kawashima', 'Julia Zapolskaya']","['[JPN] ', '[RUS] ']","['11-2', '11-1', '11-2']",WS,20170718,"Vladivostok, Russia"
35,"['Vrushali Gummadi', 'Ksenia Evgenova [8]']","['[IND] ', '[RUS] ']","['11-7', '11-2', '11-5']",WS,20170718,"Vladivostok, Russia"
36,"['Elizaveta Pyatina', 'Ekaterina Nesterenko']","['[RUS] ', '[RUS] ']","['11-8', '11-1', '11-6']",WS,20170718,"Vladivostok, Russia"
37,"['Rasika Raje [6]', 'Sofiia Doroshenko']","['[IND] ', '[RUS] ']","['11-7', '11-5', '11-3']",WS,20170718,"Vladivostok, Russia"
38,"['Natsuki Nidaira [4]', 'Olesia Kister']","['[JPN] ', '[RUS] ']","['11-4', '11-5', '11-6']",WS,20170718,"Vladivostok, Russia"
39,"['Viktoriia Vorobeva', 'Daria Dzhedzhla']","['[RUS] ', '[RUS] ']","['11-1', '15-14', '11-6']",WS,20170718,"Vladivostok, Russia"
40,"['Daria Radchenko', 'Polina Makkoveeva']","['[RUS] ', '[RUS] ']","['8-11', '10-12', '11-8', '11-7', '11-7']",WS,20170718,"Vladivostok, Russia"
41,"['Olga Arkhangelskaya', 'Marie Batomene']","['[RUS] ', '[FRA] ']","['8-11', '11-6', '7-11', '11-3', '11-9']",WS,20170718,"Vladivostok, Russia"
42,"['Victoria Slobodyanyuk [7]', 'Zulfiyya Huseynova']","['[RUS] ', '[AZE] ']","['11-1', '11-4', '11-1']",WS,20170718,"Vladivostok, Russia"
43,"['Evgeniya Kosetskaya [2]', 'Anastasia Redkina']","['[RUS] ', '[RUS] ']","['11-4', '11-7', '11-7']",WS,20170718,"Vladivostok, Russia"
44,"['Anastasiia Sharapova', 'Adila Mehdiyeva']","['[RUS] ', '[AZE] ']","['11-4', '11-4', '11-4']",WS,20170718,"Vladivostok, Russia"
