,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Chan Alan Yun Lung', 'Soomi Lina Lee', 'Christopher Steeghs', 'Ella Smith']","['[NZL] ', '[NZL] ', '[NZL] ', '[NZL] ']","['21-10', '21-15']",XD - Qualification,20170801
1,"['Abhinav Manota', 'Justine Villegas', 'Toby Wong [4]', 'Ruwindi Serasinghe']","['[NZL] ', '[NZL] ', '[AUS] ', '[AUS] ']","['18-21', '21-10', '21-18']",XD - Qualification,20170801
2,"['Riky Widianto', 'Richi Puspita Dili', 'Evan Wong', 'Jacqueline Yu']","['[INA] ', '[INA] ', '[NZL] ', '[NZL] ']","['21-8', '21-3']",XD - Qualification,20170801
3,"['Jason Seto', 'Rebecca Hayley Fong', 'Ryan Tong', 'Janice Jiang']","['[NZL] ', '[NZL] ', '[NZL] ', '[NZL] ']","['21-16', '21-18']",XD - Qualification,20170801
4,"['Valens Sulaiman', 'Fransisca Angelica Rahardja', 'Chee Foong Lim', 'Kelly Stern']","['[NZL] ', '[INA] ', '[NZL] ', '[NZL] ']","['21-7', '21-14']",XD - Qualification,20170801
5,"['Maika Phillips', 'Anona Pak', 'Thomas Ellis', 'Xie Yongshi']","['[NZL] ', '[NZL] ', '[NZL] ', '[NZL] ']","['21-12', '21-15']",XD - Qualification,20170801
6,"['Komandani Maytri Sugiarto', 'Khaeriah Rosmini', 'Oscar Guo', 'Tamara Otene']","['[INA] ', '[INA] ', '[NZL] ', '[NZL] ']","['21-15', '14-21', '21-15']",XD - Qualification,20170801
7,"['Sanyogita Ghorpade', 'Jahvaya Wheki']","['[IND] ', '[NZL] ']","['21-14', '21-9']",WS - Qualification,20170801
8,"['Tony Fang', 'Jack Boyle']","['[NZL] ', '[NZL] ']","['21-19', '22-20']",MS - Qualification,20170801
9,"['Emily Beach [4]', 'Jenny Zhu']","['[ENG] ', '[NZL] ']","['21-13', '14-21', '21-17']",WS - Qualification,20170801
10,"['Abhinav Manota', 'Matthew Graham']","['[NZL] ', '[NZL] ']","['21-6', '21-11']",MS - Qualification,20170801
11,"['Christopher Steeghs', 'Ryan Tong']","['[NZL] ', '[NZL] ']","['21-11', '12-21', '21-16']",MS - Qualification,20170801
12,"['Khaeriah Rosmini', 'Justine Villegas']","['[INA] ', '[NZL] ']","['23-21', '8-21', '21-7']",WS - Qualification,20170801
