,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Chen Chi Ting [6]', 'Enrique Pancorbo']","['[TPE] ', '[ESP] ']","['21-13', '21-6']",MS - Qualification,20170615,"MAdrid, Spain"
1,"['Shiau Cheng Chen', 'Manuel Brea Filloy']","['[TPE] ', '[ESP] ']","['21-13', '21-10']",MS - Qualification,20170615,"MAdrid, Spain"
2,"['Chuan-En Hu', 'Pablo Alfayate']","['[TPE] ', '[ESP] ']","['21-15', '21-10']",MS - Qualification,20170615,"MAdrid, Spain"
3,"['Douglas Lidman', 'Javier Abian']","['[SWE] ', '[ESP] ']","['21-14', '21-16']",MS - Qualification,20170615,"MAdrid, Spain"
4,"['Vincent Medina', 'Raymond Webster']","['[FRA] ', '[ENG] ']","['21-4', '21-3']",MS - Qualification,20170615,"MAdrid, Spain"
5,"['Francisco Oliveira', 'Victor Alcaide']","['[POR] ', '[ESP] ']",[],MS - Qualification,20170615,"MAdrid, Spain"
6,"['Andoni Azurmendi Moreno', 'Raphaël Peter']","['[ESP] ', '[SUI] ']","['21-9', '21-8']",MS - Qualification,20170615,"MAdrid, Spain"
7,"['Alexander Butovetstkiy', 'Rafael Porcuna']","['[RUS] ', '[ESP] ']","['21-12', '21-9']",MS - Qualification,20170615,"MAdrid, Spain"
8,"['Wu Cheng-En', 'Alvaro Leal']","['[TPE] ', '[ESP] ']",[],MS - Qualification,20170615,"MAdrid, Spain"
9,"['Su Li Yang', 'Miguel Barbado']","['[TPE] ', '[ESP] ']","['21-11', '21-19']",MS - Qualification,20170615,"MAdrid, Spain"
10,"['Lakhanee Sarang [4]', 'Joan Monroy']","['[IND] ', '[ESP] ']","['21-10', '21-6']",MS - Qualification,20170615,"MAdrid, Spain"
11,"['I-Ting Lai', 'Huang Yin Hsuan']","['[TPE] ', '[TPE] ']","['22-20', '21-12']",WS - Qualification,20170615,"MAdrid, Spain"
12,"['Chia Hao Lee', 'Simon Wang [3]']","['[TPE] ', '[GER] ']","['19-21', '21-18', '21-18']",MS - Qualification,20170615,"MAdrid, Spain"
13,"['Alex Marritt', 'Alex Alcala Dominguez']","['[ENG] ', '[ESP] ']","['21-19', '21-16']",MS - Qualification,20170615,"MAdrid, Spain"
14,"['Milan Dratva [8]', 'Francisco Olivares']","['[SVK] ', '[ESP] ']","['21-10', '21-12']",MS - Qualification,20170615,"MAdrid, Spain"
15,"['Daniel Nikolov', 'Ernesto Baschwitz']","['[BUL] ', '[ESP] ']","['21-8', '21-11']",MS - Qualification,20170615,"MAdrid, Spain"
16,"['Koji Naito', 'Ivan Panev']","['[JPN] ', '[BUL] ']","['21-11', '21-10']",MS - Qualification,20170615,"MAdrid, Spain"
17,"['Kristin Kuuba [6]', 'Elena Andreu']","['[EST] ', '[ESP] ']","['21-17', '21-17']",WS - Qualification,20170615,"MAdrid, Spain"
18,"['Sara Penalver Pereira', 'Sara Boyle']","['[ESP] ', '[IRL] ']","['21-13', '21-13']",WS - Qualification,20170615,"MAdrid, Spain"
19,"['Hrystyna Dzhangobekova', 'Cristen Elizabeth Marritt']","['[ESP] ', '[ENG] ']","['21-17', '21-8']",WS - Qualification,20170615,"MAdrid, Spain"
20,"['Michael Spencer-Smith [7]', 'Ignacio Cabezas']","['[ENG] ', '[ESP] ']","['21-12', '21-11']",MS - Qualification,20170615,"MAdrid, Spain"
21,"['Qi Xuefei', 'Katia Normand [4]']","['[CHN] ', '[FRA] ']","['21-12', '21-14']",WS - Qualification,20170615,"MAdrid, Spain"
22,"['Viknesh Rajendran', 'Victor Zuhr']","['[ENG] ', '[SWE] ']","['21-16', '12-21', '21-15']",MS - Qualification,20170615,"MAdrid, Spain"
23,"['Pavel Kotsarenko', 'Alberto Perals']","['[RUS] ', '[ESP] ']","['16-21', '21-12', '21-18']",MS - Qualification,20170615,"MAdrid, Spain"
24,"['Lin Jhih Yun', 'Grace Gabriel']","['[TPE] ', '[NGR] ']","['21-11', '21-17']",WS - Qualification,20170615,"MAdrid, Spain"
25,"['Lin Hsiang Ti', 'Nadia Fankhauser [8]']","['[TPE] ', '[SUI] ']","['21-7', '21-8']",WS - Qualification,20170615,"MAdrid, Spain"
26,"['Cendrine Hantz [1]', 'Rosemary Allen']","['[SUI] ', '[ENG] ']","['21-7', '21-8']",WS - Qualification,20170615,"MAdrid, Spain"
27,"['Marie Batomene', 'Anastasiia Pustinskaia']","['[FRA] ', '[RUS] ']","['21-9', '21-15']",WS - Qualification,20170615,"MAdrid, Spain"
28,"['Hsieh Yu Ying', 'Helina Rüütel']","['[TPE] ', '[EST] ']","['21-10', '21-8']",WS - Qualification,20170615,"MAdrid, Spain"
29,"['Carlos Piris', 'Hugo Jardim']","['[ESP] ', '[ENG] ']","['21-7', '21-6']",MS - Qualification,20170615,"MAdrid, Spain"
30,"['Tomas Toledano', 'Mads Kjærgaard']","['[ESP] ', '[DEN] ']","['19-21', '21-17', '21-13']",MS - Qualification,20170615,"MAdrid, Spain"
31,"['Ting Yu Liang', 'Shruti Mundada']","['[TPE] ', '[IND] ']","['21-13', '21-14']",WS - Qualification,20170615,"MAdrid, Spain"
