,PLAYERS,COUNTRIES,SCORES,EVENT,match_week,match_location
0,"['Mikkel Stoffersen', 'Susan Ekelund', 'Filip Michael Duwall Myhren [4]', 'Johanna Magnusson']","['[DEN] ', '[DEN] ', '[SWE] ', '[SWE] ']","['21-17', '21-13']",XD - Qualification ,20170119,"Lund, Sweden"
1,"['Arnaud Merkle [12]', 'David Kim Kristensen']","['[FRA] ', '[DEN] ']","['21-19', '19-21', '21-17']",MS - Qualification ,20170119,"Lund, Sweden"
2,"['Felix Nandin', 'Dmitrii Riabov']","['[SWE] ', '[RUS] ']","['24-26', '21-13', '22-20']",MS - Qualification ,20170119,"Lund, Sweden"
3,"['Mikkel Mikkelsen [5]', 'Andy Tsai']","['[DEN] ', '[SWE] ']","['21-13', '22-20']",MS - Qualification ,20170119,"Lund, Sweden"
4,"['Mikkel Stoffersen', 'Susan Ekelund', 'Søren Toft', 'Line Fleischer']","['[DEN] ', '[DEN] ', '[DEN] ', '[DEN] ']","['21-13', '21-17']",XD - Qualification ,20170119,"Lund, Sweden"
5,"['. Hermansyah [14]', 'Shaun Ekengren']","['[INA] ', '[SWE] ']","['21-14', '21-11']",MS - Qualification ,20170119,"Lund, Sweden"
6,"['Rasmus Kæseler', 'Fabio Caponio [10]']","['[DEN] ', '[ITA] ']","['21-17', '13-21', '21-17']",MS - Qualification ,20170119,"Lund, Sweden"
7,"['Noora Ahola', 'Linda Marie Danielsson']","['[FIN] ', '[SWE] ']","['21-12', '21-19']",WS - Qualification ,20170119,"Lund, Sweden"
8,"['Marc Laporte', 'Daniel Ojaaar [2]']","['[FRA] ', '[SWE] ']","['21-16', '21-23', '21-13']",MS - Qualification ,20170119,"Lund, Sweden"
9,"['Rebecka Kuhl [4]', 'Emilie Aalestrup']","['[SWE] ', '[DEN] ']","['21-19', '21-19']",WS - Qualification ,20170119,"Lund, Sweden"
10,"['Emil Hybel Kristensen', 'Rasmus Kæseler', 'Viktor Aglinder', 'Oskar Johansson']","['[DEN] ', '[DEN] ', '[SWE] ', '[SWE] ']","['21-14', '21-12']",MD - Qualification ,20170119,"Lund, Sweden"
11,"['Jeppe Bruun Christensen', 'Tobias Holst-Christensen', 'Felix Nandin [4]', 'Oskar Westerlund']","['[DEN] ', '[DEN] ', '[SWE] ', '[SWE] ']","['21-16', '21-10']",MD - Qualification ,20170119,"Lund, Sweden"
12,"['Arnaud Merkle [12]', 'Douglas Lidman']","['[FRA] ', '[SWE] ']","['21-17', '21-16']",MS - Qualification ,20170119,"Lund, Sweden"
13,"['Mikkel Mikkelsen [5]', 'Jeppe Bruun Christensen']","['[DEN] ', '[DEN] ']","['21-11', '21-14']",MS - Qualification ,20170119,"Lund, Sweden"
14,"['Mattias Wigardt', 'Mads Christophersen [7]']","['[SWE] ', '[DEN] ']","['23-21', '21-14']",MS - Qualification ,20170119,"Lund, Sweden"
15,"['Søren Toft [8]', 'Mads Thøgersen']","['[DEN] ', '[DEN] ']","['21-9', '21-15']",MS - Qualification ,20170119,"Lund, Sweden"
16,"['. Hermansyah [14]', 'Rudolf Dellenbach [1]']","['[INA] ', '[ITA] ']","['21-11', '21-15']",MS - Qualification ,20170119,"Lund, Sweden"
17,"['Vincent Medina', 'Søren Toft [8]']","['[FRA] ', '[DEN] ']","['18-21', '21-17', '21-11']",MS - Qualification ,20170119,"Lund, Sweden"
18,"['Eloi Adam', 'Samy Corvee', 'Adam Gozzi', 'Carl Harrbacka']","['[FRA] ', '[FRA] ', '[SWE] ', '[SWE] ']","['21-14', '21-19']",MD - Qualification ,20170119,"Lund, Sweden"
19,"['Søren Toft', 'Line Fleischer', 'Martin Forssberg', 'Madeleine Persson']","['[DEN] ', '[DEN] ', '[SWE] ', '[SWE] ']","['21-14', '21-11']",XD - Qualification ,20170119,"Lund, Sweden"
20,"['Douglas Lidman', 'Giovanni Greco']","['[SWE] ', '[ITA] ']","['21-15', '18-21', '21-13']",MS - Qualification ,20170119,"Lund, Sweden"
21,"['Morgan Lidman', 'Mika Kongas']","['[SWE] ', '[FIN] ']","['21-18', '21-15']",MS - Qualification ,20170119,"Lund, Sweden"
