,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Tushar Sharma [3]', 'Tapaswini Samantaray', 'S. Sanjeeth', 'Saumya Singh']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-17', '23-21']",XD - Qualification,20170124
1,"['Purshottam Awate', 'Nimmi Patel', 'Mohit Tiwari', 'Saruni Sharma']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['25-23', '21-15']",XD - Qualification,20170124
2,"['Rushikesh Mali', 'Rajesh Krishnan Navaneethakrishnan', 'Lekhraj Biloniya', 'Rajesh Verma']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-12', '21-6']",MD - Qualification,20170124
3,"['Jaimeem Dethariya', 'Rini Tandel', 'Tapas Shukla', 'Pragya Rai']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']",[],XD - Qualification,20170124
4,"['Vikrant Chawat', 'Prem Singh Chouhan', 'D. Guru Prasad [3]', 'Vineeth Manuel']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['22-20', '21-19']",MD - Qualification,20170124
5,"['Prince Chaturvedi', 'Deepak Khatri', 'Manish Gupta', 'Pavan Malik']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-19', '16-21', '21-15']",MD - Qualification,20170124
6,"['Vishnura Rajendran', 'Farha Mather', 'Nishant Dua', 'Anamika Kashyap']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['24-22', '21-19']",XD - Qualification,20170124
7,"['Siddharth Jakhar', 'Dimpal Hazarika', 'Balasubramannian Narendran Geetha', 'Haritha Manazhiyil Harinarayanan']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']",[],XD - Qualification,20170124
8,"['Alap Mishra', 'Prabhat Sirsat', 'Kandarp Chaubey', 'Nikhil Jangid']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-18', '21-17']",MD - Qualification,20170124
9,"['Utkarsh Arora', 'Karishma Wadkar', 'Ankur Dhiman', 'Rupal Anand']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-10', '21-16']",XD - Qualification,20170124
10,"['Ketan Chahal [4]', 'Mohita Sahdev', 'Utkarsh Choudhary', 'Anusha Goel']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-13', '21-13']",XD - Qualification,20170124
11,"['Sanjay Jayaraj V [1]', 'Aditya Nair', 'Hari Kiran Chereddi', 'K. Ajay Kumar']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['16-21', '21-16', '21-19']",MD - Qualification,20170124
12,"['Dhruv Kapila [2]', 'Jakkampudi Meghana', 'Anubhav Saxena', 'Shraddha Srivastava']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-11', '21-6']",XD - Qualification,20170124
13,"['Shubham Prajapati', 'Deepak Khatri']","['[IND] ', '[IND] ']","['21-13', '21-10']",MS - Qualification,20170124
14,"['Vaidehi Choudhari', 'Deeksha Choudhary']","['[IND] ', '[IND] ']","['21-8', '21-9']",WS - Qualification,20170124
