,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Niclas Nohr [4]', 'Sara Thygesen', 'Ming-Tse Yang', 'Sung Shuo Yun']","['[DEN] ', '[DEN] ', '[TPE] ', '[TPE] ']","['15-21', '21-13', '21-13']",XD - Qualification,20171114
1,"['Anders Skaarup Rasmussen', 'Line Højmark Kjaersfeldt', 'Lu Chia Pin', 'Hsin Tien Chang']","['[DEN] ', '[DEN] ', '[TPE] ', '[TPE] ']","['21-16', '21-10']",XD - Qualification,20171114
2,"['Wang Zekang', 'Xu Ya', 'Li-Wei Po', 'Ching Hui Chang']","['[CHN] ', '[CHN] ', '[TPE] ', '[TPE] ']","['21-19', '21-17']",XD - Qualification,20171114
3,"['Ren Pengbo', 'Jie Luo']","['[CHN] ', '[SEY] ']","['21-10', '21-6']",MS - Qualification,20171114
4,"['Zhou Zeqi', 'Kan Chao Yu']","['[CHN] ', '[TPE] ']","['21-7', '21-5']",MS - Qualification,20171114
5,"['Lee Dong Keun', 'Sun Feixiang']","['[KOR] ', '[CHN] ']","['9-21', '21-8', '22-20']",MS - Qualification,20171114
6,"['Han Chengkai', 'Chen Lu', 'Yuan Cheng Wu', 'Yang Ching Tun']","['[CHN] ', '[CHN] ', '[TPE] ', '[TPE] ']","['21-12', '21-15']",XD - Qualification,20171114
7,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Lee Jhe-Huei', 'Wu Ti Jung']","['[IND] ', '[IND] ', '[TPE] ', '[TPE] ']","['24-22', '21-7']",XD - Qualification,20171114
8,"['Li Yun', 'Li Wenmei [3]']","['[CHN] ', '[CHN] ']","['21-8', '21-16']",WS - Qualification,20171114
9,"['Kasper Antonsen', 'Niclas Nohr', 'Li-Wei Po', 'Ming-Tse Yang']","['[DEN] ', '[DEN] ', '[TPE] ', '[TPE] ']","['21-15', '21-18']",MD - Qualification,20171114
10,"['Ko-Chi Chang', 'Lu Chia Pin', 'Fan Qiuyue', 'Xiangyu Ren']","['[TPE] ', '[TPE] ', '[CHN] ', '[CHN] ']","['11-21', '21-19', '21-18']",MD - Qualification,20171114
11,"['Guo Kai', 'Takuma Ueda']","['[CHN] ', '[JPN] ']","['21-19', '21-13']",MS - Qualification,20171114
12,"['Ji Shuting [4]', 'Cheng Chi Ya']","['[CHN] ', '[TPE] ']","['21-13', '21-10']",WS - Qualification,20171114
13,"['Ren Pengbo', 'Sony Dwi Kuncoro']","['[CHN] ', '[INA] ']","['21-16', '21-19']",MS - Qualification,20171114
14,"['Chung Eui Seok [1]', 'Kim Dukyoung', 'Di Zijian', 'Wang Chang']","['[KOR] ', '[KOR] ', '[CHN] ', '[CHN] ']","['21-19', '21-10']",MD - Qualification,20171114
15,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Niclas Nohr [4]', 'Sara Thygesen']","['[IND] ', '[IND] ', '[DEN] ', '[DEN] ']","['21-16', '19-21', '22-20']",XD - Qualification,20171114
16,"['Gao Fangjie [2]', 'Peng Qin']","['[CHN] ', '[CHN] ']","['21-10', '21-8']",WS - Qualification,20171114
17,"['Ko-Chi Chang', 'Lu Chia Pin', 'Kim Won Ho [3]', 'Seung Jae Seo']","['[TPE] ', '[TPE] ', '[KOR] ', '[KOR] ']","['21-18', '21-14']",MD - Qualification,20171114
18,"['Chai Biao [2]', 'Wang Zekang', 'Kan Chao Yu', 'Chi-Hung Liao']","['[CHN] ', '[CHN] ', '[TPE] ', '[TPE] ']","['21-13', '21-15']",MD - Qualification,20171114
