,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['S. Sunjith (Jr)', 'Sruthi K.P', 'Dinesh Chaudhry', 'Rucha Nikam']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-11', '21-10']",XD - Qualification,20171129
1,"['Ketan Chahal', 'Mayuri Yadav', 'Himanshu Tiwari', 'Lalita Dahiya']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']",[],XD - Qualification,20171129
2,"['Guang Liang Jason Wong [3]', 'Putri Sari Dewi Citra', 'Aditya Nair', 'Deeksha Choudhary']","['[SGP] ', '[SGP] ', '[IND] ', '[IND] ']","['21-16', '21-17']",XD - Qualification,20171129
3,"['Singh Vinay Kumar', 'Karishma Wadkar', 'Minhaz Mohammad', 'Aktar Shapla']","['[IND] ', '[IND] ', '[BAN] ', '[BAN] ']","['21-11', '21-14']",XD - Qualification,20171129
4,"['Chang Tak Ching', 'Ng Wing Yung', 'Kiran Kumar Gopal', 'B Venkata Ramya Tulasi Bailupudi']","['[HKG] ', '[HKG] ', '[IND] ', '[IND] ']","['21-10', '21-16']",XD - Qualification,20171129
5,"['Vighnesh Devlekar [4]', 'Harika Veludurthi', 'Akshay Raut', 'Dhanya Nair']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-14', '21-16']",XD - Qualification,20171129
6,"['Utkarsh Arora', 'Shikha Gautam', 'Kona Tarun', 'Sanjana Santosh']","['[IND] ', '[IND] ', '[IND] ', '[IND] ']","['21-11', '21-8']",XD - Qualification,20171129
7,"['Bimo Adi Prakoso [2]', 'Yujia Jin', 'Kashish Sharma', 'Sanghamitra Saikia']","['[SGP] ', '[SGP] ', '[IND] ', '[IND] ']","['21-11', '21-8']",XD - Qualification,20171129
8,"['Bhavya Rishi', 'Supriya Balli']","['[IND] ', '[IND] ']","['21-8', '21-13']",WS - Qualification,20171129
9,"['Kanika Kanwal', 'Ruhi Raju']","['[IND] ', '[USA] ']","['16-21', '21-14', '21-19']",WS - Qualification,20171129
10,"['Neha Pandit [8]', 'Gauri Asaji']","['[IND] ', '[IND] ']","['21-17', '21-15']",WS - Qualification,20171129
11,"['Megha Morchana Bora', 'Rucha Nikam']","['[IND] ', '[IND] ']","['21-16', '21-10']",WS - Qualification,20171129
12,"['Deepali Gupta [3]', 'Priya Konjengbam']","['[IND] ', '[IND] ']",[],WS - Qualification,20171129
13,"['Rashi Tyagi', 'Simran Singhi']","['[IND] ', '[IND] ']","['15-21', '21-19', '24-22']",WS - Qualification,20171129
14,"['Mukherjee Riya [6]', 'Ch. Poornima']","['[IND] ', '[IND] ']","['21-9', '21-8']",WS - Qualification,20171129
15,"['S.S.Lakshmi Priyanka Subramanian', 'Aktar Shapla']","['[IND] ', '[BAN] ']","['21-16', '21-5']",WS - Qualification,20171129
16,"['Ritika Thaker', 'Aastha Sharma']","['[IND] ', '[IND] ']","['21-6', '21-9']",WS - Qualification,20171129
17,"['Purva Barve', 'Alina Sultana [7]']","['[IND] ', '[BAN] ']","['21-12', '21-9']",WS - Qualification,20171129
18,"['Vaishnavi Kaari', 'Tanishq Mamilla Palli']","['[IND] ', '[IND] ']",['11-4'],WS - Qualification,20171129
19,"['Eshita Raju. K [4]', 'Kalpita Sawant']","['[IND] ', '[IND] ']","['19-21', '21-6', '21-14']",WS - Qualification,20171129
20,"['Unnati Bisht', 'Dapasha Joshi']","['[IND] ', '[IND] ']","['18-21', '21-15', '21-17']",WS - Qualification,20171129
21,"['Amolika Singh Sisodiya [5]', 'Prashi Joshi']","['[IND] ', '[IND] ']","['21-16', '21-19']",WS - Qualification,20171129
22,"['Apeksha Nayak', 'Riya Arolkar']","['[IND] ', '[IND] ']","['21-14', '21-14']",WS - Qualification,20171129
23,"['Tsang Wing Chiu Avery [2]', 'Vijeta Bhargava']","['[HKG] ', '[IND] ']","['21-12', '21-12']",WS - Qualification,20171129
24,"['Rajat Rathore', 'Aneeth Kumar Repudi']","['[IND] ', '[IND] ']","['21-18', '21-14']",MS - Qualification,20171129
25,"['Kartik Jindal', 'Mohammad Salman Khan']","['[IND] ', '[BAN] ']","['21-8', '21-14']",MS - Qualification,20171129
26,"['C. Rohit Yadav [8]', 'Amit Sharma']","['[IND] ', '[IND] ']","['21-11', '21-10']",MS - Qualification,20171129
27,"['Manish Gupta', 'Satinder Malik']","['[IND] ', '[IND] ']","['23-21', '21-15']",MS - Qualification,20171129
28,"['Siddharth Pratap Singh [4]', 'Ketan Chahal']","['[IND] ', '[IND] ']","['21-19', '21-14']",MS - Qualification,20171129
29,"['Lishwan Mudukasan', 'Sachin Rawat']","['[MAS] ', '[IND] ']","['21-14', '21-14']",MS - Qualification,20171129
30,"['Abhishek Kulkarni', 'Adrian George [6]']","['[IND] ', '[IND] ']","['15-21', '21-19', '24-22']",MS - Qualification,20171129
31,"['Abhinav Manota', 'Sarath Dunna']","['[NZL] ', '[IND] ']","['21-16', '15-21', '21-14']",MS - Qualification,20171129
32,"['Tushar Krishna Roy', 'Vishal Thakran']","['[BAN] ', '[IND] ']","['21-19', '21-19']",MS - Qualification,20171129
33,"['Kiran George [5]', 'Mayank Ahuja']","['[IND] ', '[IND] ']","['21-18', '21-18']",MS - Qualification,20171129
34,"['Swarnaraj Bora', 'Bhaskar Chakraborty']","['[IND] ', '[IND] ']","['21-10', '21-9']",MS - Qualification,20171129
35,"['Abdul Bari Ansari', 'Jun Hao Leong [3]']","['[IND] ', '[MAS] ']",[],MS - Qualification,20171129
36,"['Abhyansh Singh', 'Ashish Sharma']","['[IND] ', '[IND] ']","['21-13', '22-20']",MS - Qualification,20171129
37,"['Siddharth . [7]', 'Sai Naga Koteswararao Adapa']","['[IND] ', '[IND] ']","['21-12', '21-15']",MS - Qualification,20171129
38,"['Munawar Mohammed', 'Shubham Prajapati']","['[IND] ', '[IND] ']","['21-13', '18-21', '21-14']",MS - Qualification,20171129
39,"['Balraj Kajla', 'Alap Mishra']","['[IND] ', '[IND] ']","['17-21', '21-17', '21-13']",MS - Qualification,20171129
40,"['Cheung Ying Mei [1]', 'Tsang Wing Chiu Avery', 'Supriya Balli', 'Vibhuti Sharma']","['[HKG] ', '[HKG] ', '[IND] ', '[IND] ']",[],WD - Qualification,20171129
