,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Eric Vuong', 'Lee Yen Khoo', 'Jasmanjot Virk', 'Jahvaya Wheki']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-14', '21-14']",XD - Qualification,20170809
1,"['Lin Jhih Yun', 'Catelyn Rozario']","['[TPE] ', '[NZL] ']","['21-4', '21-10']",WS,20170809
2,"['Nathaniel Ernestan Sulistyo', 'Jack Boyle']","['[INA] ', '[NZL] ']","['21-15', '21-14']",MS,20170809
3,"['Anthony Joe', 'Joshua Feng']","['[AUS] ', '[NZL] ']","['21-15', '21-12']",MS,20170809
4,"['Abhinav Manota', 'Jacob Schueler']","['[NZL] ', '[AUS] ']","['21-12', '21-13']",MS,20170809
5,"['Wu Cheng-En', 'Christopher Steeghs']","['[TPE] ', '[NZL] ']","['21-10', '21-10']",MS,20170809
6,"['Sachin Rawat', 'Ryan Tong']","['[IND] ', '[NZL] ']","['21-5', '21-10']",MS,20170809
7,"['Chia Hao Lee', 'Andrew Rouse']","['[TPE] ', '[NZL] ']","['20-22', '21-12', '23-21']",MS,20170809
8,"['Su Li Yang', 'Oscar Guo']","['[TPE] ', '[NZL] ']","['16-21', '21-19', '21-15']",MS,20170809
9,"['Chet Vin Wong', 'Joshua Curry']","['[MAS] ', '[NZL] ']","['19-21', '21-12', '21-8']",MS,20170809
10,"['Alexander Roovers', 'Daxxon Vong']","['[GER] ', '[NZL] ']","['21-11', '21-15']",MS,20170809
11,"['Nathan Tang', 'Jack Jiang']","['[AUS] ', '[NZL] ']","['21-13', '21-11']",MS,20170809
12,"['Neeraj Vashist', 'Kevin Zhang']","['[IND] ', '[NZL] ']","['21-10', '21-18']",MS,20170809
13,"['Sahil Sipani', 'Manula Peires']","['[IND] ', '[NZL] ']","['21-7', '21-11']",MS,20170809
14,"['Shiau Cheng Chen', 'Edward Lau']","['[TPE] ', '[NZL] ']","['21-8', '21-16']",MS,20170809
15,"['Saputra Vicky Angga', 'Maika Phillips']","['[INA] ', '[NZL] ']","['21-9', '21-14']",MS,20170809
16,"['Lin Chun-Yi', 'Srijan Konchada']","['[TPE] ', '[NZL] ']","['21-13', '21-9']",MS,20170809
17,"['Wooi Yik Soh', 'Matthew Graham']","['[MAS] ', '[NZL] ']","['21-12', '21-16']",MS,20170809
18,"['Vincent Harris', 'Cham Chen']","['[NZL] ', '[AUS] ']","['21-13', '21-15']",MS,20170809
19,"['Tang Jie Chen [1]', 'Jia Jia Tew', 'Jason Seto', 'Rebecca Hayley Fong']","['[MAS] ', '[MAS] ', '[NZL] ', '[NZL] ']","['21-10', '21-11']",XD,20170809
20,"['Lu Chen', 'Chang Yen-Ting', 'Thomas Ellis', 'Xie Yongshi']","['[TPE] ', '[TPE] ', '[NZL] ', '[NZL] ']","['21-12', '21-10']",XD,20170809
21,"['Simon Wing Hang Leung [2]', 'Tiffany Ho', 'Dhanny Oud', 'Jasmin Chung Man Ng']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-14', '21-14']",XD,20170809
22,"['Hung En-Tzu', 'Gaea Galvez']","['[TPE] ', '[NZL] ']","['21-19', '21-6']",WS,20170809
23,"['Huang Yin Hsuan', 'Ruwindi Serasinghe']","['[TPE] ', '[AUS] ']","['21-10', '21-16']",WS,20170809
24,"['Lin Hsiang Ti', 'Ella Smith']","['[TPE] ', '[NZL] ']","['21-8', '21-4']",WS,20170809
25,"['Erik Meijs [1]', 'Nathaniel Ernestan Sulistyo']","['[NED] ', '[INA] ']","['21-6', '21-6']",MS,20170809
26,"['Anthony Joe', 'Jasmanjot Virk']","['[AUS] ', '[NZL] ']","['21-15', '21-13']",MS,20170809
27,"['Abhinav Manota', 'Siddharath Thakur [7]']","['[NZL] ', '[IND] ']","['20-22', '21-17', '24-22']",MS,20170809
28,"['Wu Cheng-En', 'Adam Jeffrey']","['[TPE] ', '[NZL] ']","['21-4', '21-10']",MS,20170809
29,"['Sachin Rawat', 'Pit Seng Low [4]']","['[IND] ', '[AUS] ']","['21-18', '21-13']",MS,20170809
30,"['Chia Hao Lee', 'Dylan Soedjasa']","['[TPE] ', '[NZL] ']","['21-14', '21-17']",MS,20170809
31,"['Chee Foong Lim', 'Arun Kumar Ashok Kumar [6]']","['[NZL] ', '[IND] ']",[],MS,20170809
32,"['Su Li Yang', 'Chet Vin Wong']","['[TPE] ', '[MAS] ']","['21-10', '21-11']",MS,20170809
33,"['Alexander Roovers', 'Nathan Tang']","['[GER] ', '[AUS] ']","['21-14', '21-15']",MS,20170809
34,"['Chen Chi Ting [8]', 'Neeraj Vashist']","['[TPE] ', '[IND] ']","['19-21', '21-18', '21-10']",MS,20170809
35,"['Sahil Sipani', 'Raymond Sing']","['[IND] ', '[AUS] ']","['21-13', '21-6']",MS,20170809
36,"['Shiau Cheng Chen', 'Henrikho Kho Wibowo [3]']","['[TPE] ', '[INA] ']","['21-14', '21-16']",MS,20170809
37,"['Saputra Vicky Angga', 'Tzu Chen Wang']","['[INA] ', '[NZL] ']","['21-11', '21-4']",MS,20170809
38,"['Lin Chun-Yi', 'Ashwant Gobinathan [5]']","['[TPE] ', '[AUS] ']","['20-22', '21-11', '21-10']",MS,20170809
39,"['Wooi Yik Soh', 'Dacmen Vong']","['[MAS] ', '[NZL] ']","['21-15', '21-14']",MS,20170809
40,"['Pratul Joshi [2]', 'Vincent Harris']","['[IND] ', '[NZL] ']","['21-10', '21-8']",MS,20170809
41,"['Lin Yu Chieh', 'Chia-Wei Liang', 'Evan Wong', 'Jacqueline Yu']","['[TPE] ', '[TPE] ', '[NZL] ', '[NZL] ']","['21-11', '21-17']",XD,20170809
42,"['Jack Boyle [8]', 'Tamara Otene', 'Nathaniel Ernestan Sulistyo', 'Fransisca Angelica Rahardja']","['[NZL] ', '[NZL] ', '[INA] ', '[INA] ']","['21-14', '21-13']",XD,20170809
43,"['Hsieh Yu Ying', 'Jenny Zhu']","['[TPE] ', '[NZL] ']","['21-4', '21-5']",WS,20170809
44,"['Lauren Lim', 'Justine Villegas']","['[AUS] ', '[NZL] ']","['21-14', '21-11']",WS,20170809
45,"['Sally Fu', 'Emily Beach']","['[NZL] ', '[ENG] ']","['21-5', '21-11']",WS,20170809
46,"['Lin Sih Yun', 'Jahvaya Wheki']","['[TPE] ', '[NZL] ']","['21-7', '21-9']",WS,20170809
47,"['Dylan Soedjasa [6]', 'Susannah Leydon-Davis', 'Chuang Pu Sheng', 'Cheng Yu-Pei']","['[NZL] ', '[NZL] ', '[TPE] ', '[TPE] ']","['23-21', '21-13']",XD,20170809
48,"['Chia Hao Lee', 'Lin Hsiang Ti', 'Adam Jeffrey', 'Lily Rose']","['[TPE] ', '[TPE] ', '[NZL] ', '[NZL] ']","['21-8', '21-3']",XD,20170809
49,"['Shiau Cheng Chen', 'Hung En-Tzu', 'Kevin Dennerly-Minturn [4]', 'Danielle Tahuri']","['[TPE] ', '[TPE] ', '[NZL] ', '[NZL] ']","['12-21', '21-13', '21-18']",XD,20170809
50,"['Su Li Wei', 'Li Zi Qing', 'Matthew Graham', 'Gaea Galvez']","['[TPE] ', '[TPE] ', '[NZL] ', '[NZL] ']","['21-8', '21-13']",XD,20170809
51,"['Ye Hong Wei', 'Teng Chun Hsun', 'Maika Phillips', 'Anona Pak']","['[TPE] ', '[TPE] ', '[NZL] ', '[NZL] ']","['14-21', '21-11', '21-12']",XD,20170809
52,"['Tiffany Ho', 'Rebecca Hayley Fong']","['[AUS] ', '[NZL] ']","['21-15', '21-15']",WS,20170809
53,"['Robin Middleton', 'Ross Smith', 'Oscar Guo', 'Dacmen Vong']","['[AUS] ', '[AUS] ', '[NZL] ', '[NZL] ']","['21-11', '21-6']",MD,20170809
