,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Hajar Shahsavari Najafabadi', 'Safoora Zamanloo']","['[IRI] ', '[IRI] ']","['11-8', '11-2', '10-12', '11-6']",WS - Qualification,20170209
1,"['Nazanin Zamani', 'Hadis Ahmadi']","['[IRI] ', '[IRI] ']","['11-5', '11-8', '11-4']",WS - Qualification,20170209
2,"['Elnaz Feizmanesh', 'Elahe Sepidan']","['[IRI] ', '[IRI] ']","['11-5', '11-3', '11-6']",WS - Qualification,20170209
3,"['Fatemeh Sarvghadi', 'Maryam Mojtabavi']","['[IRI] ', '[IRI] ']","['11-7', '11-6', '11-6']",WS - Qualification,20170209
4,"['Hadis Ahmadi', 'Fatemeh Mouneskhah', 'Shabana Afshar', 'Zainab Yari']","['[IRI] ', '[IRI] ', '[AFG] ', '[AFG] ']","['11-4', '11-6', '11-7']",WD,20170209
5,"['Ksenia Polikarpova [1]', 'Zainab Yari']","['[RUS] ', '[AFG] ']","['11-1', '11-5', '11-3']",WS,20170209
6,"['Anne Hald [8]', 'Yosra Beigi']","['[DEN] ', '[IRI] ']","['11-6', '7-11', '9-11', '11-6', '11-8']",WS,20170209
7,"['Ren-Ne Ong', 'Jia Ying Crystal Wong', 'Elnaz Feizmanesh', 'Fatemeh Sarvghadi']","['[SGP] ', '[SGP] ', '[IRI] ', '[IRI] ']","['11-9', '8-11', '11-5', '9-11', '11-8']",WD,20170209
8,"['Fatemeh Sarvghadi', 'Aida Fazeli']","['[IRI] ', '[IRI] ']","['14-12', '6-11', '11-5', '11-9']",WS,20170209
9,"['Hanan Kabiri', 'Basma Chasib']","['[IRI] ', '[IRQ] ']",[],WS,20170209
10,"['Hedie Shams', 'Lilit Poghosyan']","['[IRI] ', '[ARM] ']","['6-11', '8-11', '11-8', '11-4', '11-7']",WS,20170209
11,"['Pegah Kamrani', 'Romina Tajik']","['[IRI] ', '[IRI] ']","['11-5', '11-8', '8-11', '11-8']",WS,20170209
12,"['Sara Delavari Kashani', 'Lisa Iversen [6]']","['[IRI] ', '[ITA] ']","['11-3', '14-12', '7-11', '11-9']",WS,20170209
13,"['Nazanin Zamani', 'Fatemeh Mouneskhah']","['[IRI] ', '[IRI] ']","['11-3', '11-8', '11-4']",WS,20170209
14,"['Elnaz Feizmanesh', 'Paria Eskandari']","['[IRI] ', '[IRI] ']","['11-5', '15-14', '11-5']",WS,20170209
15,"['Nasim Safai', 'Samin Abedkhojasteh']","['[IRI] ', '[IRI] ']","['11-7', '8-11', '12-10', '9-11', '11-10']",WS,20170209
16,"['Hajar Shahsavari Najafabadi', 'Yeganeh Tafreshi']","['[IRI] ', '[IRI] ']","['10-12', '11-7', '11-13', '11-9', '11-9']",WS,20170209
17,"['Grace Gabriel [4]', 'Sanaa Mahmoud']","['[NGR] ', '[SYR] ']","['9-11', '12-10', '11-7', '11-5']",WS,20170209
18,"['Taravat Alinezhad', 'Haneen Alhareb']","['[IRI] ', '[IRQ] ']",[],WS,20170209
19,"['Soraya Aghaeihajiagha [7]', 'Silvia Garino']","['[IRI] ', '[ITA] ']","['11-2', '10-12', '11-4', '11-4']",WS,20170209
20,"['Yeganeh Kermani', 'Shabana Afshar']","['[IRI] ', '[AFG] ']","['11-1', '11-1', '11-2']",WS,20170209
21,"['Hui Zhen Grace Chua [2]', 'Sahar Ahmadabadi']","['[SGP] ', '[IRI] ']","['11-3', '11-5', '11-2']",WS,20170209
22,"['Amir Qasemi', 'Ahmed Ashour Abbas Al-Omairi']","['[IRI] ', '[IRQ] ']","['11-4', '11-9', '11-6']",MS - Qualification,20170209
23,"['Amirhossein Noralyani', 'Mustafa A-Zubaidi']","['[IRI] ', '[IRQ] ']",[],MS - Qualification,20170209
24,"['Parham Khanzadeh', 'Mohhamed Khaleel']","['[IRI] ', '[IRQ] ']","['11-1', '11-4', '11-2']",MS - Qualification,20170209
25,"['Mohamad Pairavand', 'Mohammed Hussein']","['[IRI] ', '[IRQ] ']","['11-3', '11-3', '11-5']",MS - Qualification,20170209
26,"['Mohamad Charmali', 'Emran Rahim']","['[IRI] ', '[AFG] ']","['11-5', '11-6', '11-4']",MS - Qualification,20170209
27,"['Nima Rostampourlagaldani', 'Mohammed Almashaekhi']","['[IRI] ', '[IRQ] ']","['11-0', '11-3', '11-2']",MS - Qualification,20170209
28,"['Mohammadamin Aliakbarian', 'Omar Kareem']","['[IRI] ', '[IRQ] ']","['11-1', '11-2', '11-3']",MS - Qualification,20170209
29,"['Shabahang Asgari', 'Alaa Al-Masooi']","['[IRI] ', '[IRQ] ']",[],MS - Qualification,20170209
30,"['Amirabbas Mirbagheri', 'Mohammed Al-Windawi']","['[IRI] ', '[IRQ] ']","['11-4', '11-3', '11-1']",MS - Qualification,20170209
31,"['Alireza Karami', 'Mohammed Hasan']","['[IRI] ', '[IRQ] ']","['11-2', '11-3', '11-1']",MS - Qualification,20170209
32,"['Ali Bastani', 'Qusay Bani Wais']","['[IRI] ', '[IRQ] ']",[],MS - Qualification,20170209
33,"['Haidar M. Besha', 'Said Mohammad Kabir Mirzad']","['[IRQ] ', '[AFG] ']",[],MS - Qualification,20170209
34,"['Amirhossein Noralyani', 'Amir Qasemi', 'Salman Abdullah', 'Mohammed Hasan']","['[IRI] ', '[IRI] ', '[IRQ] ', '[IRQ] ']","['11-1', '11-4', '11-1']",MD - Qualification,20170209
35,"['Shabahang Asgari', 'Erfan Sharghipour', 'Mohammed Al-Windawi', 'Qusay Bani Wais']","['[IRI] ', '[IRI] ', '[IRQ] ', '[IRQ] ']",[],MD - Qualification,20170209
36,"['Niluka Karunaratne [1]', 'Kanan Rzayev']","['[SRI] ', '[AZE] ']","['11-5', '11-2', '11-8']",MS,20170209
37,"['Chet Vin Wong', 'Amirabbas Mirbagheri']","['[MAS] ', '[IRI] ']","['7-11', '11-5', '11-7', '11-3']",MS,20170209
38,"['Zin Rei Ryan Ng [14]', 'Hasan Motaghi']","['[SGP] ', '[IRI] ']","['10-12', '11-6', '11-6', '13-11']",MS,20170209
39,"['Mohamad Charmali', 'Mohamad Alsawas']","['[IRI] ', '[SYR] ']","['11-8', '11-9', '8-11', '11-8']",MS,20170209
40,"['Vega Vio Nirwanda [6]', 'Nima Rostampourlagaldani']","['[INA] ', '[IRI] ']","['11-5', '11-5', '11-8']",MS,20170209
41,"['Mehran Shahbazi', 'Karim Musayev']","['[IRI] ', '[AZE] ']","['11-4', '11-8', '11-5']",MS,20170209
42,"['Fabio Caponio [15]', 'Sayed Imran Meri']","['[ITA] ', '[AFG] ']","['11-4', '11-2', '11-7']",MS,20170209
43,"['Haidar M. Besha', 'Mohammed Othman Saad']","['[IRQ] ', '[IRQ] ']","['11-7', '11-4', '15-14']",MS,20170209
44,"['Rosario Maddaloni [4]', 'Mohammed Al-Ibadi']","['[ITA] ', '[IRQ] ']","['11-0', '11-3', '11-1']",MS,20170209
45,"['Sabuhi Huseynov', 'Salman Abdullah']","['[AZE] ', '[IRQ] ']","['11-5', '11-5', '11-6']",MS,20170209
46,"['Siddharath Thakur [10]', 'Ali Bastani']","['[IND] ', '[IRI] ']","['11-2', '11-6', '11-2']",MS,20170209
