,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Georgii Karpov', 'Ferhat Tiftikci']","['[RUS] ', '[TUR] ']","['21-2', '21-11']",MS - Qualification,20171218
1,"['Dmitriy Panarin', 'Okan Gultekin']","['[KAZ] ', '[TUR] ']","['21-18', '21-10']",MS - Qualification,20171218
2,"['Le Thanh Lam [10]', 'Andrei Don']","['[VIE] ', '[UKR] ']","['21-12', '21-13']",MS - Qualification,20171218
3,"['Murathan Eken', 'Jeppe Schack']","['[TUR] ', '[DEN] ']","['21-16', '22-20']",MS - Qualification,20171218
4,"['Omer Faruk Bektas', 'Gokhan Zembilci']","['[TUR] ', '[TUR] ']","['21-16', '21-12']",MS - Qualification,20171218
5,"['Yazgan Calisir', 'Shokhzod Gulomzoda']","['[TUR] ', '[RUS] ']","['21-13', '21-7']",MS - Qualification,20171218
6,"['Ramazan Tekdemİr', 'Mattias Sonderskov [9]']","['[TUR] ', '[LUX] ']","['21-11', '22-20']",MS - Qualification,20171218
7,"['Alexander Æbeløe Christensen', 'Murat Saka']","['[DEN] ', '[TUR] ']","['21-17', '21-5']",MS - Qualification,20171218
8,"['Serhat Salim', 'Sinan Er']","['[TUR] ', '[TUR] ']","['21-14', '21-6']",MS - Qualification,20171218
9,"['Ibrahim Eksi', 'Glib Beketov']","['[TUR] ', '[UKR] ']","['21-17', '21-16']",MS - Qualification,20171218
10,"['Kari Gunnarsson [12]', 'Axilleas Tsartsidis']","['[ISL] ', '[GRE] ']","['21-7', '21-12']",MS - Qualification,20171218
11,"['Bugrahan Perk', 'Romain Frank']","['[TUR] ', '[FRA] ']","['21-17', '21-19']",MS - Qualification,20171218
12,"['Sergey Don [5]', 'Celil Furkan Barug']","['[UKR] ', '[TUR] ']","['21-9', '21-8']",MS - Qualification,20171218
13,"['Abdurasul Khadjaev', 'Mesut Sezer']","['[UZB] ', '[TUR] ']","['21-16', '21-13']",MS - Qualification,20171218
14,"['Søren Hald [16]', 'Alexander Kim']","['[DEN] ', '[UZB] ']","['21-14', '21-9']",MS - Qualification,20171218
15,"['Mads Thøgersen', 'Sander Merits']","['[DEN] ', '[EST] ']","['21-10', '21-6']",MS - Qualification,20171218
