,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Naufal Ligo Saufik', 'Ayu Gary Luma Maharani', 'Muchamad Taghjul Arifin Billah [1]', 'Dewi Setyo Rahmawati']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-17', '21-13']",XD - Qualification,20171024
1,"['Reinard Dhanriano', 'Maretha Dea Giovani', 'Alif Rafsyah Mauthuthihona', 'Rayhan Vania Salsabila']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-18', '21-13']",XD - Qualification,20171024
2,"['Viorel Joan Fernando [3]', 'Febby Valencia Dwijayanti Gani', 'Muhammad Nur Hafizi', 'Mia Dian Nurlia']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['23-21', '21-11']",XD - Qualification,20171024
3,"['Bagas Maulana', 'Tiara Rosalia Nuraidah', 'Abhinaya Rakan Adira', 'Dara Sri Yuliani']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-18', '18-21', '21-13']",XD - Qualification,20171024
4,"['Indra Leonard Prasetya', 'Violita Dewi', 'Dwiki Rafian Restu', 'Aldira Rizki Putri']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-14', '17-21', '21-16']",XD - Qualification,20171024
5,"['Yeremia Erich Yoche Yacob [4]', 'Ribka Sugiarto', 'Barok Fauzan', 'Elok Machsunnah']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-10', '21-16']",XD - Qualification,20171024
6,"['Renaldi Samosir', 'Hediana Julimarbela', 'Frengky Wijaya Putra', 'Yulfira Barkah']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['16-21', '23-21', '21-14']",XD - Qualification,20171024
7,"['Ramsha Ariadita', 'Syarifah Nurmariam', 'Daniel Hardiana Octavianus [2]', 'Anissa Syifa Oktaviani']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-10', '21-17']",XD - Qualification,20171024
8,"['Silvi Wulandari', 'Debora Pungky Cahyadewi']","['[INA] ', '[INA] ']","['21-16', '21-23', '21-16']",WS - Qualification,20171024
9,"['Aisha Galuh Maheswari', 'Winda Puji Hastuti [3]']","['[INA] ', '[INA] ']",[],WS - Qualification,20171024
10,"['Bening Sri Rahayu', 'Nurul Shabillah']","['[INA] ', '[INA] ']","['21-17', '21-7']",WS - Qualification,20171024
11,"['Komang Ayu Cahya Dewi', 'Putri Kusumawardhani']","['[INA] ', '[INA] ']","['21-15', '21-13']",WS - Qualification,20171024
12,"['Alya Rahma Mulyani', 'Melsya Nur Fitriani [4]']","['[INA] ', '[INA] ']","['21-13', '22-20']",WS - Qualification,20171024
13,"['Desima Aqmar Syarafina', 'Triya Nur Saadiyah']","['[INA] ', '[INA] ']",[],WS - Qualification,20171024
14,"['Dean Bencha Wijaya', 'Li Bin Tan [1]']","['[INA] ', '[MAS] ']","['11-21', '21-16', '21-17']",MS - Qualification,20171024
15,"['Jason Rivaldo Sutrisno', 'Alden Lefilson Putra Mainaky']","['[INA] ', '[INA] ']","['21-14', '21-18']",MS - Qualification,20171024
16,"['Noval Ramadhan [8]', 'Muhammad Syafiq Iqbal Mohd Nadzri']","['[INA] ', '[MAS] ']","['21-14', '21-19']",MS - Qualification,20171024
17,"['Riki Nur Fajar Rohman', 'Ye Hong Wei']","['[INA] ', '[TPE] ']","['21-10', '21-17']",MS - Qualification,20171024
18,"['Muhammad Febriansyah', 'Yohanes Kevin Tirta [4]']","['[INA] ', '[INA] ']","['21-10', '21-9']",MS - Qualification,20171024
19,"['Mukhammad Rizqy Ramadhani', 'Eizlan Shah Misfahul Muneer']","['[INA] ', '[MAS] ']","['17-21', '21-13', '21-12']",MS - Qualification,20171024
20,"['Daniel Hardiana Octavianus [7]', 'Jovi Mikhael']","['[INA] ', '[INA] ']","['21-14', '21-14']",MS - Qualification,20171024
21,"['Yong Sheng Lin', 'Mario Verdiano Ben-Oni Mainaky']","['[TPE] ', '[INA] ']","['21-17', '21-10']",MS - Qualification,20171024
22,"['Fahmi Aulia Rahman', 'Wee Peng Sim']","['[INA] ', '[MAS] ']","['21-18', '21-11']",MS - Qualification,20171024
23,"['Yosua Yosua', 'Ramadhani Zulkifli [5]']","['[INA] ', '[INA] ']","['21-15', '10-21', '21-11']",MS - Qualification,20171024
24,"['Faiz Rozain', 'Fatra Nur Bahari D']","['[MAS] ', '[INA] ']","['21-12', '21-14']",MS - Qualification,20171024
25,"['Lu Chen', 'Taufan Fadly Adriananta [3]']","['[TPE] ', '[INA] ']","['21-15', '21-18']",MS - Qualification,20171024
26,"['Kaizar Bobby Alexander', 'Su Li Wei']","['[INA] ', '[TPE] ']","['9-21', '21-13', '21-9']",MS - Qualification,20171024
27,"['Kevin Arokia Walter', 'Mikael Dwi Putra [6]']","['[IND] ', '[INA] ']","['11-21', '21-18', '21-18']",MS - Qualification,20171024
28,"['Shahzan Shah Misfahul', 'Satria Maulana Rahmadi Lubis']","['[MAS] ', '[INA] ']","['21-15', '21-18']",MS - Qualification,20171024
29,"['Rezha Akbar Raja Husain', 'Rizky Doka Putra [2]']","['[INA] ', '[INA] ']","['23-21', '21-10']",MS - Qualification,20171024
30,"['Winny Oktavina Kandow', 'Bunga Fitriani Romadhini', 'Metya Inayah Cindiani', 'Indah Cahya Sari Jamil']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['22-20', '21-23', '21-15']",WD - Qualification,20171024
