,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Yannick Blondin', 'Albert Menya']","['[FRA] ', '[UGA] ']","['21-7', '21-0']",MS - Qualification,20170223
1,"['Friday Attama', 'Allan Nkire [1]']","['[UGA] ', '[UGA] ']","['21-17', '21-7']",MS - Qualification,20170223
2,"['Israel Wanagalya', 'Raymond Kasita']","['[UGA] ', '[UGA] ']","['21-7', '21-5']",MS - Qualification,20170223
3,"['Muzafar Lubega [6]', 'Nathan Fredrick Semaganda']","['[UGA] ', '[UGA] ']","['21-9', '21-10']",MS - Qualification,20170223
4,"['Esther Najjuma', 'Katambua Odia']","['[UGA] ', '[COD] ']","['21-9', '21-19']",WS - Qualification,20170223
5,"['Ronald Lule', 'Felix Ocitti']","['[UGA] ', '[UGA] ']","['21-10', '21-15']",MS - Qualification,20170223
6,"['Irfan Ali Bhadusha Abdul Vahab [4]', 'Alan Fintan Sherry']","['[UGA] ', '[UGA] ']","['21-11', '15-21', '2-5']",MS - Qualification,20170223
7,"['Benjamin Jjuuko', 'Chrisna Rwizihiringabo']","['[UGA] ', '[UGA] ']","['21-8', '21-10']",MS - Qualification,20170223
8,"['Ambrose Nadiope [7]', 'Samuel Mpwanyi,']","['[UGA] ', '[UGA] ']","['21-5', '21-8']",MS - Qualification,20170223
9,"['Aaron Opea Renge', 'Augustus Owinyi']","['[UGA] ', '[UGA] ']","['21-12', '21-10']",MS - Qualification,20170223
10,"['Yannick Blondin', 'Paul Makande']","['[FRA] ', '[UGA] ']","['21-8', '21-7']",MS - Qualification,20170223
11,"['Cliff Kamugisha [5]', 'Isaac Kasirye']","['[UGA] ', '[UGA] ']","['21-18', '21-12']",MS - Qualification,20170223
12,"['Areej Shalwani', 'Troy Ayesiga']","['[UGA] ', '[UGA] ']","['21-0', '21-0']",MS - Qualification,20170223
13,"['Edwin Njeri [3]', 'Daniel Akau']","['[KEN] ', '[UGA] ']","['21-14', '21-13']",MS - Qualification,20170223
14,"['John Wanyoike', 'Warren Tusiime']","['[KEN] ', '[UGA] ']","['21-11', '21-7']",MS - Qualification,20170223
15,"['Nganamau Jean Marc Matusisa', 'Derrick Odida Odoch [8]']","['[COD] ', '[UGA] ']","['21-11', '19-21', '21-18']",MS - Qualification,20170223
16,"['Edwin Akwanyi', 'Denis Onyango']","['[KEN] ', '[UGA] ']","['21-8', '21-5']",MS - Qualification,20170223
17,"['Ronald Kasserenge [2]', 'Kenneth Mukiibi']","['[UGA] ', '[UGA] ']","['21-6', '21-10']",MS - Qualification,20170223
18,"['Israel Wanagalya', 'Friday Attama']","['[UGA] ', '[UGA] ']","['10-21', '21-14', '21-16']",MS - Qualification,20170223
19,"['Muzafar Lubega [6]', 'Ronald Lule']","['[UGA] ', '[UGA] ']","['21-14', '21-19']",MS - Qualification,20170223
20,"['Irfan Ali Bhadusha Abdul Vahab [4]', 'Benjamin Jjuuko']","['[UGA] ', '[UGA] ']","['21-12', '21-10']",MS - Qualification,20170223
21,"['Ambrose Nadiope [7]', 'Aaron Opea Renge']","['[UGA] ', '[UGA] ']","['21-14', '19-21', '21-18']",MS - Qualification,20170223
22,"['Edwin Njeri [3]', 'Areej Shalwani']","['[KEN] ', '[UGA] ']","['21-11', '21-14']",MS - Qualification,20170223
23,"['John Wanyoike', 'Nganamau Jean Marc Matusisa']","['[KEN] ', '[COD] ']","['21-11', '21-16']",MS - Qualification,20170223
24,"['Edwin Akwanyi', 'Ronald Kasserenge [2]']","['[KEN] ', '[UGA] ']","['21-16', '9-21', '21-12']",MS - Qualification,20170223
25,"['Yannick Blondin', 'Cliff Kamugisha [5]']","['[FRA] ', '[UGA] ']","['21-6', '21-7']",MS - Qualification,20170223
26,"['Georges Julien Paul [1]', 'Bruno Masaaba']","['[MRI] ', '[UGA] ']","['21-9', '21-8']",MS,20170223
27,"['Brian Kasirye', 'Edwin Akwanyi']","['[UGA] ', '[KEN] ']","['21-17', '18-21', '21-14']",MS,20170223
28,"['Davies Senono [8]', 'John Riad']","['[UGA] ', '[EGY] ']","['15-21', '21-13', '21-13']",MS,20170223
29,"['Hadia Hosny [1]', 'Daisy Begayirirwa']","['[EGY] ', '[UGA] ']","['21-6', '21-6']",WS,20170223
30,"['Mohd Naser Mansour Nayef', 'Jacob Musisi']","['[JOR] ', '[UGA] ']","['21-6', '21-7']",MS,20170223
31,"['Rudolf Dellenbach [4]', 'Nicholas Kayongo']","['[ITA] ', '[UGA] ']","['21-7', '21-10']",MS,20170223
32,"['Israel Wanagalya', 'Mohamed Mostafa Kamel']","['[UGA] ', '[EGY] ']","['22-20', '13-21', '21-15']",MS,20170223
33,"['Bridget Ategeka', 'Brenda Mugabi']","['[UGA] ', '[UGA] ']","['21-15', '21-9']",WS,20170223
34,"['John Wanyoike', 'Herbert Ebayo [7]']","['[KEN] ', '[UGA] ']","['21-16', '21-13']",MS,20170223
35,"['Patrick Kinyua Mbogo', 'Ivan Mayega']","['[KEN] ', '[UGA] ']","['21-12', '21-18']",MS,20170223
36,"['Yannick Blondin', 'Ian Senoga']","['[FRA] ', '[UGA] ']","['21-15', '23-21']",MS,20170223
37,"['Evelyn Siamupangila [5]', 'Rehema Nakalema']","['[ZAM] ', '[UGA] ']","['21-15', '21-14']",WS,20170223
38,"['Bahaedeen Ahmad Alshannik [6]', 'Daniel Mihigo']","['[JOR] ', '[UGA] ']","['21-13', '21-10']",MS,20170223
39,"['Edwin Njeri', 'Moustafa Bumpenje']","['[KEN] ', '[UGA] ']","['21-11', '21-10']",MS,20170223
40,"['Adham Hatem Elgamal', 'Aatish Lubah [3]']","['[EGY] ', '[MRI] ']","['21-17', '16-21', '21-13']",MS,20170223
41,"['Domou Amro', 'Brenda Awor']","['[JOR] ', '[UGA] ']","['21-14', '21-17']",WS,20170223
42,"['Muzafar Lubega', 'Adam Mubiru']","['[UGA] ', '[UGA] ']","['21-16', '15-21', '21-18']",MS,20170223
43,"['Ahmed Salah [5]', 'Ambrose Nadiope']","['[EGY] ', '[UGA] ']","['21-10', '21-6']",MS,20170223
44,"['Irfan Ali Bhadusha Abdul Vahab', 'Expedito Emuddu']","['[UGA] ', '[UGA] ']","['21-7', '21-8']",MS,20170223
45,"['Doha Hany [4]', 'Tracy Naluwooza']","['[EGY] ', '[UGA] ']","['21-13', '21-11']",WS,20170223
46,"['Edwin Ekiring [2]', 'John Muiruri Mburu']","['[UGA] ', '[KEN] ']","['21-16', '23-21']",MS,20170223
47,"['Kivisi Andia', 'Carle Uwilingimana']","['[KEN] ', '[UGA] ']","['21-12', '21-14']",WS,20170223
48,"['Aisha Nakiyemba [7]', 'Judith Namatovu']","['[UGA] ', '[UGA] ']","['21-10', '21-11']",WS,20170223
49,"['Mellon Nahirya', 'Patricia Aluko']","['[UGA] ', '[UGA] ']","['21-9', '21-13']",WS,20170223
50,"['Ruth Nakawoya', 'Ronah Bayiga']","['[UGA] ', '[UGA] ']","['21-17', '21-14']",WS,20170223
51,"['Gladys Mbabazi [8]', 'Sharifah Nansereko']","['[UGA] ', '[UGA] ']","['21-5', '21-9']",WS,20170223
52,"['Esther Najjuma', 'Labella Nasasira']","['[UGA] ', '[UGA] ']","['10-21', '21-15', '23-21']",WS,20170223
53,"['Menna Eltanany [3]', 'Betty Apio']","['[EGY] ', '[UGA] ']","['21-12', '21-13']",WS,20170223
54,"['Haneen Derar Al-Wedyan', 'Mable Namakoye']","['[JOR] ', '[UGA] ']","['21-14', '21-13']",WS,20170223
55,"['Bridget Shamim Bangi [6]', 'Erina Nalwati']","['[UGA] ', '[UGA] ']","['21-4', '21-8']",WS,20170223
56,"['Salma Mutesi', 'Maureen Byarugaba']","['[UGA] ', '[UGA] ']","['21-15', '21-8']",WS,20170223
57,"['Ogar Siamupangila [2]', 'Husina Kobugabe']","['[ZAM] ', '[UGA] ']","['21-12', '21-12']",WS,20170223
