,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Thanesh Veerappan', 'Wei Chyi Ti', 'Tedi Supriadi', 'Surya Della Augustia']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['22-20', '11-21', '21-15']",XD - Qualification,20170508
1,"['Liu Zerun', 'Chen Si', 'Devand Riefky Reksadillano', 'Anggit Warastiwi']","['[CHN] ', '[CHN] ', '[INA] ', '[INA] ']","['21-11', '21-16']",XD - Qualification,20170508
2,"['Andrew Susanto', 'Maria Natalia Kartika Mainaky', 'Ming Che Lu', 'Chang Yu Hsuan']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['13-21', '21-19', '21-17']",XD - Qualification,20170508
3,"['Tao Jianqi', 'Wang Xinyuan', 'Indra Leonard Prasetya', 'Violita Dewi']","['[CHN] ', '[CHN] ', '[INA] ', '[INA] ']","['21-15', '18-21', '21-14']",XD - Qualification,20170508
4,"['Li Jinqiu', 'Mai Yiwen', 'Angga Dian Saputra', 'Annisya Widya Permatasari']","['[CHN] ', '[CHN] ', '[INA] ', '[INA] ']","['22-20', '28-26']",XD - Qualification,20170508
5,"['Aditya Muchlis Wicaksono', 'Annisa Mubarokah', 'Yen Chun Chen', 'Wang Yu Qiao']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-17', '18-21', '21-19']",XD - Qualification,20170508
6,"['Renaldi Samosir', 'Hediana Julimarbela', 'Berata Chandra', 'Kadek Dwi Candrika Anggun']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']",[],XD - Qualification,20170508
7,"['Muhammad Fachrikar', 'Zarra Faza Azka', 'Chun Hsien Yang', 'Pei-Tzu Lo']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['21-19', '21-19']",XD - Qualification,20170508
8,"['Abhinaya Rakan Adira', 'Dara Sri Yuliani', 'Raveno Bagas Prayoga', 'Berlian Putri Laksono']","['[INA] ', '[INA] ', '[INA] ', '[INA] ']","['21-14', '21-17']",XD - Qualification,20170508
9,"['Zuelaikha Idris', 'Nurul Shabillah']","['[MAS] ', '[INA] ']","['21-18', '21-18']",WS - Qualification,20170508
10,"['Wang Xinyuan', 'Eprilia Mega Ayu Swastika']","['[CHN] ', '[INA] ']","['15-21', '21-15', '21-19']",WS - Qualification,20170508
11,"['Wei Ying Boon', 'Savira Sandradewi']","['[MAS] ', '[INA] ']","['17-21', '21-18', '21-13']",WS - Qualification,20170508
12,"['Fan Mengyan', 'Thonia Zamrud Khishtin']","['[CHN] ', '[INA] ']","['21-14', '21-11']",WS - Qualification,20170508
13,"['Chieh Yu', 'Nandini Putri Arumni']","['[TPE] ', '[INA] ']","['21-19', '21-17']",WS - Qualification,20170508
14,"['Sylvia Kavita Kumares', 'Bening Sri Rahayu']","['[MAS] ', '[INA] ']","['19-21', '21-16', '21-10']",WS - Qualification,20170508
15,"['Shen Yabing', 'Triya Nur Saadiyah']","['[CHN] ', '[INA] ']","['21-15', '21-10']",WS - Qualification,20170508
16,"['Huang Qionghui', 'Melsya Nur Fitriani']","['[CHN] ', '[INA] ']","['21-15', '21-16']",WS - Qualification,20170508
17,"['Pan Lu', 'Anissa Syifa Oktaviani']","['[CHN] ', '[INA] ']","['21-8', '21-6']",WS - Qualification,20170508
18,"['Auditya Alpha Hidayat [1]', 'Mohan Krishnan']","['[INA] ', '[IND] ']","['21-11', '21-11']",MS - Qualification,20170508
19,"['Abdul Karim Hidayat', 'Mohd Nazman Mohd Salleh']","['[INA] ', '[MAS] ']","['21-7', '21-13']",MS - Qualification,20170508
20,"['Septian Dwi Maulana [14]', 'Choong Yen Tan']","['[INA] ', '[MAS] ']","['21-8', '21-17']",MS - Qualification,20170508
21,"['Andi Fadel Muhammad', 'Yik Shen Lim']","['[INA] ', '[MAS] ']","['21-19', '21-17']",MS - Qualification,20170508
22,"['Jun Yan Ng [6]', 'Daniel Hardiana Octavianus']","['[MAS] ', '[INA] ']","['21-16', '21-18']",MS - Qualification,20170508
23,"['Gatjra Piliang Fiqihila Cupu', 'Chin Yong Chian']","['[INA] ', '[MAS] ']","['21-11', '21-7']",MS - Qualification,20170508
24,"['Dimitri Han', 'M Fajar Wikajaya [10]']","['[AUS] ', '[INA] ']","['21-19', '21-10']",MS - Qualification,20170508
25,"['Ming Jun Low', 'Darma Sucipto']","['[MAS] ', '[INA] ']",[],MS - Qualification,20170508
26,"['Jim Jason Kiazen [3]', 'Colin Hammarberg']","['[INA] ', '[SWE] ']","['21-12', '21-17']",MS - Qualification,20170508
27,"['Mikael Dwi Putra', 'Nor Aqmal Abu Hassan']","['[INA] ', '[MAS] ']","['21-12', '21-16']",MS - Qualification,20170508
28,"['Christofel Karinda [13]', 'Wooi Yik Soh']","['[INA] ', '[MAS] ']","['17-21', '21-17', '21-12']",MS - Qualification,20170508
29,"['Satria Maulana Rahmadi Lubis', 'James Jun Hong']","['[INA] ', '[MAS] ']","['21-14', '21-14']",MS - Qualification,20170508
30,"['Seng Zoe Yeoh', 'Ramadhani Zulkifli [5]']","['[MAS] ', '[INA] ']","['21-14', '13-21', '21-17']",MS - Qualification,20170508
31,"['Yonathan Ramlie', 'Wei Jun Ai']","['[INA] ', '[MAS] ']","['21-10', '21-14']",MS - Qualification,20170508
32,"['Yosua Yosua', 'Datu Mohd Saffuan Nizam Sardik [9]']","['[INA] ', '[MAS] ']","['21-14', '15-21', '21-17']",MS - Qualification,20170508
33,"['Rahul Bharadwaj B.M', 'Tri Cahya Supriyanto']","['[IND] ', '[INA] ']","['21-12', '21-14']",MS - Qualification,20170508
34,"['Mukhammad Rizqy Ramadhani', 'Yi Jie Yap']","['[INA] ', '[MAS] ']","['21-14', '21-15']",MS - Qualification,20170508
35,"['Nyoman Tryadnya Arya Kurniawan [15]', 'Muhammad Syauqi Mohd Puzi']","['[INA] ', '[MAS] ']","['14-21', '21-9', '21-13']",MS - Qualification,20170508
36,"['Zhang Qi', 'Noval Ramadhan']","['[CHN] ', '[INA] ']","['21-13', '21-8']",MS - Qualification,20170508
