,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Takuro Hoki', 'Sayaka Hirota', 'Wang Chan', 'Kim Min Ji']","['[JPN] ', '[JPN] ', '[KOR] ', '[KOR] ']","['21-18', '21-15']",XD - Qualification,20170912
1,"['Kashyap Parupalli', 'Lin Yu Hsien']","['[IND] ', '[TPE] ']","['21-19', '21-9']",MS - Qualification,20170912
2,"['Na Sung Seung', 'Seong Ah Yeong', 'Law Cheuk Him', 'Poon Lok Yan']","['[KOR] ', '[KOR] ', '[HKG] ', '[HKG] ']","['21-11', '21-19']",XD - Qualification,20170912
3,"['Yuki Kaneko', 'Koharu Yonemoto', 'Choi Hyuk Gyun', 'Lee Yu Rim']","['[JPN] ', '[JPN] ', '[KOR] ', '[KOR] ']","['21-14', '21-18']",XD - Qualification,20170912
4,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Peter Kaesbauer', 'Olga Konon']","['[IND] ', '[IND] ', '[GER] ', '[GER] ']","['21-12', '21-15']",XD - Qualification,20170912
5,"['Mohamad Arif Abdul Latif', 'Rusydina Antardayu Riodingin', 'Zhou Haodong', 'Xu Ya']","['[MAS] ', '[INA] ', '[CHN] ', '[CHN] ']","['21-18', '26-24']",XD - Qualification,20170912
6,"['Ronald Ronald', 'Annisa Saufika', 'Lee Jhe-Huei', 'Wu Ti Jung']","['[INA] ', '[INA] ', '[TPE] ', '[TPE] ']","['19-21', '21-18', '21-11']",XD - Qualification,20170912
7,"['Kan Chao Yu', 'Kim Bruun']","['[TPE] ', '[DEN] ']","['16-21', '21-16', '21-18']",MS - Qualification,20170912
8,"['Vladimir Ivanov', 'Ekaterina Bolotova', 'Jones Ralfy Jansen', 'Eva Janssens']","['[RUS] ', '[RUS] ', '[GER] ', '[GER] ']","['21-12', '21-17']",XD - Qualification,20170912
9,"['Kim Dong Hoon', 'Wang Yuehang']","['[KOR] ', '[ENG] ']","['21-17', '15-21', '21-16']",MS - Qualification,20170912
10,"['Lee Dong Keun', 'Kim Min Ki']","['[KOR] ', '[KOR] ']","['19-21', '21-17', '21-13']",MS - Qualification,20170912
11,"['Kenta Nishimoto', 'Heo Kwang Hee']","['[JPN] ', '[KOR] ']","['21-17', '19-21', '21-14']",MS - Qualification,20170912
12,"['Supak Jomkoh', 'Pakin Kuna-Anuvit', 'Shin Tae Yang', 'Wang Chan']","['[THA] ', '[THA] ', '[KOR] ', '[KOR] ']","['21-18', '21-15']",MD - Qualification,20170912
13,"['Sony Dwi Kuncoro', 'Ha Young Woong']","['[INA] ', '[KOR] ']","['21-15', '16-21', '21-16']",MS - Qualification,20170912
14,"['Chung Eui Seok', 'Kim Duk Young', 'Hsu Jen Hao', 'Lin Yu Hsien']","['[KOR] ', '[KOR] ', '[TPE] ', '[TPE] ']","['21-11', '21-11']",MD - Qualification,20170912
15,"['Pannawit Thongnuam', 'Takuma Ueda']","['[THA] ', '[JPN] ']","['21-17', '21-13']",MS - Qualification,20170912
16,"['Choi Hyuk Gyun', 'Park Kyung Hoon', 'Peter Kaesbauer', 'Johannes Pistorius']","['[KOR] ', '[KOR] ', '[GER] ', '[GER] ']","['21-12', '21-14']",MD - Qualification,20170912
17,"['Lee Min Ji', 'Rusydina Antardayu Riodingin']","['[KOR] ', '[INA] ']","['21-9', '21-10']",WS - Qualification,20170912
18,"['Woo Seung Hoon', 'Nicholas Bonkowsky']","['[KOR] ', '[TTO] ']","['21-5', '21-4']",MS - Qualification,20170912
19,"['Han Chengkai', 'Zhou Haodong', 'Choi Sol Gyu', 'Kim Jae Hwan']","['[CHN] ', '[CHN] ', '[KOR] ', '[KOR] ']",['6-4'],MD - Qualification,20170912
20,"['Gregoria Mariska Tunjung', 'Sofie Holmboe Dahl']","['[INA] ', '[DEN] ']","['21-16', '21-5']",WS - Qualification,20170912
21,"['Kim Hyang Im', 'Sung Shuo Yun']","['[KOR] ', '[TPE] ']","['18-21', '21-17', '21-19']",WS - Qualification,20170912
22,"['Michelle Li', 'Pai Yu Po']","['[CAN] ', '[TPE] ']","['21-17', '21-18']",WS - Qualification,20170912
23,"['Kim Ga Eun', 'Hu Ling Fang']","['[KOR] ', '[TPE] ']","['21-14', '21-11']",WS - Qualification,20170912
24,"['Jeon Joo I', 'Fabienne Deprez']","['[KOR] ', '[GER] ']","['21-10', '21-10']",WS - Qualification,20170912
25,"['Chen Su Yu', 'Mia Blichfeldt']","['[TPE] ', '[DEN] ']","['21-15', '15-21', '21-16']",WS - Qualification,20170912
26,"['Lyanny Alessandra Mainaky', 'Sim Yu Jin']","['[INA] ', '[KOR] ']","['21-18', '21-17']",WS - Qualification,20170912
27,"['Kashyap Parupalli', 'Kan Chao Yu']","['[IND] ', '[TPE] ']","['21-19', '21-18']",MS - Qualification,20170912
28,"['Satwiksairaj Rankireddy', 'Ashwini Ponnappa', 'Ronald Ronald', 'Annisa Saufika']","['[IND] ', '[IND] ', '[INA] ', '[INA] ']","['27-25', '21-17']",XD - Qualification,20170912
29,"['Takuro Hoki', 'Sayaka Hirota', 'Vladimir Ivanov', 'Ekaterina Bolotova']","['[JPN] ', '[JPN] ', '[RUS] ', '[RUS] ']","['11-21', '21-18', '21-19']",XD - Qualification,20170912
