,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Michal Hubáček', 'Denisa Šikalová', 'Adam Szolc', 'Wiktoria Adamek']","['[CZE] ', '[CZE] ', '[POL] ', '[POL] ']","['21-12', '21-15']",XD - Qualification ,20170921
1,"['Konrad Ploch', 'Aleksandra Goszczynska', 'Nestor Gabrysiak', 'Hanna Szymanska']","['[POL] ', '[POL] ', '[POL] ', '[POL] ']","['21-9', '21-18']",XD - Qualification ,20170921
2,"['Dominik Stipsits', 'Antonia Meinke', 'Michal Hubáček', 'Denisa Šikalová']","['[AUT] ', '[AUT] ', '[CZE] ', '[CZE] ']","['21-11', '16-21', '21-10']",XD - Qualification ,20170921
3,"['Mihkel Laanes', 'Nestor Gabrysiak']","['[EST] ', '[POL] ']","['21-18', '21-11']",MS - Qualification ,20170921
4,"['Quentin Filliettaz', 'Norbert Swierk']","['[SUI] ', '[POL] ']","['21-19', '21-8']",MS - Qualification ,20170921
5,"['Mark Brady', 'Jan Lewandowski']","['[IRL] ', '[POL] ']","['22-20', '21-15']",MS - Qualification ,20170921
6,"['Vladyslav Volnyanskiy', 'Jakub Giren']","['[UKR] ', '[POL] ']","['21-12', '21-7']",MS - Qualification ,20170921
7,"['Joel Douse [4]', 'Mark Brady']","['[ENG] ', '[IRL] ']","['21-18', '21-11']",MS - Qualification ,20170921
8,"['Jeppe Bruun Christensen', 'Miha Ivanic [6]']","['[DEN] ', '[SLO] ']","['21-11', '22-20']",MS - Qualification ,20170921
9,"['Miha Ivancic', 'Kordian Kobylnik']","['[SLO] ', '[POL] ']","['21-17', '21-6']",MS - Qualification ,20170921
10,"['Juraj Vachalek', 'Robert Cybulski']","['[SVK] ', '[POL] ']","['21-8', '21-14']",MS - Qualification ,20170921
11,"['Jeppe Bruun Christensen', 'Oleksandar Shmundyak']","['[DEN] ', '[UKR] ']","['16-21', '21-15', '21-18']",MS - Qualification ,20170921
12,"['Juraj Vachalek', 'Philipp Drexler']","['[SVK] ', '[AUT] ']","['15-21', '21-12', '21-18']",MS - Qualification ,20170921
13,"['Dominik Stipsits', 'Antonia Meinke', 'Jan Lewandowski [3]', 'Magdalena Kulska']","['[AUT] ', '[AUT] ', '[POL] ', '[POL] ']","['21-5', '21-16']",XD - Qualification ,20170921
14,"['Robert Cybulski', 'Vladyslav Buldenko']","['[POL] ', '[UKR] ']","['21-15', '21-18']",MS - Qualification ,20170921
15,"['Philipp Drexler', 'Michal Walentek']","['[AUT] ', '[POL] ']","['21-15', '21-16']",MS - Qualification ,20170921
16,"['Marcin Nowak', 'Kyle Longmuir']","['[POL] ', '[SCO] ']","['21-17', '21-10']",MS - Qualification ,20170921
17,"['Philipp Drexler', 'Jakob Sorger', 'Kordian Kobylnik', 'Michal Matysiak']","['[AUT] ', '[AUT] ', '[POL] ', '[POL] ']","['21-15', '21-17']",MD - Qualification ,20170921
18,"['Sandro Kulla', 'Mateusz Swierczynski']","['[GER] ', '[POL] ']","['11-21', '21-19', '21-19']",MS - Qualification ,20170921
19,"['Philipp Drexler', 'Jakob Sorger', 'Michal Sobolewski', 'Adam Szolc']","['[AUT] ', '[AUT] ', '[POL] ', '[POL] ']","['21-19', '19-21', '21-11']",MD - Qualification ,20170921
20,"['Luke Pearce [3]', 'Marcin Nowak']","['[ENG] ', '[POL] ']","['21-18', '21-18']",MS - Qualification ,20170921
21,"['Lukáš Holub', 'Michal Gomola']","['[CZE] ', '[POL] ']","['21-7', '21-8']",MS - Qualification ,20170921
22,"['Philipp Drexler', 'Michael Giesinger [8]']","['[AUT] ', '[AUT] ']","['8-21', '21-19', '21-7']",MS - Qualification ,20170921
23,"['Mateusz Danielak', 'Richard Kuhl']","['[POL] ', '[SWE] ']","['23-21', '9-21', '24-22']",MS - Qualification ,20170921
24,"['Peter Lang [7]', 'Kevin Arokia Walter']","['[GER] ', '[IND] ']","['21-16', '20-22', '21-18']",MS - Qualification ,20170921
25,"['Daniel S. Farid [5]', 'Mateusz Danielak']","['[IND] ', '[POL] ']","['21-10', '21-9']",MS - Qualification ,20170921
