,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Ernesto Reyes [1]', 'Daniel Antonio Acosta Hilario']","['[CUB] ', '[DOM] ']","['21-16', '21-15']",MS - Qualification,20171023
1,"['Rafeili Perez', 'Wendy Mathieu']","['[DOM] ', '[HAI] ']",[],MS - Qualification,20171023
2,"['Luis Armando Montoya Navarro [7]', 'Edisson Barias Ramirez']","['[MEX] ', '[DOM] ']",[],MS - Qualification,20171023
3,"['Enjer Medina', 'Wensley Petit-Del']","['[DOM] ', '[HAI] ']",[],MS - Qualification,20171023
4,"['Luis Martinez [3]', 'Elias Janel Rene']","['[DOM] ', '[DOM] ']","['21-15', '22-20']",MS - Qualification,20171023
5,"['Ariel Cine', 'Dugarry Alama']","['[DOM] ', '[HAI] ']",[],MS - Qualification,20171023
6,"['Anderson Taveras [5]', 'Victaorle Axander Ovalles Mordan']","['[DOM] ', '[DOM] ']","['26-24', '21-16']",MS - Qualification,20171023
7,"['Wilton Tavarez', 'Wilgens Jean-Louis']","['[DOM] ', '[HAI] ']",[],MS - Qualification,20171023
8,"['Melvin Peralta', 'Ritchel Verdieu']","['[DOM] ', '[HAI] ']",[],MS - Qualification,20171023
9,"['Jorge Rodriguez', 'Yonatan Linarez [8]']","['[MEX] ', '[DOM] ']",[],MS - Qualification,20171023
10,"['Anthony Ortiz', 'Wlater Pierre-Paul']","['[DOM] ', '[HAI] ']",[],MS - Qualification,20171023
11,"['Miguel Marinez [4]', 'Jackson Rodriguez']","['[DOM] ', '[DOM] ']","['21-19', '15-21', '21-18']",MS - Qualification,20171023
12,"['Jaison Anibal De La Cruz Marte', 'Rochemond Louis']","['[DOM] ', '[HAI] ']",[],MS - Qualification,20171023
13,"['Luis Alejandro Rodriguez', 'Bryan Anderson Castro [6]']","['[DOM] ', '[DOM] ']",[],MS - Qualification,20171023
14,"['Rory Easton', 'Esmerlin Ortiz']","['[ENG] ', '[DOM] ']","['21-7', '21-9']",MS - Qualification,20171023
15,"['Samuel Rosado', 'Bryan Josue Paulino Castro [2]']","['[DOM] ', '[DOM] ']",[],MS - Qualification,20171023
16,"['Liseth Sosa', 'Yuliana Faña']","['[DOM] ', '[DOM] ']",[],WS - Qualification,20171023
17,"['Daly Florian', 'Alanda Baptiste']","['[DOM] ', '[HAI] ']",[],WS - Qualification,20171023
18,"['Romaira Labour', 'Francesca Bien-Aime']","['[DOM] ', '[HAI] ']",[],WS - Qualification,20171023
19,"['Lia Lockward', 'Durlie Pierre-Louis']","['[DOM] ', '[HAI] ']",[],WS - Qualification,20171023
20,"['Lisette Santana', 'Edeline Felix']","['[DOM] ', '[HAI] ']",[],WS - Qualification,20171023
21,"['Ernesto Reyes [1]', 'Rafeili Perez']","['[CUB] ', '[DOM] ']","['21-4', '21-5']",MS - Qualification,20171023
