,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Tang Jie Chen', 'Jia Jia Tew', 'Muhammad Hadiyat M', 'Erlina Kurnianti']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['23-21', '19-21', '22-20']",XD - Qualification,20170117
1,"['Afiat Yuris Wirawan', 'Nadya Melati', 'Balasubramannian Narendran Geetha', 'Haritha Manazhiyil Harinarayanan']","['[INA] ', '[INA] ', '[IND] ', '[IND] ']","['21-16', '21-18']",XD - Qualification,20170117
2,"['Jhe-Huei Lee', 'Chiang Mei Hui', 'S. Sunjith (Jr)', 'Sruthi K.P']","['[TPE] ', '[TPE] ', '[IND] ', '[IND] ']","['21-18', '21-11']",XD - Qualification,20170117
3,"['Pang Ron Hoo', 'Yen Wei Peck', 'Willian Astan', 'Debora Rumete Vehrenica']","['[MAS] ', '[MAS] ', '[INA] ', '[INA] ']","['21-10', '21-15']",XD - Qualification,20170117
4,"['Mohamad Arif Abdul Latif', 'Rusydina Antardayu Riodingin', 'Jien Sern Ian Wong', 'Chasinee Korepap']","['[MAS] ', '[INA] ', '[MAS] ', '[THA] ']","['21-13', '21-11']",XD - Qualification,20170117
5,"['Ana Rovita', 'Welnis Peiy Link Lim']","['[INA] ', '[MAS] ']","['21-8', '21-15']",WS - Qualification,20170117
6,"['Androw Yunanto', 'Krishna Kumar S']","['[INA] ', '[MAS] ']","['21-11', '21-12']",MS - Qualification,20170117
7,"['Dionysius Hayom Rumbaka', 'Li Bin Tan']","['[INA] ', '[MAS] ']","['21-6', '21-12']",MS - Qualification,20170117
8,"['Jun Hao Leong', 'Rajid Patriawan']","['[MAS] ', '[INA] ']","['21-6', '21-12']",MS - Qualification,20170117
9,"['Vincent Cheng Wei Phuah', 'Muhammad Ahdial Octa Khairulloh']","['[MAS] ', '[INA] ']","['18-21', '21-9', '21-11']",MS - Qualification,20170117
10,"['Lishwan Mudukasan', 'Jun Yan Ng']","['[MAS] ', '[MAS] ']","['21-16', '21-15']",MS - Qualification,20170117
11,"['Wan Mohd Hidayat Wan Hassan', 'Ridho Bianto Putra']","['[MAS] ', '[INA] ']","['21-16', '21-14']",MS - Qualification,20170117
12,"['Kisona S.', 'Erlina Kurnianti']","['[MAS] ', '[INA] ']","['19-21', '21-16', '22-20']",WS - Qualification,20170117
13,"['Muhammad Hadiyat M', 'Yusriazmi Yusuf']","['[INA] ', '[MAS] ']","['21-8', '21-11']",MS - Qualification,20170117
14,"['Debora Rumete Vehrenica', 'Sai Uttejitha Rao Chukka']","['[INA] ', '[IND] ']","['23-21', '21-16']",WS - Qualification,20170117
