,PLAYERS,COUNTRIES,SCORES,EVENT,match_week
0,"['Nikita Lemeshko', 'Ivan Kuzaev']","['[RUS] ', '[UZB] ']","['21-10', '21-15']",MS - Qualification,20170705
1,"['Mikk Järveoja', 'Vladimir Nikulov']","['[EST] ', '[RUS] ']","['17-21', '21-14', '21-12']",MS - Qualification,20170705
2,"['Daniel Pacheko', 'Vadim Arzumanov']","['[RUS] ', '[UZB] ']","['21-8', '16-21', '21-9']",MS - Qualification,20170705
3,"['Karl Kert', 'Roman Loos']","['[EST] ', '[RUS] ']","['21-7', '21-9']",MS - Qualification,20170705
4,"['Alexandr Kozyrev', 'Marcus Lõo']","['[RUS] ', '[EST] ']","['21-15', '21-16']",MS - Qualification,20170705
5,"['Dmitriy Supruniuk', 'Sergey Varfolomeev']","['[BLR] ', '[RUS] ']","['21-13', '21-19']",MS - Qualification,20170705
6,"['Ivan Medynskiy', 'Nikita Makoveev']","['[UKR] ', '[RUS] ']","['21-19', '21-18']",MS - Qualification,20170705
7,"['Alexander Morari', 'Lev Barinov']","['[MDA] ', '[RUS] ']","['22-20', '21-12']",MS - Qualification,20170705
8,"['Georgii Lebedev', 'Temur Turakhonov']","['[RUS] ', '[UZB] ']","['21-12', '12-21', '23-21']",MS - Qualification,20170705
9,"['Roman Timko', 'Filipp Sidoryuk']","['[RUS] ', '[UZB] ']","['21-16', '21-13']",MS - Qualification,20170705
10,"['Georgii Lebedev', 'Elena Filippova', 'Ivan Medynskiy', 'Valeriya Rudakova']","['[RUS] ', '[RUS] ', '[UKR] ', '[UKR] ']","['21-17', '21-9']",XD - Qualification,20170705
11,"['Artyom Savatyugin', 'Alesia Zaitsava', 'Nikolai Baranov', 'Tatiana Samburskaia']","['[UZB] ', '[BLR] ', '[RUS] ', '[RUS] ']","['21-12', '21-23', '21-8']",XD - Qualification,20170705
12,"['Konstantin Abramov', 'Anastasia Chervyakova', 'Nikita Lemeshko', 'Anastasiia Semenova']","['[RUS] ', '[RUS] ', '[RUS] ', '[RUS] ']","['21-19', '21-9']",XD - Qualification,20170705
13,"['Mykhaylo Makhnovskiy', 'Anastasiya Prozorova', 'Ilya Venediktov', 'Yulia Vasilyeva']","['[UKR] ', '[UKR] ', '[RUS] ', '[RUS] ']","['21-17', '24-22']",XD - Qualification,20170705
14,"['Ryhor Varabyou', 'Viktoriia Vorobeva', 'Sergey Shumilkin', 'Danchenko Anastasiya']","['[RUS] ', '[RUS] ', '[RUS] ', '[RUS] ']","['21-14', '21-18']",XD - Qualification,20170705
15,"['Yaroslav Egerev', 'Alena Iakovleva', 'Egor Cherkasskikh', 'Ekaterina Kadochnikova']","['[RUS] ', '[RUS] ', '[RUS] ', '[RUS] ']","['21-18', '22-20']",XD - Qualification,20170705
16,"['Eshita Raju. K', 'Anastasiia Boiarun']","['[IND] ', '[RUS] ']","['19-21', '23-21', '21-7']",WS - Qualification,20170705
17,"['Elena Filippova', 'Alina Busygina']","['[RUS] ', '[RUS] ']","['21-7', '21-17']",WS - Qualification,20170705
18,"['Viktoriia Vorobeva', 'Anastasia Umerenkova']","['[RUS] ', '[RUS] ']","['21-14', '21-4']",WS - Qualification,20170705
19,"['Anastasiia Shapovalova', 'Ekaterina Kadochnikova']","['[RUS] ', '[RUS] ']","['21-14', '21-10']",WS - Qualification,20170705
20,"['Mariya Malygina', 'Vera Kramarenko']","['[RUS] ', '[RUS] ']","['21-13', '21-16']",WS - Qualification,20170705
21,"['Ilyana Filipchuk', 'Ksenia Bykova']","['[KAZ] ', '[RUS] ']","['21-15', '21-15']",WS - Qualification,20170705
22,"['Vaishnavi Reddy Jakka', 'Yulia Vasilyeva']","['[IND] ', '[RUS] ']","['21-16', '21-15']",WS - Qualification,20170705
23,"['Anastasia Osiyanenko', 'Alena Iakovleva']","['[RUS] ', '[RUS] ']","['21-19', '16-21', '21-13']",WS - Qualification,20170705
24,"['Alina Romanko', 'Olga Kulkova']","['[RUS] ', '[RUS] ']","['21-8', '21-18']",WS - Qualification,20170705
